algorithm,sweep_value,batch_index,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot,num_bs_ant,num_ut_per_sector
pf_fs_soft,5.0,0.0,1.0,156.85501098632812,0.0,1.831705143465201e-12,0.8493477702140808,6.0,16,4
pf_fs_soft,5.0,0.0,2.0,270.0729064941406,0.0,5.0141032818806774e-12,1.1122380495071411,6.0,16,4
pf_fs_soft,5.0,0.0,3.0,292.4039611816406,0.0,5.023996843545042e-12,0.2317812591791153,6.0,16,4
pf_fs_soft,5.0,0.0,4.0,304.4736633300781,0.0,5.04888969174444e-12,0.15907803177833557,6.0,16,4
pf_fs_soft,5.0,0.0,5.0,312.3924560546875,0.0,5.136115924925244e-12,0.1210482120513916,6.0,16,4
pf_fs_soft,5.0,0.0,6.0,317.989501953125,0.0,5.209408859147002e-12,0.09619266539812088,6.0,16,4
pf_fs_soft,5.0,0.0,7.0,322.21844482421875,0.0,5.261625336816511e-12,0.07833222299814224,6.0,16,4
pf_fs_soft,5.0,0.0,8.0,325.63031005859375,0.0,5.329823821870194e-12,0.06700338423252106,6.0,16,4
pf_fs_soft,5.0,0.0,9.0,328.47503662109375,0.0,5.425663390790092e-12,0.058430466800928116,6.0,16,4
pf_fs_soft,5.0,0.0,10.0,330.8807373046875,0.0,5.541918052937023e-12,0.051063816994428635,6.0,16,4
pf_fs_soft,5.0,0.0,11.0,332.9573669433594,0.0,5.654536300997437e-12,0.04475361853837967,6.0,16,4
pf_fs_soft,5.0,0.0,12.0,334.75360107421875,0.0,5.760689234662886e-12,0.03945235162973404,6.0,16,4
pf_fs_soft,5.0,0.0,13.0,336.32464599609375,0.0,5.86466248828077e-12,0.03534243255853653,6.0,16,4
pf_fs_soft,5.0,0.0,14.0,337.73077392578125,0.0,5.965744391545069e-12,0.03228307515382767,6.0,16,4
pf_fs_soft,5.0,0.0,15.0,339.01409912109375,0.0,6.063121359145551e-12,0.03008023276925087,6.0,16,4
pf_fs_soft,5.0,0.0,16.0,340.20123291015625,0.0,6.155517068284766e-12,0.028643280267715454,6.0,16,4
pf_fs_soft,5.0,0.0,17.0,341.31024169921875,0.0,6.242500873859802e-12,0.027526725083589554,6.0,16,4
pf_fs_soft,5.0,0.0,18.0,342.31134033203125,0.0,6.324779242006251e-12,0.025323277339339256,6.0,16,4
pf_fs_soft,5.0,0.0,19.0,343.2191162109375,0.0,6.4017849181474684e-12,0.022910842671990395,6.0,16,4
