sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction,num_bs_ant,num_ut_per_sector
336.7880859375,344.06365966796875,4.0093817710876465,0.0,4.116911888122559,0.6029604077339172,-23.13280487060547,-120.0,0.726190447807312,0.6860119104385376,28.758073806762695,0.0,4.67466829996556,6.482306878774491e-12,8.736064714513769e-13,-81.88269805908203,-94.81209564208984,6.4723070652972226e-12,0.0,0.0,-110.0,-110.0,-28.117294311523438,-15.187904357910156,0.021669689565896988,344.06365966796875,pf_fs_soft,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,73.37903606280179,2.495135295752022,1.6252929072854791,0.9192425370743388,6.0,,,,,16,4
340.3359069824219,344.6540832519531,4.0516180992126465,0.0,4.3029632568359375,0.6024662256240845,-21.392942428588867,-120.0,0.7023809552192688,0.6815476417541504,28.873218536376953,0.0,2.687133325729519,1.4275027557589248e-12,2.441478280396786e-13,-88.45423126220703,-99.16485595703125,1.417502725441222e-12,0.0,0.0,-110.0,-110.0,-21.5457706451416,-10.835135459899902,0.024395113810896873,344.65411376953125,pf_fs_cognitive,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,73.31194075341794,2.4982402792668763,1.5619905388670525,0.9156591692949746,6.0,4.0,4.0,4.0,0.5,16,4
326.62945556640625,325.8510437011719,3.8884458541870117,0.0,3.9638532400131226,0.6216816902160645,-11.785917282104492,-120.0,0.726190447807312,0.7083333134651184,33.94483184814453,0.0,1.5362468340899795,7.416785068048437e-12,9.881111770818074e-13,-81.29784393310547,-94.3143539428711,7.406785254571169e-12,0.0,0.0,-110.0,-110.0,-28.70215606689453,-15.685654640197754,0.05406850948929787,325.85107421875,du_pf_soft,5.0,0.0,10.0,0.0,pf,budget_dual,1.0,70.4200478476745,2.4188079904121778,1.5367212114342463,0.910727919878879,6.0,,,,,16,4
324.20428466796875,323.5371398925781,3.859574794769287,0.0,3.9890581369400024,0.6349130868911743,-12.39750862121582,-120.0,0.75,0.7217261791229248,49.00825881958008,0.0,1.3865544479340315,2.646260814642698e-12,4.3116313470925594e-13,-85.77367401123047,-96.90399169921875,2.6362607843249952e-12,0.0,0.0,-110.0,-110.0,-24.22632598876953,-13.096015930175781,0.05580504238605499,323.537109375,du_pf_cognitive,5.0,0.0,10.0,0.0,pf,budget_dual,1.0,70.57520454368364,2.4180225563792503,1.567506941779398,0.914798156201842,6.0,4.0,4.0,4.0,0.5,16,4
342.29571533203125,343.6636657714844,4.074948787689209,0.0,4.440997838973999,0.6345080137252808,-21.41691017150879,-120.0,0.7142857313156128,0.699404776096344,32.051513671875,0.0,2.664607781218365,7.586205968967974e-12,1.0359616810229344e-12,-81.19974517822266,-93.3220443725586,7.576206155490706e-12,0.0,0.0,-110.0,-110.0,-28.80024528503418,-16.677949905395508,0.02396823838353157,343.66363525390625,pf_fs_soft,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,69.2936198874598,2.381599277733923,1.5818912154242697,0.9141369261814645,6.0,,,,,16,4
341.3766174316406,340.3807373046875,4.06400728225708,0.0,4.210872650146484,0.6372691988945007,-20.689844131469727,-120.0,0.738095223903656,0.699404776096344,30.08222770690918,0.0,2.657260408392176,1.531624436654222e-12,2.5469529913932365e-13,-88.14847564697266,-98.23147583007812,1.5216244063365192e-12,0.0,0.0,-110.0,-110.0,-21.851520538330078,-11.76852035522461,0.024092094972729683,340.3807067871094,pf_fs_cognitive,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,69.07516409792369,2.3743716712661618,1.5261488636988876,0.914226413609124,6.0,4.0,4.0,4.0,0.5,16,4
329.2300720214844,323.38555908203125,3.919405698776245,0.0,4.112952709197998,0.6456922292709351,-11.803166389465332,-120.0,0.726190447807312,0.7232142686843872,38.3026008605957,0.0,1.3808753374032676,5.7411055076617146e-12,9.019369452689663e-13,-82.41004943847656,-93.16244506835938,5.731105694184446e-12,0.0,0.0,-110.0,-110.0,-27.589954376220703,-16.837556838989258,0.056963127106428146,323.3855285644531,du_pf_soft,5.0,1.0,10.0,0.0,pf,budget_dual,1.0,66.35758383945053,2.3092789321030454,1.435679634080449,0.906618633303427,6.0,,,,,16,4
328.3512878417969,324.7410888671875,3.9089438915252686,0.0,4.19077467918396,0.6435155272483826,-13.55687427520752,-120.0,0.75,0.711309552192688,58.72047805786133,0.0,1.373957779025659,2.8483615206048585e-12,4.395187826970043e-13,-85.45404815673828,-96.19873046875,2.8383614902871557e-12,0.0,0.0,-110.0,-110.0,-24.54595184326172,-13.801264762878418,0.05862899869680405,324.7410888671875,du_pf_cognitive,5.0,1.0,10.0,0.0,pf,budget_dual,1.0,66.35324232525927,2.307778087177118,1.4410690284117915,0.9077315734946794,6.0,4.0,4.0,4.0,0.5,16,4
323.1224060058594,309.6609191894531,3.8466954231262207,0.0,3.8467568159103394,0.6786113381385803,-15.894881248474121,-120.0,0.7857142686843872,0.7544642686843872,24.746248245239258,0.0,2.671587215969339,3.2973565284449835e-12,9.533771341829755e-13,-84.81834411621094,-93.65357208251953,3.2873564981272807e-12,0.0,0.0,-110.0,-110.0,-25.181657791137695,-16.34642219543457,0.023029867559671402,309.66094970703125,pf_fs_soft,5.0,2.0,20.0,0.0,pf,budget_dual,0.0,70.48127294251587,2.419451017849339,1.471469209039858,0.9160162923023139,6.0,,,,,16,4
322.892578125,309.59149169921875,3.843959331512451,0.0,3.8414963483810425,0.6765640377998352,-16.399295806884766,-120.0,0.7857142686843872,0.75,23.64691925048828,0.0,2.678776958025992,1.705717164734999e-12,3.309597604653214e-13,-87.68092346191406,-97.92528533935547,1.6957171344172961e-12,0.0,0.0,-110.0,-110.0,-22.31907081604004,-12.074710845947266,0.02271881513297558,309.59149169921875,pf_fs_cognitive,5.0,2.0,20.0,0.0,pf,budget_dual,0.0,70.36513803479258,2.4159816345098752,1.4334181291960018,0.9159346762866906,6.0,4.0,4.0,4.0,0.5,16,4
