step,snr_db,loss,grad_norm,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,learning_rate
1.0,20.0,-272.3204345703125,116.41213989257812,227.44549560546875,272.3204345703125,1.805122971534729,0.0,2.070151925086975,0.7902660369873047,-13.638322830200195,-120.0,4.660613298416138,6.663781046867371,0.7936508059501648,0.7926587462425232,54.73208999633789,0.0,0.0,1.0091626766552987e-14,9.796639919375152e-15,-109.96038818359375,-110.09879302978516,9.162694203628668e-17,0.5833333134651184,0.3333333432674408,-110.0,-110.0,-0.03961193934082985,0.09879463911056519,0.2082386016845703,272.3204345703125,0.0010000000474974513
2.0,25.0,-275.6385803222656,160.4573974609375,226.3900604248047,275.6385803222656,1.7967464923858643,1.6123372859055962e-08,2.051496386528015,0.7960872054100037,-9.057844161987305,-120.0,4.473937273025513,6.5607781410217285,0.8015872836112976,0.79067462682724,69.77973937988281,0.0,0.0,1.0065644877928909e-14,8.559566934635086e-15,-109.9715805053711,-110.87108612060547,6.564505341220828e-17,0.8333333134651184,0.75,-110.0,-110.0,-0.02841615304350853,0.8710892200469971,0.18285787105560303,275.63861083984375,0.0010000000474974513
3.0,-5.0,-231.57643127441406,87.53519439697266,185.70684814453125,231.57643127441406,1.4738638401031494,0.0,1.7944319248199463,0.7260590195655823,-17.87978744506836,-120.0,3.3293343782424927,5.536518692970276,0.7142857313156128,0.7063491940498352,68.24137878417969,0.0,0.0,1.0127003097595063e-14,9.678764273336402e-15,-109.94518280029297,-110.1905288696289,1.2700327307836254e-16,0.0833333358168602,0.0833333358168602,-110.0,-110.0,-0.05480951815843582,0.19052916765213013,0.24297983944416046,231.576416015625,0.0010000000474974513
4.0,5.0,-309.4393310546875,97.12401580810547,232.7848358154297,309.4393310546875,1.8474986553192139,0.0,2.176653742790222,0.7336077690124512,-13.717394828796387,-120.0,4.9361889362335205,7.557307720184326,0.761904776096344,0.738095223903656,71.71986389160156,0.0,0.0,1.009514872954767e-14,9.536085808536151e-15,-109.95886993408203,-110.21678924560547,9.514890503097007e-17,0.4166666567325592,0.4166666567325592,-110.0,-110.0,-0.04112734645605087,0.2167915254831314,0.1902964860200882,309.4393310546875,0.0010000000474974513
5.0,10.0,-281.0513610839844,36.82676315307617,215.89724731445312,281.0513610839844,1.713470220565796,0.0,2.002092957496643,0.765481173992157,-13.316656112670898,-120.0,4.252621412277222,6.399361729621887,0.7539682388305664,0.761904776096344,67.84154510498047,0.0,0.0,1.0033380545935045e-14,9.592803981717246e-15,-109.98552703857422,-110.18730926513672,3.338072141834472e-17,0.6666666865348816,0.5833333134651184,-110.0,-110.0,-0.014472858980298042,0.18730737268924713,0.20232795178890228,281.0513916015625,0.0010000000474974513
6.0,0.0,-270.86431884765625,190.90841674804688,213.72076416015625,270.86431884765625,1.6961965560913086,0.0,2.008222222328186,0.756822407245636,-13.96993350982666,-120.0,4.306005477905273,6.540646433830261,0.761904776096344,0.7509920597076416,67.86601257324219,0.0,0.0,1.514808989507531e-14,9.953981371525322e-15,-108.19641876220703,-110.0990219116211,5.1480900705586086e-15,0.4166666567325592,0.4166666567325592,-110.0,-110.0,-1.8035787343978882,0.09901442378759384,0.23230718076229095,270.8642883300781,0.0010000000474974513
7.0,25.0,-339.36358642578125,184.62066650390625,258.44403076171875,339.36358642578125,2.051143169403076,0.0,2.3998684883117676,0.7624145150184631,-12.606311798095703,-120.0,5.478952884674072,8.150078296661377,0.8015872836112976,0.783730149269104,15.549114227294922,0.0,0.0,1.008291079752574e-14,8.850887823217204e-15,-109.9641342163086,-110.68228149414062,8.291097300903993e-17,0.5,0.5,-110.0,-110.0,-0.03585940599441528,0.6822777390480042,0.20004583895206451,339.363525390625,0.0010000000474974513
8.0,20.0,-304.2296142578125,45.711952209472656,232.53646850585938,304.2296142578125,1.8455275297164917,0.0,2.170541524887085,0.7382023334503174,-16.7055606842041,-120.0,4.647220611572266,7.525921106338501,0.738095223903656,0.7440476417541504,73.86216735839844,0.0,0.0,1.2153168587865446e-14,8.005539624494993e-15,-109.1530990600586,-111.23764038085938,2.1531687633487458e-15,0.75,0.75,-110.0,-110.0,-0.8468952178955078,1.2376455068588257,0.2133835256099701,304.2296142578125,0.0010000000474974513
9.0,10.0,-308.7032470703125,62.003143310546875,226.34030151367188,308.7032470703125,1.7963515520095825,0.0,2.148174285888672,0.7264095544815063,-17.768346786499023,-120.0,4.79387903213501,7.282290101051331,0.7460317611694336,0.7291666865348816,39.4937629699707,0.0,0.0,1.0293440836565797e-14,9.380279180086406e-15,-109.87439727783203,-110.30854034423828,2.934410120490963e-16,0.75,0.75,-110.0,-110.0,-0.12560588121414185,0.3085475265979767,0.2004566490650177,308.7032470703125,0.0010000000474974513
10.0,0.0,-277.3975830078125,82.61357116699219,210.8457489013672,277.3975830078125,1.6733789443969727,0.0,1.9839040040969849,0.737691342830658,-13.957557678222656,-120.0,4.163650751113892,6.5074663162231445,0.7222222089767456,0.7271825671195984,46.3739128112793,0.0,0.0,1.0265202452170233e-14,9.178919119733325e-15,-109.88632202148438,-110.4406967163086,2.652026276535324e-16,0.5,0.3333333432674408,-110.0,-110.0,-0.11367521435022354,0.44068679213523865,0.20839259028434753,277.3975830078125,0.0010000000474974513
11.0,-10.0,-283.58978271484375,60.00672912597656,211.75714111328125,283.58978271484375,1.6806122064590454,0.0,2.092748761177063,0.7251893877983093,-20.51497459411621,-120.0,4.5071189403533936,6.676447749137878,0.7301587462425232,0.721230149269104,70.77254486083984,0.0,0.0,1.235034769359088e-14,8.681515962117182e-15,-109.08320617675781,-110.77523803710938,2.35034786907418e-15,0.6666666865348816,0.6666666865348816,-110.0,-110.0,-0.9167918562889099,0.7752349972724915,0.20034489035606384,283.58978271484375,0.0010000000474974513
12.0,15.0,-337.27069091796875,35.219329833984375,275.9881286621094,337.27069091796875,2.1903820037841797,2.6334810243611173e-07,2.479209303855896,0.7871666550636292,-7.637552738189697,-120.0,6.0564916133880615,8.574262619018555,0.8095238208770752,0.8085317611694336,40.36798858642578,0.0,0.0,1.0067692156562422e-14,8.506102215004394e-15,-109.97069549560547,-110.77779388427734,6.769233204572192e-17,0.8333333134651184,0.75,-110.0,-110.0,-0.029299279674887657,0.777799129486084,0.18617308139801025,337.27069091796875,0.0010000000474974513
13.0,25.0,-307.7177734375,103.5776596069336,246.58053588867188,307.7177734375,1.9569883346557617,0.0,2.3290252685546875,0.7502119541168213,-12.703989028930664,-120.0,5.3961262702941895,7.797045469284058,0.7539682388305664,0.7579365372657776,29.945518493652344,0.0,0.0,1.007252702062535e-14,9.266150807806309e-15,-109.96861267089844,-110.3663330078125,7.252719610864947e-17,0.6666666865348816,0.5833333134651184,-110.0,-110.0,-0.031384412199258804,0.36633434891700745,0.20926475524902344,307.7177734375,0.0010000000474974513
14.0,0.0,-364.74420166015625,69.55818939208984,288.5810852050781,364.74420166015625,2.2903261184692383,0.0,2.674293041229248,0.7571219205856323,-14.509690284729004,-120.0,6.861343145370483,9.369278192520142,0.7857142686843872,0.7827380895614624,20.697769165039062,0.0,0.0,1.000000321264849e-14,8.162067925015799e-15,-110.0,-111.0333480834961,3.3881317890172014e-21,1.0,0.9166666865348816,-110.0,-110.0,-1.5531583130723448e-06,1.0333468914031982,0.16398456692695618,364.7441711425781,0.0010000000474974513
15.0,20.0,-321.5306091308594,16.678434371948242,253.19259643554688,321.5306091308594,2.009464979171753,0.0,2.2984189987182617,0.7662601470947266,-12.369726181030273,-120.0,5.4521589279174805,7.817998766899109,0.8015872836112976,0.7857142686843872,40.50975036621094,0.0,0.0,1.0096387091716556e-14,8.617207526695741e-15,-109.95834350585938,-110.7464828491211,9.638726719985585e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.04165995493531227,0.7464801669120789,0.19541522860527039,321.53057861328125,0.0010000000474974513
16.0,15.0,-326.2810363769531,134.07623291015625,245.25424194335938,326.2810363769531,1.9464622735977173,0.0,2.2447071075439453,0.7391467690467834,-14.830641746520996,-120.0,5.3697357177734375,7.871363997459412,0.7539682388305664,0.7490079402923584,55.703086853027344,0.0,0.0,1.0020671663594442e-14,9.043905456072778e-15,-109.99102783203125,-110.49881744384766,2.06718390777412e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.008968386799097061,0.4988197386264801,0.1882813721895218,326.281005859375,0.0010000000474974513
17.0,5.0,-323.19415283203125,93.48200988769531,240.52838134765625,323.19415283203125,1.908955454826355,0.0,2.1492727994918823,0.7279549837112427,-15.736960411071777,-120.0,5.186422348022461,7.5692538022994995,0.7539682388305664,0.7569444179534912,30.963987350463867,0.0,0.0,1.0133247424482222e-14,9.198759172456862e-15,-109.94251251220703,-110.41009521484375,1.3324759996552124e-16,0.75,0.75,-110.0,-110.0,-0.057486604899168015,0.4100898802280426,0.18294966220855713,323.19415283203125,0.0010000000474974513
