algorithm,tau_rms_ns,batch_index,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,rate_gap_bps_per_hz,fairness_gap,coverage_gap,protection_gap
du_pf_cognitive,10.0,11.5,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,3.0831451416015625,-0.0007259348914865812,-0.013227517406145731,-0.010416671633720398
du_pf_cognitive,20.0,11.5,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,10.627363204956055,-0.0016272230494709244,-0.024470893045266468,0.02430555721124013
du_pf_cognitive,50.0,11.5,3999999.9999999995,399999.99999999994,511875.0,0.12796875000000002,1.2796875,1.0,0.0,16.442501703898113,-0.003395892783698446,-0.0423280398050944,-0.006944442788759868
du_pf_cognitive,100.0,11.5,1999999.9999999998,199999.99999999997,511875.0,0.25593750000000004,2.559375,1.0,0.0,25.766746520996094,-0.004625918660816626,-0.0400132288535436,-6.20881716410319e-09
du_pf_cognitive,200.0,11.5,999999.9999999999,99999.99999999999,511875.0,0.5118750000000001,5.11875,1.0,0.0,33.33103370666504,-0.004868420845679983,-0.04034391542275747,0.052083324640989304
du_pf_cognitive,400.0,11.5,499999.99999999994,49999.99999999999,511875.0,1.0237500000000002,10.2375,0.0,0.0,36.702073415120445,-0.00484135005824612,-0.049603176613648735,0.05902778233091036
du_pf_cognitive,800.0,11.5,249999.99999999997,24999.999999999996,511875.0,2.0475000000000003,20.475,0.0,0.0,39.066646575927734,-0.0054835575475036535,-0.047288358211517334,0.034722221394379936
du_pf_soft,10.0,11.5,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,1.4572804768880208,-0.0005411282882369917,-0.0006613756219546,0.013888887440164885
du_pf_soft,20.0,11.5,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,11.326475779215494,-0.0012163902444382684,-0.008597885568936666,0.041666666977107525
du_pf_soft,50.0,11.5,3999999.9999999995,399999.99999999994,511875.0,0.12796875000000002,1.2796875,1.0,0.0,13.4798952738444,-0.0022276070206865006,-0.015873012443383534,-0.020833334885537624
du_pf_soft,100.0,11.5,1999999.9999999998,199999.99999999997,511875.0,0.25593750000000004,2.559375,1.0,0.0,24.32771110534668,-0.0029939902847548328,-0.011904758711655935,0.09027778264135122
du_pf_soft,200.0,11.5,999999.9999999999,99999.99999999999,511875.0,0.5118750000000001,5.11875,1.0,0.0,27.26146125793457,-0.003116217513523654,-0.008597885568936666,0.10069445023934047
du_pf_soft,400.0,11.5,499999.99999999994,49999.99999999999,511875.0,1.0237500000000002,10.2375,0.0,0.0,26.731938044230144,-0.0027876469096729853,-0.012896825869878134,0.10416665921608607
du_pf_soft,800.0,11.5,249999.99999999997,24999.999999999996,511875.0,2.0475000000000003,20.475,0.0,0.0,32.492130279541016,-0.003379400334128521,-0.002976189057032267,0.1354166685293118
pf_fs_cognitive,10.0,11.5,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,0.2289861043294271,-0.0010929418494288051,-0.013558194041252136,-0.003472221394379934
pf_fs_cognitive,20.0,11.5,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,8.266822814941406,-0.002599951906496733,-0.03604497015476227,0.027777777363856632
pf_fs_cognitive,50.0,11.5,3999999.9999999995,399999.99999999994,511875.0,0.12796875000000002,1.2796875,1.0,0.0,26.318891525268555,-0.006496954662591425,-0.059854499995708466,0.038194440305233
pf_fs_cognitive,100.0,11.5,1999999.9999999998,199999.99999999997,511875.0,0.25593750000000004,2.559375,1.0,0.0,36.847805658976235,-0.007366766996830938,-0.05324073632558187,0.017361105730136234
pf_fs_cognitive,200.0,11.5,999999.9999999999,99999.99999999999,511875.0,0.5118750000000001,5.11875,1.0,0.0,63.354844411214195,-0.009650556869296409,-0.057539681593577065,0.05555556000520786
pf_fs_cognitive,400.0,11.5,499999.99999999994,49999.99999999999,511875.0,1.0237500000000002,10.2375,0.0,0.0,70.29342206319173,-0.010168815436597742,-0.06746031095584233,0.055555557211240135
pf_fs_cognitive,800.0,11.5,249999.99999999997,24999.999999999996,511875.0,2.0475000000000003,20.475,0.0,0.0,61.89136060078939,-0.010620636554289908,-0.06977512190739314,0.020833328366279602
pf_fs_soft,10.0,11.5,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,6.355925877888997,-0.0009556510919068404,-0.0026455124219258628,0.04861110510925452
pf_fs_soft,20.0,11.5,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,29.243622461954754,-0.0029381314394722837,-0.011243383089701334,0.09374999875823657
pf_fs_soft,50.0,11.5,3999999.9999999995,399999.99999999994,511875.0,0.12796875000000002,1.2796875,1.0,0.0,42.55729611714681,-0.004502368716477116,-0.018187830845514934,0.14930555472771326
