algorithm,tau_rms_ns,channel_modeling,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,sweep_value,batch_index,num_iterations_or_layers,converged,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
du_pf_cognitive,10.0,flat,357.4064178466797,354.71259180704754,2.836558868487676,0.008652438861585657,3.1848990420500436,0.8300525744756063,-6.0094779680172605,-120.0,8.629058639208475,10.905907616019249,0.8571428482731184,0.8536292935411135,24.273213664690655,0.0,14.574874930122556,1.0013595479767e-14,9.157207088903316e-15,-109.9941479365031,-110.4453198115031,2.4018219201066657e-17,0.8645833333333334,0.8402777761220932,-110.0,-110.0,-0.005851031028535421,0.4453212399967015,0.083134809974581,354.7125867207845,5.0,11.5,16.0,0.0,1.0,88.67913365772095,2.0551438818393843,1.5130978002645359,0.9780361706766724,8.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,8.0,8.0,8.0,0.5
du_pf_cognitive,10.0,selective,354.5030924479167,351.629446665446,2.8135166267553964,0.05300806384825657,3.153479740023613,0.8378317405780157,-6.900622807443142,-120.0,8.564863433440527,10.87812248369058,0.8703703656792641,0.848276287317276,24.243303457895916,0.0,14.597867478732951,1.002231854269518e-14,9.14496086301711e-15,-109.99035994211833,-110.45261001586914,3.041148271478424e-17,0.8750000049670538,0.8472222263614336,-110.0,-110.0,-0.009637943529439733,0.45261207067718107,0.08505722228437662,351.6294479370117,5.0,11.5,16.0,0.0,1.0,87.68842873838071,2.0383398171381275,1.5071123983639758,0.9787621055681589,8.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,8.0,8.0,8.0,0.5
du_pf_cognitive,20.0,flat,360.4205156962077,358.54540761311847,2.8604802985986075,0.00766397849612969,3.2453806499640145,0.8277542963624,-6.558359593153,-120.0,8.760300328334173,11.087041780352592,0.8538359726468722,0.8492476865649223,21.883330861727398,0.0,14.389859258585298,1.0036357337349052e-14,9.293226639481766e-15,-109.9842799504598,-110.37018871307373,3.97988665248879e-17,0.8263888942698637,0.8020833370586237,-110.0,-110.0,-0.015719369178746945,0.37018859821061295,0.08158876576150458,358.54540634155273,5.0,11.5,16.0,0.0,1.0,86.03455994556732,2.0107704237437676,1.497618616946572,0.9785760977823305,8.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,8.0,8.0,8.0,0.5
du_pf_cognitive,20.0,selective,349.9655532836914,347.9180444081624,2.7775043845176697,0.1703949258863068,3.1094762086868286,0.843310164908568,-8.434829940398535,-120.0,8.52950550119082,10.892399191856384,0.8783068656921387,0.8341807276010513,22.144572456677754,0.0,14.403550031478517,1.003735094228922e-14,9.300074547929923e-15,-109.9838457107544,-110.36831792195638,3.996460263823399e-17,0.8020833370586237,0.7916666703919569,-110.0,-110.0,-0.016154225934225035,0.36831901364712394,0.08767387084662914,347.91804758707684,5.0,11.5,16.0,0.0,1.0,83.78217071331838,1.9732922786868121,1.4898485019040961,0.9802033208318014,8.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,8.0,8.0,8.0,0.5
du_pf_cognitive,50.0,flat,351.6002451578776,348.64239501953125,2.7904781500498452,0.0045928763541154645,3.1598964681228003,0.8330594524741173,-5.761534586548805,-120.0,8.47938988606135,10.768057644367218,0.8621031666795412,0.8540013258655866,23.91187822818756,0.0,14.275710809781836,1.0033307630515502e-14,9.290111005250489e-15,-109.98560460408528,-110.35846042633057,3.879255609051032e-17,0.8506944502393404,0.8090277798473835,-110.0,-110.0,-0.014394798354216457,0.3584608944753806,0.08332034417738517,348.6423937479655,5.0,11.5,16.0,0.0,1.0,87.64253177920754,2.035571212445554,1.5003981272336333,0.9779027605587912,8.0,3999999.9999999995,399999.99999999994,511875.0,0.12796875000000002,1.2796875,1.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,50.0,selective,335.1143735249837,332.1998933156331,2.6596378684043884,0.3361520901189105,2.9104913671811423,0.8591585606336594,-10.387557566165924,-120.0,8.186720957358679,10.500111808379492,0.9044312064846357,0.8223793059587479,25.675578355789185,0.0,14.295022204673538,1.0026744042793308e-14,9.293253073968329e-15,-109.988418896993,-110.35493246714275,2.7051479478223776e-17,0.8576388930281004,0.8298611144224802,-110.0,-110.0,-0.011581160426249681,0.35493489541113377,0.09532654394085209,332.1998920440674,5.0,11.5,16.0,0.0,1.0,82.78075567189835,1.955588871023205,1.485732406307389,0.9812986533424897,8.0,3999999.9999999995,399999.99999999994,511875.0,0.12796875000000002,1.2796875,1.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,100.0,flat,353.10246149698895,350.18055089314777,2.8024004797140756,0.007692055348309153,3.153245563308398,0.8338726833462715,-6.056654964884122,-120.0,8.491053481896719,10.787324503064156,0.8637566069761912,0.8562954713900884,25.464781562487286,0.0,14.440379130188376,1.0146556923768508e-14,9.282980223090988e-15,-109.94257068634033,-110.36511707305908,1.4971519100956572e-16,0.8576388855775198,0.8298611119389534,-110.0,-110.0,-0.05742755028926183,0.36511748873939115,0.08483937755227089,350.18055470784503,5.0,11.5,16.0,0.0,1.0,87.73385116468766,2.0404523637378653,1.4942400192246972,0.9780564439093674,8.0,1999999.9999999998,199999.99999999997,511875.0,0.25593750000000004,2.559375,1.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,100.0,selective,327.07328033447266,324.4138043721517,2.5958196918169656,0.4754624228614072,2.8135986824830375,0.8694119676947594,-11.641908248265585,-120.0,7.97550497452418,10.30282220741113,0.9037698358297348,0.8137814203898112,26.402822613716125,0.0,14.455239686610488,1.0151401175779933e-14,9.266523714061337e-15,-109.94042428334554,-110.3738587697347,1.5246303647653762e-16,0.8576388917863369,0.8298611106971899,-110.0,-110.0,-0.05957373308089468,0.3738589392354091,0.10277457597355048,324.4138043721517,5.0,11.5,16.0,0.0,1.0,80.45045308622132,1.9221666399771464,1.469355667827254,0.982682362570184,8.0,1999999.9999999998,199999.99999999997,511875.0,0.25593750000000004,2.559375,1.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,200.0,flat,338.17791239420575,335.7291259765625,2.6839516858259835,0.008071200389850394,3.025645817319552,0.8339233423272768,-6.503149171670278,-120.0,8.033645004034042,10.230208848913511,0.8614417885740598,0.8530299216508865,26.532794038454693,0.0,14.372270717324378,1.0151352012575954e-14,8.969368886055005e-15,-109.94108041127522,-110.57166735331218,1.6163869734286715e-16,0.8472222182899714,0.8298611088345448,-110.0,-110.0,-0.05891762988006851,0.5716682989150286,0.08859652901689212,335.72912724812824,5.0,11.5,16.0,0.0,1.0,84.79903543521743,1.9886156678150497,1.4722100856201015,0.9792609535196424,8.0,999999.9999999999,99999.99999999999,511875.0,0.5118750000000001,5.11875,1.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,200.0,selective,304.6593475341797,302.39809226989746,2.417931318283081,0.5583977927453816,2.589116041858991,0.8738749399781227,-13.124503374099731,-120.0,7.251339713732402,9.559755504131317,0.9017857039968172,0.8045428271094958,30.621155659357708,0.0,14.380815054134777,1.0180884416263646e-14,8.959028484300122e-15,-109.92735354105632,-110.59056123097737,1.875111775445919e-16,0.795138893648982,0.7708333389212688,-110.0,-110.0,-0.07264649254805988,0.5905629599195285,0.11280202648291986,302.3980941772461,5.0,11.5,16.0,0.0,1.0,75.42014487374453,1.8415991600097306,1.4354761098301354,0.9841293743653224,8.0,999999.9999999999,99999.99999999999,511875.0,0.5118750000000001,5.11875,1.0,0.0,8.0,8.0,8.0,0.5
