algorithm,sweep_value,batch_index,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
pf_fs_soft,5.0,0.0,1.0,326.742919921875,0.0,0.0,1.2299803495407104,6.0
pf_fs_soft,5.0,0.0,2.0,384.18133544921875,0.0,0.0,0.29989197850227356,6.0
pf_fs_soft,5.0,0.0,3.0,412.6229248046875,0.0,0.0,0.1955351084470749,6.0
pf_fs_soft,5.0,0.0,4.0,430.03924560546875,0.0,0.0,0.1488826870918274,6.0
pf_fs_soft,5.0,0.0,5.0,442.2796325683594,0.0,0.0,0.11772017180919647,6.0
pf_fs_soft,5.0,0.0,6.0,451.8009033203125,0.0,0.0,0.09880375117063522,6.0
pf_fs_soft,5.0,0.0,7.0,459.6234436035156,0.0,0.0,0.08630242943763733,6.0
pf_fs_soft,5.0,0.0,8.0,466.2991027832031,0.0,0.0,0.07752631604671478,6.0
pf_fs_soft,5.0,0.0,9.0,472.04833984375,0.0,0.0,0.06876234710216522,6.0
pf_fs_soft,5.0,0.0,10.0,477.0556640625,0.0,0.0,0.06038283556699753,6.0
pf_fs_soft,5.0,0.0,11.0,481.5960388183594,0.0,0.0,0.05459750443696976,6.0
pf_fs_soft,5.0,0.0,12.0,485.81097412109375,0.0,0.0,0.05141483247280121,6.0
pf_fs_soft,5.0,0.0,13.0,489.69659423828125,0.0,0.0,0.04907536134123802,6.0
pf_fs_soft,5.0,0.0,14.0,493.2422790527344,0.0,0.0,0.046444378793239594,6.0
pf_fs_soft,5.0,0.0,15.0,496.4854736328125,0.0,0.0,0.04370184615254402,6.0
pf_fs_soft,5.0,0.0,16.0,499.4855041503906,0.0,0.0,0.04084894433617592,6.0
pf_fs_soft,5.0,0.0,17.0,502.3040466308594,0.0,0.0,0.03867359086871147,6.0
pf_fs_soft,5.0,0.0,18.0,504.95416259765625,0.0,0.0,0.037444114685058594,6.0
pf_fs_soft,5.0,0.0,19.0,507.4104309082031,0.0,0.0,0.035463638603687286,6.0
pf_fs_soft,5.0,0.0,20.0,509.69287109375,0.0,0.0,0.03253544494509697,6.0
pf_fs_cognitive,5.0,0.0,1.0,329.94549560546875,0.0,0.0,1.2275358438491821,6.0
pf_fs_cognitive,5.0,0.0,2.0,386.0015869140625,0.0,0.0,0.2908380329608917,6.0
pf_fs_cognitive,5.0,0.0,3.0,414.1358337402344,0.0,0.0,0.19042818248271942,6.0
pf_fs_cognitive,5.0,0.0,4.0,431.75286865234375,0.0,0.0,0.1460060030221939,6.0
pf_fs_cognitive,5.0,0.0,5.0,444.42547607421875,0.0,0.0,0.1197160929441452,6.0
