algorithm,sweep_value,batch_index,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
pf_fs_soft,5.0,0.0,1.0,183.81527709960938,0.0,1.9318280428028828e-17,0.8949977159500122,8.0
pf_fs_soft,5.0,0.0,2.0,163.2080078125,0.0,1.4357631972434018e-16,1.4732414484024048,8.0
pf_fs_soft,5.0,0.0,3.0,156.81295776367188,0.0,1.1295938210959151e-15,0.6263973712921143,8.0
pf_fs_soft,5.0,0.0,4.0,158.13946533203125,0.0,1.5250565635100029e-15,0.4681110084056854,8.0
pf_fs_soft,5.0,0.0,5.0,158.5443572998047,0.0,1.3660405272231113e-15,0.4035659432411194,8.0
pf_fs_soft,5.0,0.0,6.0,158.58294677734375,0.0,1.3662531324928721e-15,0.3678857386112213,8.0
pf_fs_soft,5.0,0.0,7.0,158.447509765625,0.0,1.3040783730655647e-15,0.35348936915397644,8.0
pf_fs_soft,5.0,0.0,8.0,156.95205688476562,0.0,1.557582628684568e-15,0.3431042432785034,8.0
pf_fs_soft,5.0,0.0,9.0,155.99130249023438,0.0,1.7299394338907148e-15,0.3398384749889374,8.0
pf_fs_soft,5.0,0.0,10.0,155.57095336914062,0.0,2.323964486833103e-15,0.32231101393699646,8.0
pf_fs_soft,5.0,0.0,11.0,156.92477416992188,0.0,2.5913355188316063e-15,0.32967597246170044,8.0
pf_fs_soft,5.0,0.0,12.0,154.94778442382812,0.0,2.5953470668698027e-15,0.33358660340309143,8.0
pf_fs_soft,5.0,0.0,13.0,153.86752319335938,0.0,2.3605986618018514e-15,0.3276181221008301,8.0
pf_fs_soft,5.0,0.0,14.0,158.9366912841797,0.0,1.8346496468302914e-15,0.32492247223854065,8.0
pf_fs_soft,5.0,0.0,15.0,157.9246826171875,0.0,1.925590492179302e-15,0.32951122522354126,8.0
pf_fs_soft,5.0,0.0,16.0,158.54598999023438,0.0,2.2037866052437155e-15,0.3106084167957306,8.0
pf_fs_soft,5.0,0.0,17.0,158.25430297851562,0.0,2.134813559381745e-15,0.3083662986755371,8.0
pf_fs_soft,5.0,0.0,18.0,161.62338256835938,0.0,2.013004292335946e-15,0.3092374801635742,8.0
pf_fs_soft,5.0,0.0,19.0,157.27166748046875,0.0,2.1424919130486053e-15,0.3139386475086212,8.0
pf_fs_soft,5.0,0.0,20.0,156.917236328125,0.0,2.2171265271300235e-15,0.30251210927963257,8.0
pf_fs_soft,5.0,0.0,21.0,159.21209716796875,0.0,1.7139957327245471e-15,0.31676965951919556,8.0
pf_fs_soft,5.0,0.0,22.0,158.50596618652344,0.0,1.4087428462259896e-15,0.330414354801178,8.0
pf_fs_soft,5.0,0.0,23.0,157.6968994140625,0.0,1.367501659057125e-15,0.3179542124271393,8.0
pf_fs_soft,5.0,0.0,24.0,160.81201171875,0.0,1.4581782301265923e-15,0.3174903392791748,8.0
pf_fs_soft,5.0,0.0,25.0,157.6407012939453,0.0,1.5136648174023798e-15,0.3189561665058136,8.0
pf_fs_soft,5.0,0.0,26.0,158.55003356933594,0.0,1.450153439984305e-15,0.3159441649913788,8.0
pf_fs_soft,5.0,0.0,27.0,160.51187133789062,0.0,1.3327902488786438e-15,0.31679579615592957,8.0
pf_fs_soft,5.0,0.0,28.0,159.4565887451172,0.0,1.437469121599172e-15,0.31427624821662903,8.0
pf_fs_soft,5.0,0.0,29.0,160.0362548828125,0.0,1.5177644568670906e-15,0.30764785408973694,8.0
pf_fs_soft,5.0,0.0,30.0,161.06797790527344,0.0,1.6061887673298088e-15,0.3079117238521576,8.0
pf_fs_soft,5.0,0.0,31.0,163.10116577148438,0.0,1.5495747792012259e-15,0.32359445095062256,8.0
pf_fs_soft,5.0,0.0,32.0,161.99649047851562,0.0,1.292147914003488e-15,0.3181873559951782,8.0
pf_fs_soft,5.0,0.0,33.0,157.2471923828125,0.0,1.039717696161603e-15,0.31823065876960754,8.0
pf_fs_soft,5.0,0.0,34.0,159.97650146484375,0.0,8.271175085984572e-16,0.32459720969200134,8.0
pf_fs_soft,5.0,0.0,35.0,156.55181884765625,0.0,1.3015889432335843e-15,0.3334428668022156,8.0
pf_fs_soft,5.0,0.0,36.0,158.68463134765625,0.0,1.7366979097768569e-15,0.3188723921775818,8.0
pf_fs_soft,5.0,0.0,37.0,160.92303466796875,0.0,1.8339237395944945e-15,0.32521021366119385,8.0
pf_fs_soft,5.0,0.0,38.0,160.62022399902344,0.0,1.582290579755976e-15,0.3327772617340088,8.0
pf_fs_soft,5.0,0.0,39.0,157.6094207763672,0.0,1.45494595239987e-15,0.33007505536079407,8.0
pf_fs_soft,5.0,0.0,40.0,160.1332244873047,0.0,1.526116201727018e-15,0.3219675123691559,8.0
pf_fs_cognitive,5.0,0.0,1.0,191.12002563476562,0.0,8.470329472543003e-22,0.8870697021484375,8.0
pf_fs_cognitive,5.0,0.0,2.0,185.36392211914062,0.0,9.852179022693669e-17,1.4526832103729248,8.0
pf_fs_cognitive,5.0,0.0,3.0,186.62940979003906,0.0,6.558237297411146e-17,0.5436596274375916,8.0
pf_fs_cognitive,5.0,0.0,4.0,189.2161407470703,0.0,6.256439458304439e-17,0.396263986825943,8.0
pf_fs_cognitive,5.0,0.0,5.0,190.31057739257812,0.0,8.125163546536876e-17,0.33948153257369995,8.0
pf_fs_cognitive,5.0,0.0,6.0,190.57748413085938,0.0,4.3019109325151406e-17,0.29978567361831665,8.0
pf_fs_cognitive,5.0,0.0,7.0,190.58047485351562,0.0,3.117843575548354e-17,0.28250232338905334,8.0
pf_fs_cognitive,5.0,0.0,8.0,191.20626831054688,0.0,3.0320391379914935e-17,0.27072131633758545,8.0
pf_fs_cognitive,5.0,0.0,9.0,190.7526397705078,0.0,2.949453425634199e-17,0.2638539671897888,8.0
pf_fs_cognitive,5.0,0.0,10.0,192.0045166015625,0.0,7.932124737857621e-17,0.25460436940193176,8.0
