algorithm,sweep_value,batch_index,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
pf_fs_soft,5.0,0.0,1.0,198.6591796875,0.0,8.186534674985146e-13,0.8662987351417542,6.0
pf_fs_soft,5.0,0.0,2.0,409.23779296875,0.0,2.44361150238126e-12,1.516524314880371,6.0
pf_fs_soft,5.0,0.0,3.0,437.4769287109375,0.0,2.5208452946595683e-12,0.20899654924869537,6.0
pf_fs_soft,5.0,0.0,4.0,453.4482421875,0.0,2.5844331015545396e-12,0.1457502245903015,6.0
pf_fs_soft,5.0,0.0,5.0,464.9913635253906,0.0,2.6540701060506766e-12,0.11571694165468216,6.0
pf_fs_soft,5.0,0.0,6.0,474.17041015625,0.0,2.7147808740607404e-12,0.09755551815032959,6.0
pf_fs_soft,5.0,0.0,7.0,481.8335876464844,0.0,2.7623753978689436e-12,0.0859496146440506,6.0
pf_fs_soft,5.0,0.0,8.0,488.298583984375,0.0,2.8028508333721724e-12,0.07674402743577957,6.0
pf_fs_soft,5.0,0.0,9.0,493.75579833984375,0.0,2.837841290084797e-12,0.06891390681266785,6.0
pf_fs_soft,5.0,0.0,10.0,498.4364318847656,0.0,2.8656432695534084e-12,0.061948299407958984,6.0
pf_fs_soft,5.0,0.0,11.0,502.5404968261719,0.0,2.8898259653298286e-12,0.05635874718427658,6.0
pf_fs_soft,5.0,0.0,12.0,506.1376647949219,0.0,2.920091252134327e-12,0.05190976709127426,6.0
pf_fs_soft,5.0,0.0,13.0,509.2650146484375,0.0,2.960168568599819e-12,0.046944085508584976,6.0
pf_fs_soft,5.0,0.0,14.0,511.9985656738281,0.0,3.005254248580891e-12,0.04203738272190094,6.0
pf_fs_soft,5.0,0.0,15.0,514.4169311523438,0.0,3.050645890415038e-12,0.038254160434007645,6.0
pf_fs_soft,5.0,0.0,16.0,516.5846557617188,0.0,3.092790346742591e-12,0.03523879125714302,6.0
pf_fs_soft,5.0,0.0,17.0,518.550048828125,0.0,3.1303774676583185e-12,0.03265813738107681,6.0
pf_fs_soft,5.0,0.0,18.0,520.345703125,0.0,3.1630696326057084e-12,0.03029012307524681,6.0
pf_fs_soft,5.0,0.0,19.0,522.0046997070312,0.0,3.191373814520615e-12,0.028183097019791603,6.0
pf_fs_soft,5.0,0.0,20.0,523.5596923828125,0.0,3.2161909854083737e-12,0.02674720622599125,6.0
pf_fs_cognitive,5.0,0.0,1.0,200.83448791503906,0.0,2.1093081437311562e-13,0.8680850863456726,6.0
pf_fs_cognitive,5.0,0.0,2.0,408.8012390136719,0.0,5.874621535756352e-13,1.5299330949783325,6.0
pf_fs_cognitive,5.0,0.0,3.0,437.83905029296875,0.0,6.115966023553798e-13,0.21193723380565643,6.0
pf_fs_cognitive,5.0,0.0,4.0,454.4957275390625,0.0,6.388281288509379e-13,0.14878492057323456,6.0
pf_fs_cognitive,5.0,0.0,5.0,466.5489501953125,0.0,6.609313248605309e-13,0.11903531104326248,6.0
pf_fs_cognitive,5.0,0.0,6.0,475.99053955078125,0.0,6.789189978435861e-13,0.10040666162967682,6.0
pf_fs_cognitive,5.0,0.0,7.0,483.6727600097656,0.0,6.891266528773199e-13,0.08708169311285019,6.0
pf_fs_cognitive,5.0,0.0,8.0,489.99847412109375,0.0,6.97044364502547e-13,0.07732944190502167,6.0
pf_fs_cognitive,5.0,0.0,9.0,495.2781982421875,0.0,7.084403593274335e-13,0.06924014538526535,6.0
pf_fs_cognitive,5.0,0.0,10.0,499.8697509765625,0.0,7.243174159413113e-13,0.062044575810432434,6.0
pf_fs_cognitive,5.0,0.0,11.0,503.9453125,0.0,7.432868339915522e-13,0.056075822561979294,6.0
pf_fs_cognitive,5.0,0.0,12.0,507.52056884765625,0.0,7.62754605570376e-13,0.0515139140188694,6.0
pf_fs_cognitive,5.0,0.0,13.0,510.5726318359375,0.0,7.800745726455061e-13,0.04767893999814987,6.0
pf_fs_cognitive,5.0,0.0,14.0,513.1953735351562,0.0,7.943622430846287e-13,0.04301327094435692,6.0
pf_fs_cognitive,5.0,0.0,15.0,515.5496826171875,0.0,8.06341592888421e-13,0.040056437253952026,6.0
pf_fs_cognitive,5.0,0.0,16.0,517.703369140625,0.0,8.165581383799692e-13,0.03771013766527176,6.0
pf_fs_cognitive,5.0,0.0,17.0,519.6773681640625,0.0,8.255115883405717e-13,0.03531855717301369,6.0
pf_fs_cognitive,5.0,0.0,18.0,521.4737548828125,0.0,8.333300412569078e-13,0.03285765275359154,6.0
pf_fs_cognitive,5.0,0.0,19.0,523.1123657226562,0.0,8.400184302488622e-13,0.03052043728530407,6.0
pf_fs_cognitive,5.0,0.0,20.0,524.624755859375,0.0,8.456698882830516e-13,0.028604816645383835,6.0
du_pf_soft,5.0,0.0,1.0,168.18161010742188,0.0,9.286652393261652e-13,0.7854761481285095,6.0
du_pf_soft,5.0,0.0,2.0,392.8260498046875,0.0,3.227017394621945e-12,1.5424468517303467,6.0
du_pf_soft,5.0,0.0,3.0,426.323974609375,0.0,3.294356974714585e-12,0.21211206912994385,6.0
du_pf_soft,5.0,0.0,4.0,443.2291259765625,0.0,3.303709736335314e-12,0.14632199704647064,6.0
du_pf_soft,5.0,0.0,5.0,455.1923828125,0.0,3.3320264949954215e-12,0.11639150977134705,6.0
du_pf_soft,5.0,0.0,6.0,464.508544921875,0.0,3.35546607860282e-12,0.0967743843793869,6.0
du_pf_soft,5.0,0.0,7.0,472.320556640625,0.0,3.36998831618196e-12,0.08505330234766006,6.0
du_pf_soft,5.0,0.0,8.0,479.11785888671875,0.0,3.3739647360697678e-12,0.07694856077432632,6.0
du_pf_soft,5.0,0.0,9.0,485.06768798828125,0.0,3.378160381636852e-12,0.07052016258239746,6.0
du_pf_soft,5.0,0.0,10.0,490.2074279785156,0.0,3.3892157743492524e-12,0.06408265978097916,6.0
du_pf_cognitive,5.0,0.0,1.0,134.60682678222656,0.0,2.5164121003964923e-13,0.6834224462509155,6.0
du_pf_cognitive,5.0,0.0,2.0,380.4531555175781,0.0,1.4410621133886803e-12,1.7989709377288818,6.0
du_pf_cognitive,5.0,0.0,3.0,418.599365234375,0.0,1.3741179418283456e-12,0.24481993913650513,6.0
du_pf_cognitive,5.0,0.0,4.0,438.44781494140625,0.0,1.2911220486841457e-12,0.16309776902198792,6.0
du_pf_cognitive,5.0,0.0,5.0,452.0372314453125,0.0,1.2404602085097638e-12,0.12639735639095306,6.0
du_pf_cognitive,5.0,0.0,6.0,462.396728515625,0.0,1.2055078072933934e-12,0.10326912254095078,6.0
du_pf_cognitive,5.0,0.0,7.0,470.8557434082031,0.0,1.1819923295339207e-12,0.09024450182914734,6.0
du_pf_cognitive,5.0,0.0,8.0,478.0611572265625,0.0,1.16742086917615e-12,0.08224309980869293,6.0
du_pf_cognitive,5.0,0.0,9.0,484.29071044921875,0.0,1.1587910535640344e-12,0.07487492263317108,6.0
du_pf_cognitive,5.0,0.0,10.0,489.78070068359375,0.0,1.1516156951663081e-12,0.06869913637638092,6.0
pf_fs_soft,5.0,1.0,1.0,233.45126342773438,0.0,2.323445797737522e-13,0.8670413494110107,6.0
pf_fs_soft,5.0,1.0,2.0,459.452392578125,0.0,1.6954756825934836e-12,1.5664677619934082,6.0
pf_fs_soft,5.0,1.0,3.0,495.17962646484375,0.0,1.575714819040952e-12,0.211652472615242,6.0
pf_fs_soft,5.0,1.0,4.0,514.4832763671875,0.0,1.4206267455810218e-12,0.15115217864513397,6.0
pf_fs_soft,5.0,1.0,5.0,527.90380859375,0.0,1.3245620962901161e-12,0.12104465067386627,6.0
pf_fs_soft,5.0,1.0,6.0,537.966796875,0.0,1.2665032867939519e-12,0.10136602073907852,6.0
pf_fs_soft,5.0,1.0,7.0,545.8159790039062,0.0,1.2311692464128665e-12,0.08876636624336243,6.0
pf_fs_soft,5.0,1.0,8.0,552.0128173828125,0.0,1.2071109086256304e-12,0.0781358927488327,6.0
pf_fs_soft,5.0,1.0,9.0,556.9940185546875,0.0,1.1909037124502309e-12,0.06971700489521027,6.0
pf_fs_soft,5.0,1.0,10.0,561.2376708984375,0.0,1.1813997046264402e-12,0.06396068632602692,6.0
pf_fs_soft,5.0,1.0,11.0,564.9674072265625,0.0,1.175875911398061e-12,0.05920016020536423,6.0
