algorithm,num_bs_ant,num_ut_per_sector,sweep_value,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,batch_index,num_iterations_or_layers,converged,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
du_pf_cognitive,16,4,5.0,257.61319732666016,251.27665786743165,3.0668237805366516,1.0085419319603177e-05,3.4958365201950072,0.7502475291490555,-10.888484835624695,-120.0,9.610568344593048,12.934571135044099,0.7982142955064774,0.784895834326744,5.648655700683594,0.0,14.033776722161566,9.998922483311087e-15,8.33407232216424e-15,-110.00050430297851,-110.97843551635742,1.6880307847594138e-17,0.95,0.95,-110.0,-110.0,0.0005037249415181577,0.9784357771277428,0.04979560878127813,251.27665481567382,9.5,16.0,0.0,1.0,63.53694597192681,2.1833286170899164,1.4895719674464114,0.9570599520165219,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,16,6,5.0,304.9753982543945,298.92742309570315,2.4204396963119508,0.0,2.860424983501434,0.6477672189474106,-24.549004077911377,-120.0,7.563952434062958,11.292963337898254,0.6857142955064773,0.6704861134290695,6.090111863613129,0.0,14.00536084775813,1.0005460137707881e-14,8.517332093115797e-15,-109.99765052795411,-110.85536079406738,1.5152318283548003e-17,0.9375000029802323,0.9291666716337204,-110.0,-110.0,-0.0023480428911000217,0.8553610578179359,0.047587127052247526,298.927424621582,9.5,16.0,0.0,1.0,69.8132377451024,1.7985585448347954,1.1257792415950751,0.9443906336112798,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,16,8,5.0,339.35648651123046,335.776301574707,2.019979101419449,0.0,2.0963112711906433,0.5629664570093155,-35.40787420272827,-120.0,5.291433906555175,10.285654199123382,0.597023805975914,0.5798549115657806,5.118779861927033,0.0,14.007204568968154,9.999407070860211e-15,8.563346014480909e-15,-110.00028800964355,-110.82817687988282,1.3473753091974155e-17,0.9375000029802323,0.9375000029802323,-110.0,-110.0,0.00028911524859722706,0.8281764432787895,0.04496700745075941,335.77628936767576,9.5,16.0,0.0,1.0,69.85987960008096,1.5699441086181116,0.9749291690193933,0.9371376494804279,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,32,4,5.0,285.3881591796875,284.4244010925293,3.3974781155586244,1.1790942109694296,3.5686647772789,0.9172568500041962,4.565092688798904,-38.682840695716436,9.914303815364837,12.241526699066162,0.9476190418004989,0.9390997022390366,25.01866340637207,0.0,13.99729569129995,1.0124230208187284e-14,9.253159567032738e-15,-109.94919052124024,-110.396630859375,1.2547065166360061e-16,0.8416666716337204,0.8333333373069763,-110.0,-110.0,-0.05080724066836524,0.39663053303956985,0.11905099712312221,284.4244049072266,9.5,16.0,0.0,1.0,72.22641827559849,2.3842286024119828,1.9370349872457475,0.9888922207003109,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,32,6,5.0,361.4427101135254,358.27141189575195,2.8685929477214813,0.016155436371212528,3.2247071146965025,0.8293866097927094,-5.934267899394035,-120.0,8.74839233160019,11.08112216591835,0.8575396776199341,0.8523809522390365,24.62038474082947,0.0,13.96512764369254,1.0010540387215627e-14,9.234271536990267e-15,-109.99544486999511,-110.38978004455566,1.6586345063249534e-17,0.9041666701436043,0.8791666731238366,-110.0,-110.0,-0.004553425315465631,0.3897811993956566,0.08262788858264684,358.27141494750975,9.5,16.0,0.0,1.0,88.58035676333354,2.050734542336745,1.5197653285482102,0.978279474642816,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,32,8,5.0,398.04210052490237,393.36715545654295,2.369298219680786,0.0,2.8358325183391573,0.7579077631235123,-15.410619735717773,-120.0,7.377315974235534,9.722238969802856,0.7788690537214279,0.7748139888048172,22.868864870071413,0.0,13.807522276241798,1.0056765685652727e-14,9.27158748877826e-15,-109.97560272216796,-110.38366966247558,5.893494310735444e-17,0.8625000044703484,0.8458333358168602,-110.0,-110.0,-0.024396464547834285,0.3836710710078478,0.07257493082433938,393.36715240478514,9.5,16.0,0.0,1.0,93.44778259224215,1.7760308670989873,1.251582928879173,0.9703136298499071,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,64,4,5.0,312.20703125,311.635693359375,3.716750383377075,2.696750881969929,3.7536220014095307,0.9698729008436203,10.324540042877198,5.9218785142898565,10.606423950195312,12.7580060005188,0.9946428507566452,0.9946800649166108,68.4106840133667,0.0,13.783204416709486,1.0192247843236399e-14,9.2164087979788e-15,-109.92539978027344,-110.42065925598145,1.9224801871969843e-16,0.816666665673256,0.7625000029802322,-110.0,-110.0,-0.07460038480981979,0.4206581000238657,0.3785126835107803,311.63568725585935,9.5,16.0,0.0,1.0,77.53888031510087,2.525281806268466,2.234770833540096,0.9953816813820794,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,64,6,5.0,413.9617691040039,413.2927520751953,3.2854108691215513,2.16461688131094,3.3694248616695406,0.9535038828849792,6.649618363380432,4.536300176382065,9.467878079414367,11.217513251304627,0.9746031671762466,0.9725694477558136,73.42491912841797,0.0,13.786132722016191,1.0065282178420895e-14,9.432842783716161e-15,-109.97178688049317,-110.3128677368164,6.5285742035983e-17,0.725,0.6583333283662796,-110.0,-110.0,-0.02821272513756412,0.31286801751703025,0.16962654516100883,413.2927505493164,9.5,16.0,0.0,1.0,104.49693410213942,2.3009258819688485,1.9728880444533956,0.9938436334218045,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,64,8,5.0,512.8815139770508,510.7068862915039,3.0528661608695984,0.45220504325736555,3.277246135473251,0.9069921463727951,0.7895607836544514,-101.66813836872578,9.085636091232299,10.826814782619476,0.9273809522390366,0.9253348201513291,72.01751365661622,0.0,13.835850402893266,1.0050202154399394e-14,9.489844120011523e-15,-109.9782730102539,-110.26655387878418,5.02023722343415e-17,0.6833333298563957,0.6166666701436043,-110.0,-110.0,-0.021726713180616742,0.26655488098040225,0.10529661104083061,510.70689086914064,9.5,16.0,0.0,1.0,129.19807275116005,2.1729526968582427,1.745653027657022,0.988850669622812,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,96,4,5.0,540.9737075805664,521.3454818725586,6.44016318321228,0.5957343892402044,6.840699064731598,0.8076070696115494,7.384652590751648,-94.8794251215458,20.435921573638915,25.561843585968017,0.8988095194101333,0.8952380895614624,30.937655603885652,0.0,13.883633736846969,6.08105619378984e-15,2.0600577415030196e-15,-113.1475845336914,-119.60277862548828,2.9758808535885335e-18,0.975,0.9708333343267441,-110.0,-110.0,3.1475861311681355,9.602780103683472,0.8197919170372188,521.3454711914062,9.5,16.0,0.0,1.0,116.29952091463679,4.10921389089493,2.7555474592204505,0.9457117456386486,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,96,6,5.0,513.2061950683594,512.0826599121094,4.073065018653869,2.9661765575408934,4.1094582080841064,0.9632106751203537,10.943194150924683,7.352020007371903,11.794354677200317,13.909972381591796,0.991666653752327,0.989161702990532,73.45333747863769,0.0,13.847727839479921,1.0046147661790772e-14,9.506775249835952e-15,-109.98002281188965,-110.25411262512208,4.615982279027563e-17,0.7833333313465118,0.7333333238959312,-110.0,-110.0,-0.019974935653158353,0.25411431719549,0.35659791752696035,512.0826553344726,9.5,16.0,0.0,1.0,126.6400194679588,2.744268779977456,2.373909911421984,0.9938760591192907,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,96,8,5.0,636.2115173339844,634.278662109375,3.7869733214378356,2.4030142802000047,3.8665679156780244,0.9473493129014969,7.770724284648895,2.4627074539661407,11.123842096328735,13.002371740341186,0.9729166626930237,0.9700520783662796,74.10549736022949,0.0,13.966759573173476,1.0071850410707083e-14,9.613746998393051e-15,-109.96896934509277,-110.19478378295898,7.18506285420301e-17,0.7458333268761634,0.7041666641831398,-110.0,-110.0,-0.031029385239963857,0.19478671476244927,0.17717450559139253,634.2786834716796,9.5,16.0,0.0,1.0,159.81953321410361,2.599940156644627,2.211953802052334,0.993234154918661,8.0,8.0,8.0,8.0,0.5
du_pf_soft,16,4,5.0,207.0303047180176,204.0385513305664,2.4646464586257935,0.0003536881755967832,2.7812808394432067,0.7792837142944335,-9.729208254814148,-120.0,7.093457293510437,9.906090903282166,0.8148809522390366,0.7992559552192688,4.6114379405975345,0.0,14.031738360342569,9.996898582786918e-15,8.51769811722813e-15,-110.00138359069824,-110.8623161315918,1.1106931279108827e-17,0.9416666716337204,0.9291666716337204,-110.0,-110.0,0.0013824963939185863,0.862317655980587,0.0855705352500081,204.0385543823242,9.5,16.0,0.0,1.0,49.666095041665336,1.8390934469806848,1.322120834152368,0.9710216635357762,8.0,,,,
du_pf_soft,16,6,5.0,243.27391357421874,240.30838165283203,1.930745357275009,0.0,2.282125198841095,0.6781882613897323,-22.253071784973145,-120.0,5.2964730024337765,8.39527867436409,0.6980158776044846,0.6860367029905319,5.190895819664002,0.0,14.028701061347965,1.0076273955570824e-14,8.603266296120177e-15,-109.96811218261719,-110.80030822753906,8.586385691811051e-17,0.9000000059604645,0.8875000059604645,-110.0,-110.0,-0.0318882238633563,0.8003106728196144,0.07983608245849609,240.3083755493164,9.5,16.0,0.0,1.0,49.27731002782445,1.5148644053705502,1.0136387754467722,0.961043623183081,8.0,,,,
du_pf_soft,16,8,5.0,270.81340713500975,269.6653633117676,1.6119845509529114,0.0,1.8443915605545045,0.596756961941719,-32.12660627365112,-120.0,3.8112045109272,7.440189474821091,0.6041666686534881,0.5960565477609634,3.860728931427002,0.0,14.008690968801966,1.000128549347569e-14,8.61164988941892e-15,-109.99957733154297,-110.8057903289795,2.565667032398012e-17,0.925,0.9125,-110.0,-110.0,-0.000423049198661829,0.8057912178337574,0.07498931270092726,269.6653648376465,9.5,16.0,0.0,1.0,43.295014742018004,1.3273233886002551,0.887686575419645,0.9571630421830262,8.0,,,,
du_pf_soft,32,4,5.0,208.80247116088867,208.15917282104493,2.4857437014579773,1.1332276437059046,2.5827358573675157,0.9263469040393829,2.786674734950066,-12.89782223761081,6.5931769490242,8.605701684951782,0.9440476149320602,0.9392113119363785,37.87366824150085,0.0,13.997544347093207,1.296265616445799e-14,9.706215340607493e-15,-109.25830078125,-110.25655975341797,2.962656339941289e-15,0.550000000372529,0.5124999988824129,-110.0,-110.0,-0.7416984156472608,0.25656011421233416,0.19023192152380944,208.1591682434082,9.5,16.0,0.0,1.0,52.0050195640742,1.868009946599828,1.557039835954836,0.9913442431795232,8.0,,,,
du_pf_soft,32,6,5.0,261.35937957763673,259.7217185974121,2.074280780553818,0.032972231802724995,2.2772923737764357,0.8475493252277374,-6.391013580560684,-120.0,5.47399719953537,7.435174173116684,0.8583333253860473,0.8540178596973419,43.372964191436765,0.0,13.975496365234722,1.0321640553907318e-14,9.271394026453107e-15,-109.86811218261718,-110.43180351257324,3.2164072939061797e-16,0.5458333306014538,0.49583332762122156,-110.0,-110.0,-0.13188697814475744,0.4318040957674384,0.13417757228016852,259.7217170715332,9.5,16.0,0.0,1.0,58.06495903069894,1.6011327997676166,1.2472716399476511,0.9841369500821703,8.0,,,,
du_pf_soft,32,8,5.0,290.8392028808594,288.9353485107422,1.7311857223510743,0.0,2.039876419305801,0.7779724657535553,-14.88218994140625,-120.0,4.433214211463929,6.40819491147995,0.7794642865657806,0.7780877977609635,42.95624189376831,0.0,13.786016276216833,1.1951882092323834e-14,9.556736302383622e-15,-109.39410133361817,-110.3247917175293,1.9518822678071336e-15,0.47916666865348817,0.4541666641831398,-110.0,-110.0,-0.6058986015283153,0.324792705103755,0.109632733091712,288.9353530883789,9.5,16.0,0.0,1.0,57.63660364758319,1.4269054911245322,1.0607184690951654,0.978786681936328,8.0,,,,
du_pf_soft,64,4,5.0,269.4917266845703,268.868970489502,3.2082348346710203,2.3004676085710525,3.2509224712848663,0.9652975350618362,8.602475714683532,4.199429262876511,8.98570874929428,10.979064762592316,0.991071417927742,0.9907738119363785,70.36480979919433,0.0,13.794166446005693,1.110048218200667e-14,9.396138982639147e-15,-109.726171875,-110.39271774291993,1.1004823574899689e-15,0.5416666716337204,0.5000000052154064,-110.0,-110.0,-0.2738262533675879,0.39271858111023905,0.47787191569805143,268.8689666748047,9.5,16.0,0.0,1.0,67.60674074601448,2.2434502414073463,1.9761444623514506,0.9947453977967301,8.0,,,,
du_pf_soft,64,6,5.0,365.33173828125,364.55208587646484,2.8994582891464233,1.872789441049099,2.9866949379444123,0.9539349496364593,5.814386999607086,3.3207394167780877,8.119602870941161,9.810620033740998,0.9746031612157822,0.9741567432880401,73.19787254333497,0.0,13.778825465904083,1.0913933212714334e-14,9.660094947200912e-15,-109.71765747070313,-110.22224884033203,9.139333881976343e-16,0.40833333507180214,0.3583333343267441,-110.0,-110.0,-0.28234093692153694,0.22224999819882213,0.2512197233736515,364.55208587646484,9.5,16.0,0.0,1.0,92.09416850685004,2.0841299477774076,1.7865965559652195,0.9940936110313597,8.0,,,,
du_pf_soft,64,8,5.0,446.1482452392578,444.31399688720705,2.6556443095207216,0.4980967527617837,2.839520353078842,0.9110937088727951,0.4536992646753788,-72.03404087066653,7.612890923023224,9.219094955921173,0.927678570151329,0.9290550619363784,74.10537109375,0.0,13.837659817386884,1.0138246697640211e-14,9.710916796981228e-15,-109.94085121154785,-110.15663299560546,1.3824687312351085e-16,0.4166666675359011,0.35833333246409893,-110.0,-110.0,-0.059147283900529146,0.15663383764622268,0.16456815525889396,444.3139892578125,9.5,16.0,0.0,1.0,110.63009702074919,1.943168943063505,1.5826950195155662,0.9898019201932883,8.0,,,,
du_pf_soft,96,4,5.0,528.0692657470703,506.770068359375,6.286538887023926,0.46871536772580813,6.585115492343903,0.7996325999498367,6.765638220310211,-102.38593689560888,19.631477260589598,24.97241132259369,0.8970238119363785,0.8918898820877075,6.937098684906959,0.0,13.878072949079797,7.885615291630455e-15,2.5271288014792186e-15,-111.26517944335937,-118.01954803466796,5.462515476842983e-19,0.9916666656732559,0.9916666656732559,-110.0,-110.0,1.2651795672923583,8.019548213481903,0.23620915981009602,506.7700729370117,9.5,16.0,0.0,1.0,113.03297892467462,3.9630641984401422,2.59869240247737,0.9409333095211265,8.0,,,,
du_pf_soft,96,6,5.0,439.2874359130859,438.1743408203125,3.486408233642578,2.433559148013592,3.517040193080902,0.9580183327198029,8.852016377449036,5.483922830224037,9.92886745929718,11.870869743824006,0.9865079253911972,0.9845734179019928,75.1360538482666,0.0,13.83006485454971,1.0084206503825155e-14,9.529421988581865e-15,-109.96366310119629,-110.26235008239746,8.420667930845484e-17,0.6124999985098839,0.5333333283662796,-110.0,-110.0,-0.036337229423224926,0.26235013409750535,0.45905832946300507,438.1743423461914,9.5,16.0,0.0,1.0,110.73715899454382,2.4178577096483087,2.076435772065945,0.9934320012849316,8.0,,,,
du_pf_soft,96,8,5.0,562.5762817382813,560.6761291503906,3.348668324947357,2.1042369593679906,3.439128190279007,0.9502764731645584,6.797068035602569,1.8575434833765025,9.69493260383606,11.360987424850464,0.9732142806053161,0.9722656220197677,75.46935997009277,0.0,13.95535376369953,1.0170268058233155e-14,9.680242218774418e-15,-109.92789192199707,-110.16355514526367,1.702682337164545e-16,0.5374999985098838,0.4999999962747097,-110.0,-110.0,-0.07210508964199107,0.1635578264016658,0.2668377511203289,560.676123046875,9.5,16.0,0.0,1.0,142.77179602187192,2.347940157736933,2.008644831764374,0.9934595189075248,8.0,,,,
pf_fs_cognitive,16,4,5.0,288.25850982666014,280.5310317993164,3.431648921966553,0.0,4.056421560049057,0.7376567870378494,-15.345235586166382,-120.0,11.564210128784179,14.78160718679428,0.7880952447652817,0.7690476208925248,4.05187954902649,0.0,34.92025723312982,9.98642324162493e-15,7.555394467885241e-15,-110.00598678588867,-111.56036071777343,1.2737512054220717e-17,0.9708333402872086,0.9708333402872086,-110.0,-110.0,0.005988343467470259,1.5603627532720565,0.029053229093551635,280.5310287475586,9.5,40.0,0.0,0.0,70.79900946385479,2.3870884281726514,1.5946573938558417,0.9508210737734453,8.0,8.0,8.0,8.0,0.5
pf_fs_cognitive,16,6,5.0,342.2407821655273,334.00267639160154,2.716196668148041,0.0,3.164791977405548,0.6252627372741699,-31.318671226501465,-120.0,9.076958549022674,13.254071533679962,0.6678571552038193,0.650620037317276,3.448688530921936,0.0,34.904315091547325,9.995259192869155e-15,7.365036793769753e-15,-110.00212059020996,-111.65556602478027,1.7054542524844348e-17,0.9458333432674408,0.9375000089406967,-110.0,-110.0,0.0021218035271886038,1.655568742752075,0.03018424306064844,334.00267181396487,9.5,40.0,0.0,0.0,80.57091358064424,1.9693515457375335,1.194119802104002,0.9341673453930458,8.0,8.0,8.0,8.0,0.5
pf_fs_cognitive,16,8,5.0,380.14625854492186,376.2308181762695,2.262775331735611,0.0,2.1419571071863173,0.538898053765297,-43.5131778717041,-120.0,5.847472620010376,12.278922533988952,0.5836309492588043,0.5578125029802322,3.296992486715317,0.0,34.885470298759174,9.988983737521185e-15,7.526672702962502e-15,-110.00481872558593,-111.5712100982666,1.01662164878882e-17,0.9708333343267441,0.9708333343267441,-110.0,-110.0,0.004819545968348393,1.5712127447128297,0.025432533025741576,376.23081970214844,9.5,40.0,0.0,0.0,84.42578873611129,1.7227761980614904,1.0390846655838968,0.9239216111327824,8.0,8.0,8.0,8.0,0.5
pf_fs_cognitive,32,4,5.0,352.23086700439455,350.3362152099609,4.193224561214447,1.0169234152644278,4.507088196277619,0.9036825090646744,5.534963768720627,-70.45164393067358,12.85150866508484,15.355648308992386,0.9398809492588043,0.9286086350679398,14.949011659622192,0.0,34.83203172682552,1.0107317882494284e-14,8.37180816936001e-15,-109.95733032226562,-110.96616249084472,1.1862654074649114e-16,0.9000000029802322,0.9000000029802322,-110.0,-110.0,-0.042668835130899654,0.9661620104685426,0.09388007055968046,350.3362236022949,9.5,40.0,0.0,0.0,86.1952466039182,2.8254666646699533,2.259436663412371,0.9854108557860582,8.0,8.0,8.0,8.0,0.5
