step,snr_db,loss,grad_norm,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction,learning_rate
1.0,25.0,-450.183837890625,16.53232192993164,326.73828125,450.183837890625,2.59316086769104,0.0,2.9897701740264893,0.7044692635536194,-16.553789138793945,-120.0,8.291192054748535,11.352221250534058,0.738095223903656,0.733134925365448,20.620431900024414,0.0,0.0,1.0095424862288475e-14,9.334418275223216e-15,-109.95875549316406,-110.3331069946289,9.542503777177497e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.04124598950147629,0.3331103026866913,0.14261353015899658,450.183837890625,4.0,4.0,4.0,0.5,0.0010000000474974513
2.0,5.0,-430.4393310546875,181.75015258789062,306.6531066894531,430.4393310546875,2.4337549209594727,0.0,2.791349172592163,0.7230070233345032,-14.815020561218262,-120.0,7.370734453201294,10.279824495315552,0.7539682388305664,0.754960298538208,61.46857452392578,0.0,0.0,9.95048990171674e-15,8.770735636517372e-15,-110.02155303955078,-110.6027603149414,0.0,1.0,1.0,-110.0,-110.0,0.021555505692958832,0.6027670502662659,0.13723230361938477,430.4393615722656,4.0,4.0,4.0,0.5,0.0010000000474974513
3.0,-5.0,-309.9654235839844,19.965831756591797,227.465576171875,309.9654235839844,1.8052823543548584,0.0,2.226341962814331,0.7053035497665405,-21.699220657348633,-120.0,5.093587160110474,7.470648169517517,0.7222222089767456,0.711309552192688,56.1143798828125,0.0,0.0,1.0059732587957074e-14,9.33585484310176e-15,-109.97413635253906,-110.36084747314453,5.973276344037326e-17,0.6666666865348816,0.6666666865348816,-110.0,-110.0,-0.02586446702480316,0.36084726452827454,0.1901073306798935,309.96539306640625,4.0,4.0,4.0,0.5,0.0010000000474974513
4.0,10.0,-453.87396240234375,113.53897857666016,331.38677978515625,453.87396240234375,2.630053758621216,0.0,3.18726646900177,0.6823387742042542,-19.395797729492188,-120.0,8.483670711517334,12.025532722473145,0.7222222089767456,0.7142857313156128,17.42428207397461,0.0,0.0,9.92396845310526e-15,9.058657381882159e-15,-110.03314971923828,-110.43875122070312,0.0,1.0,1.0,-110.0,-110.0,0.033145979046821594,0.4387491047382355,0.14538724720478058,453.87396240234375,4.0,4.0,4.0,0.5,0.0010000000474974513
5.0,15.0,-462.447509765625,144.4943084716797,323.5631103515625,462.447509765625,2.5679612159729004,0.0,3.0996874570846558,0.6923055648803711,-15.149307250976562,-120.0,8.395222187042236,11.533316135406494,0.7142857313156128,0.7202380895614624,36.159446716308594,0.0,0.0,1.0039650283810621e-14,9.502489940749204e-15,-109.9828109741211,-110.22940063476562,3.9650459293921053e-17,0.9166666865348816,0.9166666865348816,-110.0,-110.0,-0.0171860009431839,0.2294015735387802,0.14013142883777618,462.44744873046875,4.0,4.0,4.0,0.5,0.0010000000474974513
6.0,10.0,-426.0962219238281,67.87031555175781,321.9601745605469,426.0962219238281,2.55523943901062,0.0,3.0321171283721924,0.7222409844398499,-15.813569068908691,-120.0,7.987245082855225,10.956525564193726,0.761904776096344,0.754960298538208,48.025577545166016,0.0,0.0,1.0021998117189842e-14,8.719535882987638e-15,-109.9904556274414,-110.6376953125,2.1998292673141434e-17,0.9166666865348816,0.9166666865348816,-110.0,-110.0,-0.009543243795633316,0.637694239616394,0.12975196540355682,426.0962219238281,4.0,4.0,4.0,0.5,0.0010000000474974513
7.0,5.0,-452.3411560058594,131.46096801757812,325.18951416015625,452.3411560058594,2.580869197845459,0.0,2.9301575422286987,0.7317737936973572,-13.770235061645508,-120.0,7.889549016952515,10.776883125305176,0.7777777910232544,0.7728174328804016,17.56803321838379,0.0,0.0,1.0013085636518832e-14,8.826136673465487e-15,-109.99432373046875,-110.630615234375,1.3085812002131686e-17,0.75,0.75,-110.0,-110.0,-0.005679469555616379,0.6306145787239075,0.14748084545135498,452.34112548828125,4.0,4.0,4.0,0.5,0.0010000000474974513
8.0,-10.0,-281.4209899902344,9.581767082214355,224.9900665283203,281.4209899902344,1.7856354713439941,0.0,2.0749999284744263,0.7455986142158508,-15.03121280670166,-120.0,4.587319612503052,7.033405423164368,0.761904776096344,0.745039701461792,72.03067016601562,0.0,0.0,1.0129769507200796e-14,7.377443518282248e-15,-109.94400024414062,-111.82431030273438,1.2976968268409508e-16,0.6666666865348816,0.5833333134651184,-110.0,-110.0,-0.0559956319630146,1.8243069648742676,0.25441503524780273,281.4209899902344,4.0,4.0,4.0,0.5,0.0010000000474974513
9.0,20.0,-466.2205810546875,25.241680145263672,318.3559875488281,466.2205810546875,2.526634931564331,0.0,2.9584354162216187,0.6700443625450134,-16.77304458618164,-120.0,8.038219451904297,11.659713983535767,0.7222222089767456,0.7103174328804016,27.741710662841797,0.0,0.0,9.999998977483753e-15,8.985939603360377e-15,-110.0,-110.49591827392578,0.0,1.0,1.0,-110.0,-110.0,5.177192861083313e-07,0.4959169924259186,0.14032720029354095,466.2205810546875,4.0,4.0,4.0,0.5,0.0010000000474974513
10.0,5.0,-360.06488037109375,150.9413604736328,272.00262451171875,360.06488037109375,2.1587510108947754,0.0,2.6679139137268066,0.7364512085914612,-15.99548625946045,-120.0,6.500878095626831,9.168441534042358,0.7857142686843872,0.75,41.107479095458984,0.0,0.0,9.9999998245167e-15,8.366510338263938e-15,-110.0,-110.82183837890625,0.0,1.0,1.0,-110.0,-110.0,0.0,0.821831226348877,0.1731817126274109,360.0649108886719,4.0,4.0,4.0,0.5,0.0010000000474974513
11.0,25.0,-435.6917724609375,42.53112030029297,306.6646728515625,435.6917724609375,2.4338467121124268,0.0,2.907232403755188,0.7001526951789856,-16.19817543029785,-120.0,7.287151098251343,10.728599309921265,0.7539682388305664,0.738095223903656,44.98741149902344,0.0,0.0,9.999998977483753e-15,8.365694645535732e-15,-110.0,-110.84664916992188,0.0,1.0,1.0,-110.0,-110.0,5.177192861083313e-07,0.846651554107666,0.14756350219249725,435.6917724609375,4.0,4.0,4.0,0.5,0.0010000000474974513
12.0,20.0,-429.6344909667969,21.255571365356445,309.8482666015625,429.6344909667969,2.459113121032715,1.0748914647251695e-08,2.8947218656539917,0.7380748987197876,-7.878234386444092,-120.0,7.353803396224976,10.455477476119995,0.7698412537574768,0.7708333134651184,75.16376495361328,0.0,0.0,1.0014308752094667e-14,8.172347516863677e-15,-109.99378204345703,-111.15018463134766,1.4308927577966896e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.006209821440279484,1.1501942873001099,0.14728613197803497,429.634521484375,4.0,4.0,4.0,0.5,0.0010000000474974513
