sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
468.2032165527344,468.07342529296875,5.573847770690918,0.0,5.962338924407959,0.8295035362243652,2.7516658306121826,-120.0,17.77913475036621,21.64533042907715,0.8809523582458496,0.883184552192688,69.99679565429688,0.0,35.63129952782765,1.0049174322269549e-14,4.1127943098981466e-15,-109.97869110107422,-115.7581787109375,4.9174497752848406e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.021303769201040268,5.758180141448975,1.2807073593139648,468.0733947753906,pf_fs_soft,5.0,0.0,40.0,0.0,pf,budget_dual,0.0,109.20718411638931,3.7401646935817157,2.7064444279328126,0.9623808627165021,8.0,,,,
493.0698547363281,489.4651794433594,5.869879245758057,0.0,6.454195499420166,0.8209059834480286,2.767681121826172,-120.0,18.988601684570312,22.94266176223755,0.8809523582458496,0.8764880895614624,78.7337417602539,0.0,35.74350047344342,1.0000004906714384e-14,2.4887346296889297e-15,-110.0,-119.00286865234375,5.082197683525802e-21,1.0,0.9166666865348816,-110.0,-110.0,-2.329737981199287e-06,9.002877235412598,3.1659154891967773,489.46514892578125,pf_fs_cognitive,5.0,0.0,40.0,0.0,pf,budget_dual,0.0,110.92834630633376,3.8274451734584596,2.761014387892636,0.9571908862558581,8.0,8.0,8.0,8.0,0.5
543.9012451171875,531.5887451171875,6.475014686584473,0.0,6.82419228553772,0.8349553346633911,8.200584411621094,-120.0,20.587255477905273,24.71134662628174,0.9047619104385376,0.9047619104385376,1.984535574913025,0.0,14.247791113797575,2.4978376927730717e-15,1.0718610083231277e-15,-116.02435302734375,-120.36931610107422,0.0,1.0,1.0,-110.0,-110.0,6.02435827255249,10.369311332702637,0.025635404512286186,531.5886840820312,du_pf_soft,5.0,0.0,16.0,0.0,pf,budget_dual,1.0,118.32704008821726,4.198492250540302,3.051234487645549,0.9464029286168542,8.0,,,,
605.6190185546875,593.6713256835938,7.209750175476074,0.023384881764650402,7.401440143585205,0.8506237268447876,11.67259407043457,-120.0,22.531262397766113,27.178781986236572,0.9285714030265808,0.9151785969734192,79.43267059326172,0.0,14.258958237245679,8.096319533584025e-15,3.2607448100137326e-15,-110.91712188720703,-116.22415924072266,0.0,1.0,1.0,-110.0,-110.0,0.9171236157417297,6.2241597175598145,1.006974697113037,593.6712646484375,du_pf_cognitive,5.0,0.0,16.0,0.0,pf,budget_dual,1.0,122.82621317749827,4.426839015594389,3.196098313166204,0.9479238892987637,8.0,8.0,8.0,8.0,0.5
451.1734619140625,446.3232421875,5.371112823486328,2.843026351928711,5.414005517959595,0.887566864490509,12.403240203857422,5.294268155097963,15.961531162261963,20.315206050872803,0.976190447807312,0.9702380895614624,77.59754180908203,0.0,35.484972856007516,1.00505931024562e-14,6.06712378294484e-15,-109.97808074951172,-113.06568145751953,5.059327793949936e-17,0.8333333134651184,0.75,-110.0,-110.0,-0.021916944533586502,3.065683364868164,1.6619104146957397,446.3232421875,pf_fs_soft,5.0,1.0,40.0,0.0,pf,budget_dual,0.0,109.01817151133791,3.7336274498176505,2.6444514594831943,0.962348260618667,8.0,,,,
606.7913818359375,592.6226806640625,7.2237067222595215,4.471377563476563,7.2365264892578125,0.9268484115600586,20.790794372558594,13.179627084732056,21.562191009521484,24.672675609588623,1.0,0.992559552192688,52.61985778808594,0.0,35.43128749169409,9.9999998245167e-15,3.5501573333656875e-15,-110.0,-116.2812728881836,0.0,1.0,1.0,-110.0,-110.0,0.0,6.281276702880859,1.2142419815063477,592.6226806640625,pf_fs_cognitive,5.0,1.0,40.0,0.0,pf,budget_dual,0.0,117.04747710720494,4.124616333038812,2.927762719964003,0.9521909826343598,8.0,8.0,8.0,8.0,0.5
668.1575927734375,640.482666015625,7.954257011413574,4.677224493026733,7.469510316848755,0.9209749698638916,23.899383544921875,13.637804698944091,22.726372718811035,27.62287473678589,1.0,1.0,1.9853761196136475,0.0,14.276446558069438,5.178751816216267e-15,2.3997809236341776e-15,-112.85774230957031,-117.32705688476562,0.0,1.0,1.0,-110.0,-110.0,2.8577489852905273,7.327056884765625,0.05798843502998352,640.482666015625,du_pf_soft,5.0,1.0,16.0,0.0,pf,budget_dual,1.0,122.5840970463829,4.42211681108755,3.036273705317338,0.9439835467229153,8.0,,,,
681.447998046875,663.6973876953125,8.112476348876953,4.7707456111907955,8.126627445220947,0.9386201500892639,24.32535171508789,13.981607007980347,24.20986270904541,27.838348865509033,1.0,0.9992559552192688,33.933197021484375,0.0,14.329364240169525,1.0000001518582595e-14,3.4142966367578867e-15,-110.0,-116.5428695678711,1.6940658945086007e-21,1.0,0.9166666865348816,-110.0,-110.0,-7.765790996927535e-07,6.5428690910339355,0.9103661179542542,663.6973876953125,du_pf_cognitive,5.0,1.0,16.0,0.0,pf,budget_dual,1.0,126.4616621585949,4.616328686278365,3.264107410641726,0.9510039375836385,8.0,8.0,8.0,8.0,0.5
544.8308715820312,529.3190307617188,6.486081600189209,0.0,6.51022481918335,0.8064296841621399,7.661418914794922,-120.0,19.234807014465332,25.28115701675415,0.9047619104385376,0.9017857313156128,1.2757748365402222,0.0,35.65287171723321,7.95912137195251e-15,1.655482167332628e-15,-110.99134063720703,-119.91817474365234,0.0,1.0,1.0,-110.0,-110.0,0.9913485050201416,9.918171882629395,0.02387889102101326,529.3189697265625,pf_fs_soft,5.0,2.0,40.0,0.0,pf,budget_dual,0.0,101.83946806012796,3.4541644084777117,2.2923931940914173,0.9452727462421737,8.0,,,,
481.19024658203125,467.4117126464844,5.728455543518066,0.00013727195619139853,5.859352350234985,0.7819395065307617,3.51397967338562,-120.0,17.72349262237549,23.63881492614746,0.8928571343421936,0.8854166865348816,1.2727290391921997,0.0,35.72415144788101,8.937863072065407e-16,3.2235808159364766e-16,-120.48766326904297,-125.90108489990234,0.0,1.0,1.0,-110.0,-110.0,10.487662315368652,15.901084899902344,0.028544072061777115,467.41168212890625,pf_fs_cognitive,5.0,2.0,40.0,0.0,pf,budget_dual,0.0,105.67547388931482,3.6437513929452345,2.4054965861738946,0.9285729646679067,8.0,8.0,8.0,8.0,0.5
