algorithm,tau_rms_ns,channel_modeling,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,sweep_value,batch_index,num_iterations_or_layers,converged,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
du_pf_cognitive,10.0,flat,539.281135559082,519.9304046630859,4.280009090900421,4.971368172679291e-08,4.684794455766678,0.7365711629390717,-3.9001095592975616,-120.0,0.8283730074763298,0.8051835298538208,0.07907124049961567,0.0,1.4153197298874147,1.0702954002690261e-15,3.2237147695648734e-16,-119.95839500427246,-126.3119764328003,0.0,1.0,1.0,-110.0,-110.0,9.958397626876831,16.311979174613953,0.061151421163231134,519.930419921875,5.0,3.5,10.0,0.0,1.0,112.71520816706887,2.54067354083205,1.6106939687995088,0.9219490630751862,6.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,4.0,4.0,4.0,0.5
du_pf_cognitive,10.0,selective,539.5514373779297,519.6435050964355,4.282154321670532,0.00014761298466559047,4.6702839732170105,0.7478198334574699,-4.69903689622879,-120.0,0.8472222164273262,0.8007192388176918,0.07934743817895651,0.0,1.4145932662650011,1.0325113615307677e-15,3.151122391623955e-16,-120.3544511795044,-126.25305652618408,0.0,1.0,1.0,-110.0,-110.0,10.35445487499237,16.253057599067688,0.06068673962727189,519.6435089111328,5.0,3.5,10.0,0.0,1.0,112.88592266465523,2.5414704144793583,1.6464843048635036,0.9237664841841554,6.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,4.0,4.0,4.0,0.5
du_pf_cognitive,20.0,flat,531.5802116394043,515.4826736450195,4.21889054775238,0.000585777460557324,4.642802685499191,0.7250278815627098,-4.352459371089935,-120.0,0.8174603134393692,0.797991082072258,0.07914555817842484,0.0,1.4116376584861428,1.559238789854687e-15,3.7027080796627502e-16,-118.78495025634766,-126.15724468231201,0.0,1.0,1.0,-110.0,-110.0,8.78495079278946,16.157244324684143,0.0610823929309845,515.4826736450195,5.0,3.5,10.0,0.0,1.0,111.98457697558882,2.52123079478729,1.6528872583594878,0.9268106388298127,6.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,20.0,selective,531.905632019043,515.881477355957,4.221473276615143,0.015442323929586887,4.52699288725853,0.7389465346932411,-6.64949443936348,-120.0,0.846230149269104,0.783110111951828,0.07943266537040472,0.0,1.4134572625043802,1.3846702889790306e-15,3.670602420762709e-16,-119.0143575668335,-126.01232433319092,0.0,1.0,1.0,-110.0,-110.0,9.014359533786774,16.012325644493103,0.062004744075238705,515.8814544677734,5.0,3.5,10.0,0.0,1.0,112.28027358189101,2.5194777183474857,1.7054196595022884,0.932291534004994,6.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,50.0,flat,520.4367828369141,504.9048881530762,4.1304506957530975,0.001459637815514725,4.5027801394462585,0.7333983480930328,-4.32903528958559,-120.0,0.829365074634552,0.7988591268658638,0.0794326663017273,0.0,1.414293194829952,8.77094775209621e-16,2.9239027594983345e-16,-120.9920654296875,-126.62959861755371,0.0,1.0,1.0,-110.0,-110.0,10.992067158222198,16.629599809646606,0.06358859175816178,504.9048881530762,5.0,3.5,10.0,0.0,1.0,111.32007026936138,2.500908214345131,1.64302655763612,0.9331303818749411,6.0,3999999.9999999995,399999.99999999994,1023750.0,0.25593750000000004,2.559375,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,50.0,selective,522.5440788269043,508.38868713378906,4.147175222635269,0.18660907660342474,4.4329333901405334,0.7675761282444,-8.674104407429695,-120.0,0.8769841268658638,0.7718254029750824,0.07894176710397005,0.0,1.414138297259342,8.234002581873174e-16,2.8577492877944266e-16,-121.15804862976074,-126.6232213973999,0.0,1.0,1.0,-110.0,-110.0,11.158053874969482,16.623222708702087,0.06326204398646951,508.3886947631836,5.0,3.5,10.0,0.0,1.0,112.00949479648796,2.502446460383617,1.7319905371518174,0.9413102531178942,6.0,3999999.9999999995,399999.99999999994,1023750.0,0.25593750000000004,2.559375,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,100.0,flat,548.500129699707,528.1467361450195,4.353175640106201,8.934998485532475e-08,4.710204899311066,0.7325134351849556,-2.805918712168932,-120.0,0.8343253955245018,0.812127985060215,0.07943267095834017,0.0,1.4122123415581882,1.1179747856082972e-15,3.5093528082247447e-16,-120.0835828781128,-126.1304178237915,0.0,1.0,1.0,-110.0,-110.0,10.083585858345032,16.130419611930847,0.06173428287729621,528.1467132568359,5.0,3.5,10.0,0.0,1.0,114.01412158898145,2.562544139944966,1.6699701788067285,0.925115591237229,6.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,100.0,selective,545.712287902832,528.164737701416,4.331049859523773,0.20941417385463712,4.548007935285568,0.7784312441945076,-8.781575560569763,-120.0,0.895833320915699,0.7708333283662796,0.0787437604740262,0.0,1.4112182084354572,1.1865611344600664e-15,3.5305010537044797e-16,-119.72229480743408,-126.12512493133545,0.0,1.0,1.0,-110.0,-110.0,9.72229653596878,16.125123023986816,0.06213946221396327,528.1647491455078,5.0,3.5,10.0,0.0,1.0,114.62801043660566,2.5574138808490776,1.7714319516840986,0.9382805880451626,6.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,200.0,flat,537.9713325500488,523.6854972839355,4.269613802433014,0.0013939088638367236,4.641200572252274,0.723731279373169,-3.7519869320094585,-120.0,0.8204365000128746,0.7969990000128746,0.0792517177760601,0.0,1.416069082217291,1.020732872090829e-15,3.2936734871534845e-16,-120.50404071807861,-126.23888874053955,0.0,1.0,1.0,-110.0,-110.0,10.50404292345047,16.238888025283813,0.06337818969041109,523.6855049133301,5.0,3.5,10.0,0.0,1.0,113.66129956257146,2.557324458105162,1.6440068473714282,0.9256374334922775,6.0,999999.9999999999,99999.99999999999,1023750.0,1.0237500000000002,10.2375,0.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,200.0,selective,536.736988067627,523.0184745788574,4.259817361831665,0.43861037702299654,4.377777993679047,0.7759235948324203,-10.288864195346832,-120.0,0.9087301567196846,0.7559523805975914,0.07698963303118944,0.0,1.4113316955044866,9.248327017752037e-16,3.19701447127007e-16,-120.81783676147461,-126.3026933670044,0.0,1.0,1.0,-110.0,-110.0,10.817835927009583,16.302693963050842,0.06459951587021351,523.0184745788574,5.0,3.5,10.0,0.0,1.0,114.34854358454467,2.5516454088859493,1.7697286365402807,0.9393882234917603,6.0,999999.9999999999,99999.99999999999,1023750.0,1.0237500000000002,10.2375,0.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,400.0,flat,543.9225997924805,531.3779067993164,4.316846072673798,0.0025419235521377814,4.719047129154205,0.7358607426285744,-2.670282196253538,-120.0,0.8353174477815628,0.8165922611951828,0.0785859189927578,0.0,1.4178922275896184,8.930528081070818e-16,2.58384598072009e-16,-121.55788040161133,-127.14708518981934,0.0,1.0,1.0,-110.0,-110.0,11.557881653308868,17.147084832191467,0.0614523789845407,531.3779144287109,5.0,3.5,10.0,0.0,1.0,113.76864153330223,2.557581663305337,1.6749304772749691,0.9255784222985003,6.0,499999.99999999994,49999.99999999999,1023750.0,2.0475000000000003,20.475,0.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,400.0,selective,543.3492965698242,527.8930969238281,4.312296032905579,0.5513289892114699,4.494761824607849,0.7860761508345604,-9.740081667900085,-120.0,0.905753955245018,0.7609127014875412,0.07719056587666273,0.0,1.4158227521111257,8.510173058657621e-16,2.5079540785773707e-16,-121.69627285003662,-127.24350070953369,0.0,1.0,1.0,-110.0,-110.0,11.696276187896729,17.243501901626587,0.0628785565495491,527.8930969238281,5.0,3.5,10.0,0.0,1.0,114.4699559658782,2.5519968721539223,1.799992319902585,0.9402799032991512,6.0,499999.99999999994,49999.99999999999,1023750.0,2.0475000000000003,20.475,0.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,800.0,flat,532.0726737976074,517.7212600708008,4.222799062728882,2.3812853626736796e-06,4.65626934170723,0.725503072142601,-4.233719423413277,-120.0,0.8194444477558136,0.7957589253783226,0.079311802983284,0.0,1.4182637031772174,1.106174339486179e-15,2.798559072117827e-16,-120.43042755126953,-127.07368183135986,0.0,1.0,1.0,-110.0,-110.0,10.430429875850677,17.07368493080139,0.06265571713447571,517.7212677001953,5.0,3.5,10.0,0.0,1.0,112.903658037268,2.5342841748218192,1.6960420924105275,0.9296019775112785,6.0,249999.99999999997,24999.999999999996,1023750.0,4.095000000000001,40.95,0.0,0.0,4.0,4.0,4.0,0.5
