algorithm,num_bs_ant,num_ut_per_sector,sweep_value,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_violation_watt,protection_satisfaction,final_w_delta,final_history_weighted_sum_rate,batch_index,num_iterations_or_layers,converged,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
du_pf_soft,16,6,5.0,341.6311492919922,335.1563415527344,2.711358368396759,0.0,2.5953859984874725,0.5632563233375549,-20.147746086120605,-120.0,0.6369047611951828,0.6116071492433548,0.07943266816437244,0.0,1.131347147631459,4.811135281943164e-15,1.8959365569101987e-15,4.80113521096788e-15,0.0,0.07563424855470657,335.1563415527344,1.5,8.0,0.0,1.0,71.91545416699346,1.854192277232541,1.0718175170480828,0.911970780115082,6.0,,,,
du_pf_soft,16,8,5.0,404.8277893066406,392.76953887939453,2.40968918800354,0.0,1.9679892659187317,0.5098171383142471,-27.691272735595703,-120.0,0.5833333432674408,0.5472470223903656,0.0794326663017273,0.0,1.1272754296660423,1.2331849976330504e-14,2.2549709533617208e-15,1.232184990535522e-14,0.0,0.07503265142440796,392.76952362060547,1.5,8.0,0.0,1.0,78.83054022225343,1.6978626285403078,0.9546914511539664,0.887165539828153,6.0,,,,
du_pf_soft,32,4,5.0,449.5743103027344,445.5911102294922,5.352075099945068,0.0845103106071407,5.55178165435791,0.8277089297771454,8.303927659988403,-90.90036916732788,0.9136904925107956,0.8906249850988388,0.0794326700270176,0.0,1.1311877496773377,2.778672260528623e-15,1.1841116673778397e-15,2.7686721895533388e-15,0.0,0.07302496768534184,445.5911178588867,1.5,8.0,0.0,1.0,91.67493771514097,3.036473134580746,2.240126471985203,0.958528362729418,6.0,,,,
du_pf_soft,32,6,5.0,524.3713684082031,514.7691497802734,4.1616774797439575,0.0,4.427444607019424,0.6974023580551147,-3.841144382953644,-120.0,0.8134920448064804,0.7946428507566452,0.07943266816437244,0.0,1.1378546773921698,3.883696461621329e-15,1.6181206292902045e-15,3.8736963906460444e-15,0.0,0.07856816798448563,514.7691497802734,1.5,8.0,0.0,1.0,111.88089892978127,2.5328693820264316,1.6320242972704664,0.9101007688510514,6.0,,,,
du_pf_soft,32,8,5.0,587.5333251953125,574.6703796386719,3.497222125530243,0.0,3.806368827819824,0.6313169747591019,-11.109435677528381,-120.0,0.7336309552192688,0.7087053656578064,0.07943267188966274,0.0,1.1274534577969462,2.6398624069567196e-15,7.740933255096768e-16,2.6298623359814353e-15,0.0,0.0792701281607151,574.6703948974609,1.5,8.0,0.0,1.0,122.74310975760247,2.1772098203900683,1.3060340959985504,0.9010016018158736,6.0,,,,
du_pf_soft,64,4,5.0,694.2643127441406,692.9855041503906,8.265051364898682,4.657861670851707,8.506143689155579,0.9336096942424774,23.050955772399902,10.663922905921936,0.98511902987957,0.9806547611951828,0.07943267188966274,0.0,1.1434773397631943,9.32704599161789e-16,4.139029673131691e-16,9.227046075958436e-16,0.0,0.07139790430665016,692.9855346679688,1.5,8.0,0.0,1.0,124.59035313146015,4.429680397941139,3.8337137455578834,0.9895943101650853,6.0,,,,
du_pf_soft,64,6,5.0,741.566650390625,746.0113372802734,5.885449767112732,0.40273347415495664,6.113643109798431,0.8506693542003632,11.139975786209106,-61.71265853643417,0.9246031641960144,0.9102182537317276,0.07943267375230789,0.0,1.1417523762211204,3.507331082854714e-15,9.227223423481767e-16,3.4973310118794297e-15,0.0,0.08387509360909462,746.0113220214844,1.5,8.0,0.0,1.0,147.52436794721694,3.2476028357093627,2.6005130357438095,0.9864166300969537,6.0,,,,
du_pf_soft,64,8,5.0,844.2963104248047,835.5830688476562,5.025573372840881,8.672614984916998e-06,5.357602119445801,0.7961234599351883,5.576130628585815,-106.89530801773071,0.8854166567325592,0.8712797611951828,0.07943266816437244,0.0,1.1387976550031453,2.8596434751488914e-15,8.491843182960977e-16,2.849643404173607e-15,0.0,0.07736086659133434,835.5830841064453,1.5,8.0,0.0,1.0,174.605339334351,2.8806985456200396,2.083952210696056,0.9610353497324049,6.0,,,,
pf_fs_cognitive,16,4,5.0,328.32493591308594,328.81900787353516,3.9086301922798157,0.0,4.169522345066071,0.6596101373434067,-15.713454484939575,-120.0,0.7648809552192688,0.7321428656578064,0.07943267375230789,0.0,2.701252223108895,3.354225642473763e-15,9.26378215957865e-16,3.3442255714984787e-15,0.0,0.031258533243089914,328.8190155029297,1.5,20.0,0.0,0.0,70.43914526124135,2.414429386602564,1.51052202815004,0.91221892318582,6.0,2.0,2.0,2.0,0.5
pf_fs_cognitive,16,6,5.0,365.9946060180664,366.09413146972656,2.904719114303589,0.0,2.6441258788108826,0.5357677787542343,-34.043235778808594,-120.0,0.617063507437706,0.5843253880739212,0.0794326663017273,0.0,2.705797442700714,1.819962624920494e-15,7.28596155122884e-16,1.809962606884769e-15,0.0,0.030849990900605917,366.09413146972656,1.5,20.0,0.0,0.0,77.64407359519257,1.9402476975251268,1.135375751130475,0.9106083219497887,6.0,2.0,2.0,2.0,0.5
pf_fs_cognitive,16,8,5.0,433.55335998535156,422.1878356933594,2.5806748270988464,0.0,1.9273440390825272,0.4924745336174965,-42.417290687561035,-120.0,0.5669642835855484,0.5290178507566452,0.07943267188966274,0.0,2.6989490560954437,4.069636869504797e-15,7.650042914087238e-16,4.0596367985295124e-15,0.0,0.02633108664304018,422.1878356933594,1.5,20.0,0.0,0.0,85.76919474521083,1.7746376655408649,0.9450108861809466,0.8827874217395535,6.0,2.0,2.0,2.0,0.5
pf_fs_cognitive,32,4,5.0,484.94112396240234,486.1527862548828,5.773108601570129,5.911894369603499e-08,6.149122476577759,0.7969521731138229,2.905556946992874,-120.0,0.877976194024086,0.8601190596818924,0.079432662576437,0.0,2.700476667145267,7.255906704677889e-16,3.939975474689052e-16,7.155906524320638e-16,0.0,0.03185329819098115,486.15279388427734,1.5,20.0,0.0,0.0,96.60826756096904,3.2107708571145506,2.428800671695677,0.9654317803828663,6.0,2.0,2.0,2.0,0.5
pf_fs_cognitive,32,6,5.0,559.6835174560547,560.04052734375,4.441932678222656,0.0,4.746273994445801,0.6804630309343338,-11.17716121673584,-120.0,0.7916666567325592,0.7708333432674408,0.07943266443908215,0.0,2.718441302073188,1.7721316008313296e-15,6.336722961580875e-16,1.7621316092653841e-15,0.0,0.03200608724728227,560.04052734375,1.5,20.0,0.0,0.0,118.39373553272168,2.654398555398279,1.7674406724653746,0.9205171986500956,6.0,2.0,2.0,2.0,0.5
pf_fs_cognitive,32,8,5.0,620.7518768310547,626.1549682617188,3.69495165348053,0.0,3.88461235165596,0.6062687039375305,-21.510680198669434,-120.0,0.715773805975914,0.6856398731470108,0.07943267188966274,0.0,2.697295239660889,7.308891791902198e-16,2.5525578740502716e-16,7.208891611544947e-16,0.0,0.03327933605760336,626.1549682617188,1.5,20.0,0.0,0.0,130.71041800703813,2.2718010181202746,1.4296107821057857,0.9101966771329499,6.0,2.0,2.0,2.0,0.5
pf_fs_cognitive,64,4,5.0,680.0942230224609,676.9473724365234,8.096359848976135,4.436504010856152,8.260751724243164,0.910755842924118,19.999582767486572,-24.544039115309715,0.9791666567325592,0.9605654776096344,0.07943267375230789,0.0,2.735715633141808,3.5432832771869146e-16,1.592498471588358e-16,3.44328336152746e-16,0.0,0.11291125183925033,676.9473419189453,1.5,20.0,0.0,0.0,124.9877489022479,4.456077876130336,3.742766245912173,0.9874253270770468,6.0,2.0,2.0,2.0,0.5
pf_fs_cognitive,64,6,5.0,787.9222412109375,798.7474517822266,6.253351092338562,0.009561872456970377,6.478922963142395,0.8255743235349655,7.561753034591675,-120.0,0.9186507761478424,0.8928571492433548,0.07943267375230789,0.0,2.7275011917809024,1.1701435911518038e-15,3.2618875501038073e-16,1.160143626055638e-15,0.0,0.035928359255194664,798.7474365234375,1.5,20.0,0.0,0.0,154.30006638948274,3.425977757031876,2.716764396553911,0.9873569769612465,6.0,2.0,2.0,2.0,0.5
pf_fs_cognitive,64,8,5.0,905.4163665771484,908.1833343505859,5.389383316040039,0.0,5.626219928264618,0.7636480033397675,-0.6474586185067892,-120.0,0.8675595372915268,0.8363095223903656,0.0794326663017273,0.0,2.7194570418214425,7.25823326595598e-16,2.649889569751426e-16,7.158233085598729e-16,0.0,0.035198066383600235,908.1833038330078,1.5,20.0,0.0,0.0,184.23563139579826,3.041886982296402,2.2237033565448807,0.9676182392327765,6.0,2.0,2.0,2.0,0.5
pf_fs_soft,16,4,5.0,326.70821380615234,324.77132415771484,3.8893834948539734,0.0,4.005265712738037,0.6528516858816147,-16.978954553604126,-120.0,0.7648809403181076,0.7247023731470108,0.07943266816437244,0.0,3.5105510932626203,8.974895881914957e-15,2.3339350175343517e-15,8.964895810939673e-15,0.0,0.03003695048391819,324.7713317871094,1.5,20.0,0.0,0.0,70.21582158572807,2.4113949097577088,1.5152386678177123,0.9107039228193241,6.0,,,,
pf_fs_soft,16,6,5.0,364.54354095458984,364.1749038696289,2.8932027220726013,0.0,2.552665263414383,0.5436270534992218,-33.525376319885254,-120.0,0.6408730298280716,0.5922619104385376,0.07943266816437244,0.0,2.703920398140326,4.48053504037714e-15,1.7098180603495705e-15,4.470534969401856e-15,0.0,0.029798648785799742,364.1748962402344,1.5,20.0,0.0,0.0,77.76379953485264,1.9402019861260777,1.1331420289046927,0.9134902146953011,6.0,,,,
pf_fs_soft,16,8,5.0,436.8042297363281,426.12129974365234,2.6000251173973083,0.0,1.824965924024582,0.48966536670923233,-42.78466987609863,-120.0,0.5758928656578064,0.5338541567325592,0.079432662576437,0.0,2.7005954191554338,1.0231676252843197e-14,1.887987761505148e-15,1.0221676181867913e-14,0.0,0.025681749917566776,426.1212844848633,1.5,20.0,0.0,0.0,85.90947539700326,1.7745727951727335,0.9759005869140339,0.8832489862267031,6.0,,,,
pf_fs_soft,32,4,5.0,482.99986267089844,485.7869186401367,5.749998450279236,0.004938297097010048,6.026068389415741,0.7938961386680603,3.1982622146606445,-120.0,0.8839285671710968,0.8668154776096344,0.0794326663017273,0.0,2.7060047471895814,2.7215143184292252e-15,1.068403393362656e-15,2.711514247453941e-15,0.0,0.0322176618501544,485.78692626953125,1.5,20.0,0.0,0.0,96.62107146147058,3.2112012787436455,2.441615001474266,0.9652352790313405,6.0,,,,
pf_fs_soft,32,6,5.0,560.2346343994141,564.1698608398438,4.4463067054748535,0.0,4.808710694313049,0.677570715546608,-11.427367448806763,-120.0,0.8075396716594696,0.766865074634552,0.07943267375230789,0.0,2.710348569555208,4.687770333010614e-15,1.6733861674365382e-15,4.67777026203533e-15,0.0,0.031241606920957565,564.1698760986328,1.5,20.0,0.0,0.0,118.4108052636674,2.6550902935416474,1.7694579527718473,0.920472878870143,6.0,,,,
pf_fs_soft,32,8,5.0,622.9887847900391,624.7349090576172,3.70826655626297,0.0,3.9241507053375244,0.6068629324436188,-20.869404792785645,-120.0,0.7202380895614624,0.692336305975914,0.07943266443908215,0.0,2.709722270607017,2.8857616301983594e-15,7.665346417163959e-16,2.875761559223075e-15,0.0,0.032256875187158585,624.7348785400391,1.5,20.0,0.0,0.0,130.8343548557117,2.2751196887756544,1.41535257830647,0.9086719008773141,6.0,,,,
pf_fs_soft,64,4,5.0,704.0551300048828,702.3212280273438,8.381608963012695,3.406371802091599,8.610356211662292,0.9209256172180176,21.071277618408203,-24.977999925613403,0.9761904627084732,0.9620535522699356,0.07943267375230789,0.0,2.735487575409934,1.2908606092121186e-15,4.4388882038358797e-16,1.2808606441159527e-15,0.0,0.03398448508232832,702.3212127685547,1.5,20.0,0.0,0.0,125.91375300102445,4.503100058789773,3.839756116400134,0.9882643170454088,6.0,,,,
pf_fs_soft,64,6,5.0,789.7187805175781,799.2187805175781,6.267609238624573,0.001044978800109675,6.474887430667877,0.8151857703924179,6.5445897579193115,-120.0,0.9067460149526596,0.8794642984867096,0.0794326700270176,0.0,2.732782118837349,4.545273662656668e-15,9.928479882931234e-16,4.535273591681384e-15,0.0,0.036837256513535976,799.2188110351562,1.5,20.0,0.0,0.0,154.32037616661523,3.4282941023091027,2.7004230097810606,0.986437169374349,6.0,,,,
pf_fs_soft,64,8,5.0,906.5682220458984,907.5442657470703,5.396239399909973,0.0,5.618857324123383,0.766180008649826,-0.40579086542129517,-120.0,0.8705357164144516,0.839657723903656,0.0794326700270176,0.0,2.731038545258343,3.291129099441606e-15,8.076230056127301e-16,3.2811290284663218e-15,0.0,0.0343965720385313,907.5442810058594,1.5,20.0,0.0,0.0,184.32146844512977,3.0428801511122887,2.221225832455636,0.9678485074571515,6.0,,,,
