algorithm,num_bs_ant,num_ut_per_sector,sweep_value,iteration,batch_index,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
du_pf_cognitive,16,4,5.0,1.0,1.5,188.61873626708984,0.0,3.90381206475052e-15,1.0154180228710175,6.0
du_pf_cognitive,16,4,5.0,2.0,1.5,237.26386642456055,0.0,3.957238191442552e-15,0.33898013085126877,6.0
du_pf_cognitive,16,4,5.0,3.0,1.5,258.14145278930664,0.0,3.574765705126234e-15,0.20676588639616966,6.0
du_pf_cognitive,16,4,5.0,4.0,1.5,271.23655700683594,0.0,3.3037067446149444e-15,0.1527530737221241,6.0
du_pf_cognitive,16,4,5.0,5.0,1.5,280.2745819091797,0.0,3.1478077366343894e-15,0.11658298596739769,6.0
du_pf_cognitive,16,4,5.0,6.0,1.5,287.22991943359375,0.0,3.061907319656693e-15,0.09596641547977924,6.0
du_pf_cognitive,16,4,5.0,7.0,1.5,292.8980941772461,0.0,3.0146114880412955e-15,0.08293018117547035,6.0
du_pf_cognitive,16,4,5.0,8.0,1.5,297.62532806396484,0.0,3.0050555799677277e-15,0.07191855646669865,6.0
du_pf_cognitive,16,6,5.0,1.0,1.5,202.2347068786621,0.0,2.2961923940750025e-15,1.0084784477949142,6.0
du_pf_cognitive,16,6,5.0,2.0,1.5,261.120792388916,0.0,2.187306785161495e-15,0.35234157741069794,6.0
du_pf_cognitive,16,6,5.0,3.0,1.5,288.21836853027344,0.0,2.0481070317360586e-15,0.22275382280349731,6.0
du_pf_cognitive,16,6,5.0,4.0,1.5,304.8187484741211,0.0,1.9697022740064116e-15,0.16314297914505005,6.0
du_pf_cognitive,16,6,5.0,5.0,1.5,316.38785552978516,0.0,1.9286773184671132e-15,0.12813840992748737,6.0
du_pf_cognitive,16,6,5.0,6.0,1.5,324.8949203491211,0.0,1.9105457311981876e-15,0.10485498420894146,6.0
du_pf_cognitive,16,6,5.0,7.0,1.5,331.44666290283203,0.0,1.894967127702066e-15,0.08790392428636551,6.0
du_pf_cognitive,16,6,5.0,8.0,1.5,336.7735061645508,0.0,1.8835895693963096e-15,0.07615835033357143,6.0
du_pf_cognitive,16,8,5.0,1.0,1.5,224.59882354736328,0.0,4.9606171153757615e-15,1.0091866254806519,6.0
du_pf_cognitive,16,8,5.0,2.0,1.5,295.63045501708984,0.0,4.948916625758864e-15,0.36552954465150833,6.0
du_pf_cognitive,16,8,5.0,3.0,1.5,331.3492660522461,0.0,5.047931177402866e-15,0.23375200852751732,6.0
du_pf_cognitive,16,8,5.0,4.0,1.5,353.4797897338867,0.0,4.983333268471701e-15,0.17238382995128632,6.0
du_pf_cognitive,16,8,5.0,5.0,1.5,367.87879180908203,0.0,4.83207997150904e-15,0.13426681235432625,6.0
du_pf_cognitive,16,8,5.0,6.0,1.5,377.9235153198242,0.0,4.695211623331362e-15,0.10780623368918896,6.0
du_pf_cognitive,16,8,5.0,7.0,1.5,385.45277404785156,0.0,4.59173183162679e-15,0.09018571116030216,6.0
du_pf_cognitive,16,8,5.0,8.0,1.5,391.37166595458984,0.0,4.50573866454137e-15,0.07731268182396889,6.0
