sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_violation_watt,protection_satisfaction,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
895.35986328125,890.76318359375,5.329523086547852,0.0,5.6961517333984375,0.7767696380615234,-0.48769479990005493,-120.0,0.8690476417541504,0.8333333134651184,0.07943267375230789,0.0,2.7193202595226467,3.483392502397209e-15,8.267727661889247e-16,3.4733924314219247e-15,0.0,0.03647950291633606,890.76318359375,pf_fs_soft,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,185.04429218592162,3.0573406012900826,2.180110187112379,0.9669362350432731,6.0,,,,
893.708740234375,892.8480834960938,5.319694995880127,0.0,5.516744613647461,0.7730724811553955,0.10741231590509415,-120.0,0.875,0.8377976417541504,0.07943267375230789,0.0,2.7052688258700073,7.257016714885486e-16,2.897132465180097e-16,7.157016534528235e-16,0.0,0.03670750930905342,892.8480834960938,pf_fs_cognitive,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,185.03724466335711,3.0569881065767004,2.1814277391225763,0.9668975182170705,6.0,2.0,2.0,2.0,0.5
835.5653076171875,826.8584594726562,4.973603248596191,0.0,5.235155820846558,0.8037129640579224,4.563414573669434,-120.0,0.8809523582458496,0.8705357313156128,0.07943267375230789,0.0,1.1361078033223748,2.596225863552579e-15,9.75119257834846e-16,2.5862257925772947e-15,0.0,0.07554598897695541,826.8585205078125,du_pf_soft,5.0,0.0,8.0,0.0,pf,budget_dual,1.0,175.458368596522,2.8958255200680876,2.0351584882269376,0.960951682793573,6.0,,,,
835.0805053710938,819.996337890625,4.970717430114746,1.0211430790718614e-06,5.280972003936768,0.7947889566421509,4.685500144958496,-120.0,0.8809523582458496,0.863095223903656,0.07943267375230789,0.0,1.1473146034404635,9.626034990062164e-16,3.1113764789960675e-16,9.526035339100505e-16,0.0,0.0791838988661766,819.996337890625,du_pf_cognitive,5.0,0.0,8.0,0.0,pf,budget_dual,1.0,175.13243154487648,2.892948664314821,2.0435424931748476,0.9592799619968163,6.0,2.0,2.0,2.0,0.5
912.618408203125,908.2108764648438,5.432252407073975,0.0,5.698037385940552,0.745487630367279,-0.8172070384025574,-120.0,0.8690476417541504,0.8407738208770752,0.0794326588511467,0.0,2.7356759244576097,3.1416987762001138e-15,7.522633012254634e-16,3.1316987052248295e-15,0.0,0.03497401997447014,908.2108764648438,pf_fs_soft,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,183.3335935077306,3.026631235897342,2.2758422081007526,0.9665065294710868,6.0,,,,
908.478759765625,907.7742309570312,5.407611846923828,0.0,5.683987617492676,0.7464439868927002,-1.7584582567214966,-120.0,0.8690476417541504,0.8333333134651184,0.0794326663017273,0.0,2.7217725086957216,7.372113139945177e-16,2.333054315027444e-16,7.272112959587926e-16,0.0,0.0331607311964035,907.774169921875,pf_fs_cognitive,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,183.2089279969723,3.0242112671235923,2.252631604879689,0.9667872515934679,6.0,2.0,2.0,2.0,0.5
843.8392944335938,829.5087280273438,5.022852897644043,3.3837375212897297e-06,5.3850624561309814,0.7842187285423279,5.617961883544922,-120.0,0.8928571343421936,0.8735119104385376,0.07943267375230789,0.0,1.1326919961720705,2.6853278003731006e-15,7.419966266300308e-16,2.6753277293978164e-15,0.0,0.07666868716478348,829.5086669921875,du_pf_soft,5.0,1.0,8.0,0.0,pf,budget_dual,1.0,173.44304171560367,2.8601936599811792,2.113996545777723,0.9610841865058458,6.0,,,,
841.254150390625,828.1503295898438,5.007465362548828,1.1952770137213516e-06,5.266993761062622,0.7892885208129883,5.981818675994873,-120.0,0.9047619104385376,0.8764880895614624,0.07943267375230789,0.0,1.1319152107462287,5.570143188890259e-16,2.5563790514335726e-16,5.470143008533008e-16,0.0,0.07765304297208786,828.1502685546875,du_pf_cognitive,5.0,1.0,8.0,0.0,pf,budget_dual,1.0,173.5678587057614,2.8605694113966242,2.1473453580789355,0.9622411200974014,6.0,2.0,2.0,2.0,0.5
920.4920654296875,927.2155151367188,5.479119300842285,0.0,5.548045635223389,0.7949668169021606,2.446540117263794,-120.0,0.8809523582458496,0.8660714030265808,0.07943267375230789,0.0,2.723091120366007,3.108874555428115e-15,8.5651828689545e-16,3.098874484452831e-15,0.0,0.03307391330599785,927.2155151367188,pf_fs_soft,5.0,2.0,20.0,0.0,pf,budget_dual,0.0,185.08784758365482,3.0532184018103625,2.217376013483047,0.9696684526512652,6.0,,,,
918.2684326171875,923.8271484375,5.465883731842041,0.0,5.747809886932373,0.7813237905502319,1.059699535369873,-120.0,0.8690476417541504,0.8497023582458496,0.0794326588511467,0.0,2.708359209820628,6.131591566439483e-16,2.4389516975821567e-16,6.031591386082232e-16,0.0,0.03369613736867905,923.8271484375,pf_fs_cognitive,5.0,2.0,20.0,0.0,pf,budget_dual,0.0,184.8696816832035,3.052300211465599,2.2413666022526493,0.9683117727949058,6.0,2.0,2.0,2.0,0.5
