algorithm,sweep_value,batch_index,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
pf_fs_soft,5.0,0.0,1.0,156.85501098632812,0.0,1.831705143465201e-12,0.8493477702140808,6.0
pf_fs_soft,5.0,0.0,2.0,270.0729064941406,0.0,5.0141032818806774e-12,1.1122380495071411,6.0
pf_fs_soft,5.0,0.0,3.0,292.4039611816406,0.0,5.023996843545042e-12,0.2317812591791153,6.0
pf_fs_soft,5.0,0.0,4.0,304.4736633300781,0.0,5.04888969174444e-12,0.15907803177833557,6.0
pf_fs_soft,5.0,0.0,5.0,312.3924560546875,0.0,5.136115924925244e-12,0.1210482120513916,6.0
pf_fs_soft,5.0,0.0,6.0,317.989501953125,0.0,5.209408859147002e-12,0.09619266539812088,6.0
pf_fs_soft,5.0,0.0,7.0,322.21844482421875,0.0,5.261625336816511e-12,0.07833222299814224,6.0
pf_fs_soft,5.0,0.0,8.0,325.63031005859375,0.0,5.329823821870194e-12,0.06700338423252106,6.0
pf_fs_soft,5.0,0.0,9.0,328.47503662109375,0.0,5.425663390790092e-12,0.058430466800928116,6.0
pf_fs_soft,5.0,0.0,10.0,330.8807373046875,0.0,5.541918052937023e-12,0.051063816994428635,6.0
pf_fs_soft,5.0,0.0,11.0,332.9573669433594,0.0,5.654536300997437e-12,0.04475361853837967,6.0
pf_fs_soft,5.0,0.0,12.0,334.75360107421875,0.0,5.760689234662886e-12,0.03945235162973404,6.0
pf_fs_soft,5.0,0.0,13.0,336.32464599609375,0.0,5.86466248828077e-12,0.03534243255853653,6.0
pf_fs_soft,5.0,0.0,14.0,337.73077392578125,0.0,5.965744391545069e-12,0.03228307515382767,6.0
pf_fs_soft,5.0,0.0,15.0,339.01409912109375,0.0,6.063121359145551e-12,0.03008023276925087,6.0
pf_fs_soft,5.0,0.0,16.0,340.20123291015625,0.0,6.155517068284766e-12,0.028643280267715454,6.0
pf_fs_soft,5.0,0.0,17.0,341.31024169921875,0.0,6.242500873859802e-12,0.027526725083589554,6.0
pf_fs_soft,5.0,0.0,18.0,342.31134033203125,0.0,6.324779242006251e-12,0.025323277339339256,6.0
pf_fs_soft,5.0,0.0,19.0,343.2191162109375,0.0,6.4017849181474684e-12,0.022910842671990395,6.0
pf_fs_soft,5.0,0.0,20.0,344.06365966796875,0.0,6.4723070652972226e-12,0.021669689565896988,6.0
pf_fs_cognitive,5.0,0.0,1.0,159.11004638671875,0.0,4.814413841550125e-13,0.847484827041626,6.0
pf_fs_cognitive,5.0,0.0,2.0,269.5287780761719,0.0,8.174269095807818e-13,1.0753644704818726,6.0
pf_fs_cognitive,5.0,0.0,3.0,291.24462890625,0.0,8.703392282045919e-13,0.23077787458896637,6.0
pf_fs_cognitive,5.0,0.0,4.0,302.87109375,0.0,9.208079177619455e-13,0.156245157122612,6.0
pf_fs_cognitive,5.0,0.0,5.0,310.607666015625,0.0,9.592292238291833e-13,0.11913005262613297,6.0
pf_fs_cognitive,5.0,0.0,6.0,316.30194091796875,0.0,9.922616114182992e-13,0.09638150781393051,6.0
pf_fs_cognitive,5.0,0.0,7.0,320.6986083984375,0.0,1.0254481725563425e-12,0.07921208441257477,6.0
pf_fs_cognitive,5.0,0.0,8.0,324.20733642578125,0.0,1.0615639227037899e-12,0.06729957461357117,6.0
pf_fs_cognitive,5.0,0.0,9.0,327.1692810058594,0.0,1.1007547954730579e-12,0.05944046750664711,6.0
pf_fs_cognitive,5.0,0.0,10.0,329.7371520996094,0.0,1.143636075597032e-12,0.053759656846523285,6.0
pf_fs_cognitive,5.0,0.0,11.0,331.9844970703125,0.0,1.194818766495076e-12,0.04778454080224037,6.0
pf_fs_cognitive,5.0,0.0,12.0,333.9772033691406,0.0,1.2611504722481737e-12,0.043228477239608765,6.0
pf_fs_cognitive,5.0,0.0,13.0,335.75787353515625,0.0,1.317459271017729e-12,0.03941022977232933,6.0
pf_fs_cognitive,5.0,0.0,14.0,337.364013671875,0.0,1.34800699248816e-12,0.036085132509469986,6.0
pf_fs_cognitive,5.0,0.0,15.0,338.8258056640625,0.0,1.367202466691364e-12,0.0334799587726593,6.0
pf_fs_cognitive,5.0,0.0,16.0,340.1607666015625,0.0,1.381336559892754e-12,0.030928097665309906,6.0
pf_fs_cognitive,5.0,0.0,17.0,341.3912353515625,0.0,1.392265317791408e-12,0.02866535447537899,6.0
pf_fs_cognitive,5.0,0.0,18.0,342.543212890625,0.0,1.4014076357704575e-12,0.027061838656663895,6.0
pf_fs_cognitive,5.0,0.0,19.0,343.6315612792969,0.0,1.4096276229613736e-12,0.025713561102747917,6.0
pf_fs_cognitive,5.0,0.0,20.0,344.65411376953125,0.0,1.417502725441222e-12,0.024395113810896873,6.0
