algorithm,sweep_value,batch_index,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
pf_fs_soft,5.0,0.0,1.0,329.3040771484375,0.0,0.0,0.9084394574165344,8.0
pf_fs_soft,5.0,0.0,2.0,60.52885818481445,0.0,1.0079692072326174e-17,2.8669803142547607,8.0
pf_fs_soft,5.0,0.0,3.0,230.314208984375,0.0,0.0,0.8990951180458069,8.0
pf_fs_soft,5.0,0.0,4.0,335.5209655761719,0.0,0.0,0.8536241054534912,8.0
pf_fs_soft,5.0,0.0,5.0,365.1159973144531,0.0,0.0,0.30916959047317505,8.0
pf_fs_soft,5.0,0.0,6.0,376.12908935546875,0.0,0.0,0.10482360422611237,8.0
pf_fs_soft,5.0,0.0,7.0,382.3349609375,0.0,0.0,0.055986542254686356,8.0
pf_fs_soft,5.0,0.0,8.0,386.99932861328125,0.0,0.0,0.0424647219479084,8.0
pf_fs_soft,5.0,0.0,9.0,390.871826171875,0.0,0.0,0.03729553148150444,8.0
pf_fs_soft,5.0,0.0,10.0,394.16558837890625,0.0,0.0,0.033550094813108444,8.0
pf_fs_soft,5.0,0.0,11.0,397.0582275390625,0.0,0.0,0.030572041869163513,8.0
pf_fs_soft,5.0,0.0,12.0,399.6656188964844,0.0,0.0,0.02852998673915863,8.0
pf_fs_soft,5.0,0.0,13.0,402.04571533203125,0.0,0.0,0.026912417262792587,8.0
pf_fs_soft,5.0,0.0,14.0,404.235595703125,0.0,0.0,0.02543524280190468,8.0
pf_fs_soft,5.0,0.0,15.0,406.267822265625,0.0,0.0,0.024124085903167725,8.0
pf_fs_soft,5.0,0.0,16.0,408.1646728515625,0.0,0.0,0.02297745645046234,8.0
pf_fs_soft,5.0,0.0,17.0,409.9444580078125,0.0,0.0,0.02195052243769169,8.0
pf_fs_soft,5.0,0.0,18.0,411.62841796875,0.0,0.0,0.021028561517596245,8.0
pf_fs_soft,5.0,0.0,19.0,413.2234802246094,0.0,0.0,0.02018563635647297,8.0
pf_fs_soft,5.0,0.0,20.0,414.7433776855469,0.0,0.0,0.01941346935927868,8.0
pf_fs_soft,5.0,0.0,21.0,416.1985168457031,0.0,0.0,0.018711213022470474,8.0
pf_fs_soft,5.0,0.0,22.0,417.5956726074219,0.0,0.0,0.018078038468956947,8.0
pf_fs_soft,5.0,0.0,23.0,418.9411315917969,0.0,0.0,0.01750394143164158,8.0
pf_fs_soft,5.0,0.0,24.0,420.2410888671875,0.0,0.0,0.016976376995444298,8.0
pf_fs_soft,5.0,0.0,25.0,421.5001220703125,0.0,0.0,0.016495006158947945,8.0
pf_fs_soft,5.0,0.0,26.0,422.7236633300781,0.0,0.0,0.01604938879609108,8.0
pf_fs_soft,5.0,0.0,27.0,423.9139404296875,0.0,0.0,0.015657566487789154,8.0
pf_fs_soft,5.0,0.0,28.0,425.0756530761719,0.0,0.0,0.015301358886063099,8.0
pf_fs_soft,5.0,0.0,29.0,426.20855712890625,0.0,0.0,0.014965257607400417,8.0
pf_fs_soft,5.0,0.0,30.0,427.3186950683594,0.0,0.0,0.014664585702121258,8.0
pf_fs_soft,5.0,0.0,31.0,428.4111328125,0.0,0.0,0.014386633411049843,8.0
pf_fs_soft,5.0,0.0,32.0,429.4837646484375,0.0,0.0,0.014128816314041615,8.0
pf_fs_soft,5.0,0.0,33.0,430.53717041015625,0.0,0.0,0.01390011329203844,8.0
pf_fs_soft,5.0,0.0,34.0,431.575927734375,0.0,0.0,0.01368520688265562,8.0
pf_fs_soft,5.0,0.0,35.0,432.59942626953125,0.0,0.0,0.013491710647940636,8.0
pf_fs_soft,5.0,0.0,36.0,433.6135559082031,0.0,0.0,0.013311886228621006,8.0
pf_fs_soft,5.0,0.0,37.0,434.61505126953125,0.0,0.0,0.013158517889678478,8.0
pf_fs_soft,5.0,0.0,38.0,435.6063232421875,0.0,0.0,0.013021891005337238,8.0
pf_fs_soft,5.0,0.0,39.0,436.59130859375,0.0,0.0,0.012896989472210407,8.0
pf_fs_soft,5.0,0.0,40.0,437.5655517578125,0.0,0.0,0.012801297940313816,8.0
pf_fs_cognitive,5.0,0.0,1.0,336.80670166015625,0.0,1.2000762796698927e-17,0.9066745638847351,8.0
