algorithm,num_bs_ant,num_ut_per_sector,sweep_value,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
du_pf_cognitive,16,4,5.0,1.0,134.05567717552185,0.0,2.065425599724518e-15,0.7565785851329565,8.0
du_pf_cognitive,16,4,5.0,2.0,146.4458396434784,0.0,2.041642661571071e-15,0.6106155812740326,8.0
du_pf_cognitive,16,4,5.0,3.0,145.98184943199158,0.0,1.7669708673117256e-15,0.37638075929135084,8.0
du_pf_cognitive,16,4,5.0,4.0,149.43070149421692,0.0,1.4764254903323773e-15,0.29646924184635276,8.0
du_pf_cognitive,16,4,5.0,5.0,154.38655948638916,0.0,1.2151690568312047e-15,0.24797838740050787,8.0
du_pf_cognitive,16,4,5.0,6.0,160.54015588760376,0.0,8.824687823609208e-16,0.2208259426988661,8.0
du_pf_cognitive,16,4,5.0,7.0,167.31731390953064,0.0,6.370402447401585e-16,0.19874405441805718,8.0
du_pf_cognitive,16,4,5.0,8.0,174.51760625839233,0.0,4.872449826472976e-16,0.1834055772051215,8.0
du_pf_cognitive,16,4,5.0,9.0,182.35336589813232,0.0,4.226729611605829e-16,0.16727108508348462,8.0
du_pf_cognitive,16,4,5.0,10.0,189.99133253097534,0.0,3.890829696647072e-16,0.15522018028423187,8.0
du_pf_cognitive,16,4,5.0,11.0,197.30694675445557,0.0,3.771334788310967e-16,0.14480877015739677,8.0
du_pf_cognitive,16,4,5.0,12.0,204.47033214569092,0.0,3.728592182303535e-16,0.13541809283196923,8.0
du_pf_cognitive,16,4,5.0,13.0,211.30686140060425,0.0,3.420199132911269e-16,0.12556572817265985,8.0
du_pf_cognitive,16,4,5.0,14.0,217.63200569152832,0.0,2.583619366319475e-16,0.11846208269707854,8.0
du_pf_cognitive,16,4,5.0,15.0,223.83119535446167,0.0,1.8857910080262235e-16,0.11203749338164921,8.0
du_pf_cognitive,16,4,5.0,16.0,229.80695581436157,0.0,1.309445438517164e-16,0.104242883156985,8.0
du_pf_cognitive,16,4,5.0,17.0,235.18812704086304,0.0,8.511503214713443e-17,0.09660201927181328,8.0
du_pf_cognitive,16,4,5.0,18.0,239.7534909248352,0.0,6.260560802988423e-17,0.09210049314424391,8.0
du_pf_cognitive,16,4,5.0,19.0,243.85364818572998,0.0,4.297302543886485e-17,0.08755050203762944,8.0
du_pf_cognitive,16,4,5.0,20.0,248.97400188446045,0.0,3.4188023226416875e-17,0.06244289816822853,8.0
du_pf_cognitive,16,6,5.0,1.0,140.64256763458252,0.0,1.2892189270114417e-15,0.7540882267057896,8.0
du_pf_cognitive,16,6,5.0,2.0,159.51995468139648,0.0,1.1322929709916798e-15,0.5793066583573818,8.0
du_pf_cognitive,16,6,5.0,3.0,162.3560619354248,0.0,9.689155091198166e-16,0.32278267946094275,8.0
du_pf_cognitive,16,6,5.0,4.0,167.2400803565979,0.0,7.775477111570372e-16,0.24741271324455735,8.0
du_pf_cognitive,16,6,5.0,5.0,172.69597816467285,0.0,5.95380835053587e-16,0.2084000892937183,8.0
du_pf_cognitive,16,6,5.0,6.0,178.5237169265747,0.0,4.1623164617362836e-16,0.18662186013534662,8.0
du_pf_cognitive,16,6,5.0,7.0,185.04180145263672,0.0,2.931962195273398e-16,0.17140547744929785,8.0
du_pf_cognitive,16,6,5.0,8.0,192.05430507659912,0.0,1.9873923453515808e-16,0.16026675282046193,8.0
du_pf_cognitive,16,6,5.0,9.0,200.10210132598877,0.0,1.1796079931972886e-16,0.14742586133070287,8.0
du_pf_cognitive,16,6,5.0,10.0,208.25584030151367,0.0,8.134613257854683e-17,0.13742092088796193,8.0
du_pf_cognitive,16,6,5.0,11.0,216.42434310913086,0.0,6.269849048650658e-17,0.12972130160778758,8.0
du_pf_cognitive,16,6,5.0,12.0,224.71495151519775,0.0,4.430114663037999e-17,0.12271469179540868,8.0
du_pf_cognitive,16,6,5.0,13.0,233.0308918952942,0.0,3.206408811117672e-17,0.11509923334233459,8.0
du_pf_cognitive,16,6,5.0,14.0,240.83715343475342,0.0,2.6091923497882663e-17,0.10903750406578179,8.0
du_pf_cognitive,16,6,5.0,15.0,248.33619117736816,0.0,1.2838690139770244e-17,0.10354191181249912,8.0
du_pf_cognitive,16,6,5.0,16.0,255.4725170135498,0.0,1.8195141209749227e-17,0.09725616779178377,8.0
du_pf_cognitive,16,6,5.0,17.0,261.9924659729004,0.0,2.0621520026718374e-17,0.09131856169551607,8.0
du_pf_cognitive,16,6,5.0,18.0,267.75185441970825,0.0,2.1448912397508215e-17,0.08758062007836992,8.0
du_pf_cognitive,16,6,5.0,19.0,273.0543818473816,0.0,1.5893355645365268e-17,0.0833043209277093,8.0
du_pf_cognitive,16,6,5.0,20.0,279.5195837020874,0.0,1.6920991898841946e-17,0.05953188019338991,8.0
du_pf_cognitive,16,8,5.0,1.0,148.40335512161255,0.0,5.47467251721845e-16,0.7541244737803936,8.0
du_pf_cognitive,16,8,5.0,2.0,172.47111177444458,0.0,4.2494862105250003e-16,0.5376272583380342,8.0
du_pf_cognitive,16,8,5.0,3.0,180.16287565231323,0.0,3.815462822582752e-16,0.2966018877923488,8.0
du_pf_cognitive,16,8,5.0,4.0,189.46449041366577,0.0,3.1054676300955807e-16,0.2280762232840061,8.0
du_pf_cognitive,16,8,5.0,5.0,199.06835651397705,0.0,1.9658663264860929e-16,0.19182696286588904,8.0
