algorithm,num_bs_ant,num_ut_per_sector,sweep_value,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,num_iterations_or_layers,converged,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
du_pf_cognitive,16,4,5.0,251.83822584152222,248.97400426864624,2.998074121773243,0.0,3.2179282009601593,0.7217257656157017,-9.236702032387257,-120.0,9.167870581150055,12.398105181753635,0.8035714253783226,0.8035714253783226,8.822204679250717,0.0,18.528234014636837,1.0004200896176845e-14,8.188948343543346e-15,-109.99839544296265,-111.06742835044861,3.4188023226416875e-17,0.9322916734963655,0.9270833376795053,-110.0,-110.0,-0.0016043272024965803,1.0674292715266347,0.06244289816822853,248.97400188446045,20.0,0.0,1.0,60.307757506485785,2.0988219327106608,1.434001154994647,0.9601136545328731,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,16,6,5.0,284.03013944625854,279.51958179473877,2.254207443445921,0.0,2.5485063903033733,0.6157383676618338,-24.300540298223495,-120.0,6.820598945021629,10.273739248514175,0.6808035802096128,0.6808035802096128,9.767110824584961,0.0,18.14844396241824,9.980937586266759e-15,8.452999416670197e-15,-110.00847172737122,-110.87739491462708,1.6920991898841946e-17,0.9322916697710752,0.9244791679084301,-110.0,-110.0,0.008473185431779676,0.8773951400071383,0.05953188019338991,279.5195837020874,20.0,0.0,1.0,64.83912514320826,1.7264368709656575,1.0882552412100053,0.9461709233204822,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,16,8,5.0,329.1222734451294,327.6163454055786,1.959061160683632,0.0,2.0742516331374645,0.527589445002377,-36.18947285413742,-120.0,5.047468435019255,9.906520646065474,0.5825892835855484,0.5825892835855484,8.876843884587288,0.0,18.310790049785282,9.996777446487549e-15,8.516215550166594e-15,-110.00146555900574,-110.82194209098816,2.0476942090533906e-17,0.9348958395421505,0.9192708376795053,-110.0,-110.0,0.0014665257676362846,0.8219435270875692,0.05114186642458657,327.61634349823,20.0,0.0,1.0,68.11463708602734,1.5581162441157292,0.9451354762804614,0.9343047904571602,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,32,4,5.0,256.9694275856018,256.01644945144653,3.0591598376631737,1.2303839153888803,3.08134987577796,0.8879443388432264,4.803650971967727,-13.623935747891665,8.698044665157795,10.771522164344788,0.9583333283662796,0.9583333283662796,45.91748648881912,0.0,18.163202024094062,1.0124192721685412e-14,8.71567934197879e-15,-109.94970631599426,-110.7524425983429,1.3171889078418444e-16,0.8020833330228925,0.7760416632518172,-110.0,-110.0,-0.050293303285485494,0.7524412898346782,0.15710206516087052,256.0164451599121,20.0,0.0,1.0,62.71847850783585,2.1298151936202587,1.7091729913829852,0.9863082688446683,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,32,6,5.0,300.6607599258423,299.4695334434509,2.3861965015530586,0.0,2.5378664452582598,0.8061819355934858,-6.6168207339942455,-120.0,6.7867686226964,8.812203735113144,0.8650793582201004,0.8650793582201004,51.79301601648331,0.0,18.03541278850753,1.0222173019631037e-14,8.94027992176172e-15,-109.909099817276,-110.58556532859802,2.222020736438818e-16,0.7291666632518172,0.7083333292976022,-110.0,-110.0,-0.09089872782865434,0.5855673514306545,0.1167978376615792,299.46953296661377,20.0,0.0,1.0,70.7825912983839,1.776704742519458,1.3316083011642597,0.9784930163525248,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,32,8,5.0,365.85401344299316,363.6130590438843,2.177702456712723,0.0,2.4285304490476847,0.7380056530237198,-14.968385174870491,-120.0,6.385400149971247,8.565523948520422,0.7881324402987957,0.7881324402987957,45.7802015542984,0.0,18.036902508465573,1.0039381986124579e-14,8.922283674475898e-15,-109.9829969406128,-110.58992600440979,4.447873238172778e-17,0.8203124981373549,0.7864583348855376,-110.0,-110.0,-0.017001360993529745,0.5899280585581437,0.09023581165820356,363.6130590438843,20.0,0.0,1.0,81.10886790674085,1.6499403543532951,1.172098025595925,0.9725994583877964,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,64,4,5.0,303.48269176483154,302.7269649505615,3.6128891855478287,2.1879203755408527,3.5003113336861134,0.9177343565970659,9.64246392250061,5.433128818869591,10.129884421825409,12.46812815964222,0.9877232033759356,0.9877232033759356,72.33721995353699,0.0,18.107489927468123,1.0259290559245092e-14,9.065133134052375e-15,-109.89934206008911,-110.53493881225586,2.5929073472839143e-16,0.7395833320915699,0.7187499962747097,-110.0,-110.0,-0.10065698775542838,0.5349405850283802,0.44788737688213587,302.72696685791016,20.0,0.0,1.0,75.98120491286073,2.485272360544738,2.103721773953442,0.9900677316420975,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,64,6,5.0,412.9654998779297,412.45365142822266,3.277503974735737,1.426933243730517,3.277020327746868,0.9023336935788393,5.212552044540644,-10.559963474282995,9.386397942900658,11.408985465765,0.9580853041261435,0.9580853041261435,73.61077380180359,0.0,18.066447673016228,1.0047172068731138e-14,9.220115599444442e-15,-109.9795835018158,-110.42159175872803,4.717240303311486e-17,0.7291666697710752,0.6979166679084301,-110.0,-110.0,-0.020416085007312235,0.42159375618211925,0.2229620963335037,412.4536552429199,20.0,0.0,1.0,105.46793235423135,2.3232710552220004,1.9230348560943704,0.9895994608711514,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,64,8,5.0,516.6951036453247,515.4699153900146,3.075566090643406,0.03167633710601889,3.195705659687519,0.8688299134373665,0.20550747215747833,-112.53588455542922,9.111167326569557,10.980618625879288,0.9203869048506021,0.9203869048506021,74.19798278808594,0.0,18.08414246790926,1.0046981936304259e-14,9.195483563700932e-15,-109.97966170310974,-110.42452597618103,4.7712360067209874e-17,0.7395833367481828,0.7109375009313226,-110.0,-110.0,-0.020336561166956767,0.4245263622578932,0.1236701814923435,515.4699172973633,20.0,0.0,1.0,130.06516696548033,2.187377614931359,1.727008608107559,0.9856475116979265,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,96,4,5.0,551.6064825057983,535.8153419494629,6.566743865609169,8.061686651572605e-10,6.665130659937859,0.7477297428995371,3.5294793351204135,-120.0,20.015866965055466,27.232396572828293,0.8571428563445807,0.8571428563445807,59.77119065448642,0.0,18.115804430330172,7.991436469674927e-15,3.637894585957258e-15,-111.6426911354065,-116.73780155181885,6.4866312496326354e-18,0.9765625,0.9661458320915699,-110.0,-110.0,1.642692285415607,6.737800054252148,0.2113255233271047,535.8153400421143,20.0,0.0,1.0,117.10216986312018,4.160033936583673,2.756817925795269,0.9392776146031012,8.0,8.0,8.0,8.0,0.5
