panel,label,metric,algorithm,sweep_value,mean,std,count,half_ci,lower,upper
main_performance,Deep unfolding + cognitive mask,weighted_sum_rate_bps_per_hz,du_pf_cognitive,0.0,295.9819881916046,40.1124224769918,64,9.827543506862991,286.15444468474163,305.8095316984676
main_performance,Deep unfolding + cognitive mask,weighted_sum_rate_bps_per_hz,du_pf_cognitive,5.0,300.0902192592621,42.28935560197175,64,10.360892122483078,289.72932713677903,310.45111138174514
main_performance,Deep unfolding + cognitive mask,weighted_sum_rate_bps_per_hz,du_pf_cognitive,10.0,301.882541179657,42.203567678082045,64,10.339874081130102,291.54266709852686,312.2224152607871
main_performance,Deep unfolding + cognitive mask,weighted_sum_rate_bps_per_hz,du_pf_cognitive,15.0,303.26741218566895,41.96183533901238,64,10.280649658058033,292.9867625276109,313.548061843727
main_performance,Deep unfolding + cognitive mask,weighted_sum_rate_bps_per_hz,du_pf_cognitive,20.0,303.3345572948456,42.258774760299005,64,10.353399816273257,292.9811574785723,313.68795711111886
main_performance,Deep unfolding + cognitive mask,weighted_sum_rate_bps_per_hz,du_pf_cognitive,25.0,303.57137632369995,42.37422203010064,64,10.381684397374656,293.1896919263253,313.9530607210746
main_performance,Edge-weighted soft protection,weighted_sum_rate_bps_per_hz,edge_fs_soft,0.0,327.6876971721649,51.88499160203953,64,12.711822942499683,314.97587422966524,340.3995201146646
main_performance,Edge-weighted soft protection,weighted_sum_rate_bps_per_hz,edge_fs_soft,5.0,363.98225498199463,68.41943547576736,64,16.762761691563004,347.2194932904316,380.74501667355764
main_performance,Edge-weighted soft protection,weighted_sum_rate_bps_per_hz,edge_fs_soft,10.0,387.2941417694092,77.91643282603134,64,19.089526042377678,368.2046157270315,406.38366781178684
main_performance,Edge-weighted soft protection,weighted_sum_rate_bps_per_hz,edge_fs_soft,15.0,396.1574218273163,86.57516398504583,64,21.21091517633623,374.94650665098004,417.3683370036525
main_performance,Edge-weighted soft protection,weighted_sum_rate_bps_per_hz,edge_fs_soft,20.0,398.6977014541626,90.77323786516392,64,22.23944327696516,376.4582581771974,420.9371447311278
main_performance,Edge-weighted soft protection,weighted_sum_rate_bps_per_hz,edge_fs_soft,25.0,403.5050117969513,88.46574285018727,64,21.67410699829588,381.8309047986554,425.1791187952472
main_performance,Proportional-fairness + cognitive mask,weighted_sum_rate_bps_per_hz,pf_fs_cognitive,0.0,416.4743161201477,56.705447990972544,64,13.892834757788274,402.58148136235945,430.36715087793596
main_performance,Proportional-fairness + cognitive mask,weighted_sum_rate_bps_per_hz,pf_fs_cognitive,5.0,454.1679549217224,61.18058000860403,64,14.989242102107987,439.1787128196144,469.1571970238304
main_performance,Proportional-fairness + cognitive mask,weighted_sum_rate_bps_per_hz,pf_fs_cognitive,10.0,471.03126335144043,63.54504571044344,64,15.568536199058642,455.4627271523818,486.5997995504991
main_performance,Proportional-fairness + cognitive mask,weighted_sum_rate_bps_per_hz,pf_fs_cognitive,15.0,475.67906427383423,67.85676973838125,64,16.624908585903405,459.0541556879308,492.30397285973766
main_performance,Proportional-fairness + cognitive mask,weighted_sum_rate_bps_per_hz,pf_fs_cognitive,20.0,478.57229232788086,65.06844040239717,64,15.941767898587306,462.63052442929353,494.5140602264682
main_performance,Proportional-fairness + cognitive mask,weighted_sum_rate_bps_per_hz,pf_fs_cognitive,25.0,483.22692131996155,62.71195969703567,64,15.364430125773739,467.8624911941878,498.5913514457353
main_performance,Proportional-fairness hybrid,weighted_sum_rate_bps_per_hz,pf_fs_hybrid,0.0,173.97625303268433,8.663355299576505,64,2.122522048396244,171.8537309842881,176.09877508108056
main_performance,Proportional-fairness hybrid,weighted_sum_rate_bps_per_hz,pf_fs_hybrid,5.0,175.77067136764526,8.555949235231052,64,2.0962075626316077,173.67446380501366,177.86687893027687
main_performance,Proportional-fairness hybrid,weighted_sum_rate_bps_per_hz,pf_fs_hybrid,10.0,175.61242985725403,8.357652511876209,64,2.047624865409671,173.56480499184437,177.6600547226637
main_performance,Proportional-fairness hybrid,weighted_sum_rate_bps_per_hz,pf_fs_hybrid,15.0,174.6882905960083,8.714783607952686,64,2.135121983948408,172.5531686120599,176.8234125799567
main_performance,Proportional-fairness hybrid,weighted_sum_rate_bps_per_hz,pf_fs_hybrid,20.0,175.22156286239624,8.716070090681187,64,2.135437172216891,173.08612569017936,177.35700003461312
main_performance,Proportional-fairness hybrid,weighted_sum_rate_bps_per_hz,pf_fs_hybrid,25.0,175.08756494522095,9.186167282755486,64,2.250610984275094,172.83695396094586,177.33817592949603
main_performance,Proportional-fairness + soft protection,weighted_sum_rate_bps_per_hz,pf_fs_soft,0.0,288.31805396080017,62.2083967674336,64,15.241057208021232,273.07699675277894,303.5591111688214
main_performance,Proportional-fairness + soft protection,weighted_sum_rate_bps_per_hz,pf_fs_soft,5.0,309.9534149169922,77.49432519884574,64,18.986109673717205,290.967305243275,328.93952459070937
main_performance,Proportional-fairness + soft protection,weighted_sum_rate_bps_per_hz,pf_fs_soft,10.0,323.65654039382935,90.30791327821886,64,22.12543875316362,301.5311016406657,345.78197914699297
main_performance,Proportional-fairness + soft protection,weighted_sum_rate_bps_per_hz,pf_fs_soft,15.0,327.43023800849915,95.86683286744116,64,23.487374052523084,303.94286395597607,350.9176120610222
main_performance,Proportional-fairness + soft protection,weighted_sum_rate_bps_per_hz,pf_fs_soft,20.0,328.8951053619385,96.11885026279758,64,23.549118314385407,305.3459870475531,352.4442236763239
main_performance,Proportional-fairness + soft protection,weighted_sum_rate_bps_per_hz,pf_fs_soft,25.0,331.8931128978729,96.1347347222219,64,23.553010006944366,308.34010289092856,355.4461229048173
incumbent_protection,Deep unfolding + cognitive mask,protection_satisfaction,du_pf_cognitive,0.0,0.7604166697710752,0.1553712076051599,64,0.03806594586326418,0.7223507239078111,0.7984826156343394
incumbent_protection,Deep unfolding + cognitive mask,protection_satisfaction,du_pf_cognitive,5.0,0.7526041655801237,0.17440295814235113,64,0.042728724744876025,0.7098754408352477,0.7953328903249997
incumbent_protection,Deep unfolding + cognitive mask,protection_satisfaction,du_pf_cognitive,10.0,0.770833330694586,0.17123372217040075,64,0.04195226193174818,0.7288810687628379,0.8127855926263342
