panel,label,metric,algorithm,sweep_value,mean,std,count,half_ci,lower,upper
incumbent_protection,Deep unfolding + cognitive mask,protection_satisfaction,du_pf_cognitive,15.0,0.7408854146488011,0.17762716351716512,64,0.04351865506170546,0.6973667595870956,0.7844040697105066
incumbent_protection,Deep unfolding + cognitive mask,protection_satisfaction,du_pf_cognitive,20.0,0.7382812486030161,0.18237313973094404,64,0.04468141923408129,0.6935998293689348,0.7829626678370974
incumbent_protection,Deep unfolding + cognitive mask,protection_satisfaction,du_pf_cognitive,25.0,0.7434895820915699,0.17587316147388585,64,0.043088924561102034,0.7004006575304679,0.7865785066526719
incumbent_protection,Edge-weighted soft protection,protection_satisfaction,edge_fs_soft,0.0,0.7747395827900618,0.2076999322892789,64,0.05088648341087333,0.7238530993791885,0.8256260662009351
incumbent_protection,Edge-weighted soft protection,protection_satisfaction,edge_fs_soft,5.0,0.8255208347691223,0.2071893207082833,64,0.05076138357352941,0.7747594511955929,0.8762822183426517
incumbent_protection,Edge-weighted soft protection,protection_satisfaction,edge_fs_soft,10.0,0.8463541702367365,0.19654127628599355,64,0.048152612690068416,0.7982015575466681,0.894506782926805
incumbent_protection,Edge-weighted soft protection,protection_satisfaction,edge_fs_soft,15.0,0.8398437518626451,0.1675273361277174,64,0.04104419735129076,0.7987995545113544,0.8808879492139359
incumbent_protection,Edge-weighted soft protection,protection_satisfaction,edge_fs_soft,20.0,0.8151041695382446,0.1857279602190252,64,0.04550335025366117,0.7696008192845835,0.8606075197919058
incumbent_protection,Edge-weighted soft protection,protection_satisfaction,edge_fs_soft,25.0,0.8281250006984919,0.1929506114604501,64,0.04727289980781027,0.7808521008906817,0.8753979005063022
incumbent_protection,Proportional-fairness + cognitive mask,protection_satisfaction,pf_fs_cognitive,0.0,0.928385422565043,0.08114478989292297,64,0.019880473523766127,0.9085049490412769,0.9482658960888091
incumbent_protection,Proportional-fairness + cognitive mask,protection_satisfaction,pf_fs_cognitive,5.0,0.9244791716337204,0.07231183663109494,64,0.017716399974618262,0.9067627716591021,0.9421955716083387
incumbent_protection,Proportional-fairness + cognitive mask,protection_satisfaction,pf_fs_cognitive,10.0,0.9257812509313226,0.08923196388675199,64,0.021861831152254235,0.9039194197790683,0.9476430820835768
incumbent_protection,Proportional-fairness + cognitive mask,protection_satisfaction,pf_fs_cognitive,15.0,0.91015625,0.08173694712595263,64,0.020025552045858392,0.8901306979541416,0.9301818020458584
incumbent_protection,Proportional-fairness + cognitive mask,protection_satisfaction,pf_fs_cognitive,20.0,0.9257812537252903,0.07291667051866885,64,0.017864584277073867,0.9079166694482165,0.9436458380023641
incumbent_protection,Proportional-fairness + cognitive mask,protection_satisfaction,pf_fs_cognitive,25.0,0.9127604179084301,0.09440906330848028,64,0.02313022051057767,0.8896301973978524,0.9358906384190078
incumbent_protection,Proportional-fairness hybrid,protection_satisfaction,pf_fs_hybrid,0.0,1.0,0.0,64,0.0,1.0,1.0
incumbent_protection,Proportional-fairness hybrid,protection_satisfaction,pf_fs_hybrid,5.0,1.0,0.0,64,0.0,1.0,1.0
incumbent_protection,Proportional-fairness hybrid,protection_satisfaction,pf_fs_hybrid,10.0,1.0,0.0,64,0.0,1.0,1.0
incumbent_protection,Proportional-fairness hybrid,protection_satisfaction,pf_fs_hybrid,15.0,1.0,0.0,64,0.0,1.0,1.0
incumbent_protection,Proportional-fairness hybrid,protection_satisfaction,pf_fs_hybrid,20.0,1.0,0.0,64,0.0,1.0,1.0
incumbent_protection,Proportional-fairness hybrid,protection_satisfaction,pf_fs_hybrid,25.0,1.0,0.0,64,0.0,1.0,1.0
incumbent_protection,Proportional-fairness + soft protection,protection_satisfaction,pf_fs_soft,0.0,0.6640625017462298,0.2537065416194428,64,0.06215810269676348,0.6019043990494664,0.7262206044429933
incumbent_protection,Proportional-fairness + soft protection,protection_satisfaction,pf_fs_soft,5.0,0.6875000009313226,0.27738066869439776,64,0.06795826383012744,0.6195417371011951,0.7554582647614501
incumbent_protection,Proportional-fairness + soft protection,protection_satisfaction,pf_fs_soft,10.0,0.699218752910383,0.27241538172746854,64,0.06674176852322979,0.6324769843871533,0.7659605214336128
incumbent_protection,Proportional-fairness + soft protection,protection_satisfaction,pf_fs_soft,15.0,0.6770833336049691,0.27797611888658025,64,0.06810414912721216,0.6089791844777569,0.7451874827321813
incumbent_protection,Proportional-fairness + soft protection,protection_satisfaction,pf_fs_soft,20.0,0.697916666045785,0.24465178756222536,64,0.059939687952745214,0.6379769780930398,0.7578563539985301
incumbent_protection,Proportional-fairness + soft protection,protection_satisfaction,pf_fs_soft,25.0,0.7148437511641532,0.2737021209883006,64,0.06705701964213365,0.6477867315220196,0.7819007708062868
