metric,label,algorithm,num_bs_ant,num_ut_per_sector,mean,std,count,half_ci,lower,upper
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,16,4,248.97400426864624,28.769305453272565,32,9.968055778257714,239.00594849038853,258.942060046904
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,16,6,279.51958179473877,31.544002383958684,32,10.929439215816284,268.5901425789225,290.44902101055504
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,16,8,327.6163454055786,30.40251131741073,32,10.533932739644522,317.0824126659341,338.1502781452231
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,32,4,256.01644945144653,38.70641634247551,32,13.411089040885173,242.60536041056136,269.4275384923317
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,32,6,299.4695334434509,38.842603796717206,32,13.458275586364525,286.0112578570864,312.9278090298155
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,32,8,363.6130590438843,45.520845198951676,32,15.772168179505693,347.8408908643786,379.38522722338996
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,64,4,302.7269649505615,19.781296944671617,32,6.853869713018597,295.87309523754294,309.5808346635801
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,64,6,412.45365142822266,25.650060466863636,32,8.887292530042487,403.56635889818017,421.34094395826514
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,64,8,515.4699153900146,36.134339066004515,32,12.519909731760226,502.95000565825444,527.9898251217749
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,96,4,535.8153419494629,56.345673734662356,32,19.5227799142692,516.2925620351937,555.3381218637321
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,96,6,528.0882329940796,30.727882707388595,32,10.646668174610667,517.4415648194689,538.7349011686903
weighted_sum_rate_bps_per_hz,Deep unfolding + cognitive mask,du_pf_cognitive,96,8,698.2463836669922,46.43303253512622,32,16.088224966555234,682.158158700437,714.3346086335474
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,16,4,288.4459524154663,22.445558541130275,32,7.7769892594568955,280.6689631560094,296.2229416749232
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,16,6,335.1180896759033,28.009471094518876,32,9.704786604707614,325.4133030711957,344.82287628061096
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,16,8,382.5701551437378,21.487714009271848,32,7.445113061195116,375.1250420825427,390.0152682049329
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,32,4,378.36905097961426,55.54253817361234,32,19.24450763956824,359.124543340046,397.6135586191825
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,32,6,452.5341491699219,53.59346197464461,32,18.569187190871943,433.9649619790499,471.10333636079383
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,32,8,542.875054359436,45.3521024004519,32,15.713701782728855,527.1613525767071,558.5887561421649
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,64,4,287.0368947982788,25.894319892304964,32,8.97192410313065,278.06497069514813,296.0088189014095
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,64,6,423.66861629486084,72.90184981244482,32,25.259202258077256,398.4094140367836,448.9278185529381
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,64,8,610.6218128204346,121.95352665360612,32,42.25474118632583,568.3670716341087,652.8765540067604
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,96,4,438.313193321228,46.87307729207527,32,16.24069269607072,422.0725006251573,454.55388601729874
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,96,6,471.0101318359375,35.18055519348383,32,12.189440480177815,458.82069135575966,483.19957231611534
weighted_sum_rate_bps_per_hz,Proportional-fairness + cognitive mask,pf_fs_cognitive,96,8,651.6685447692871,69.6135147246833,32,24.119852278786034,627.548692490501,675.7883970480732
