algorithm,label,sweep_value,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,8.0,262.9620065689087,0.0,2.321639487272008e-16,0.2191161189693957,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,9.0,265.131441116333,0.0,2.115152971763907e-16,0.2072149182204156,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,10.0,267.67778038978577,0.0,1.8010404647442042e-16,0.1986406105570494,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,11.0,269.7162084579468,0.0,1.661764690111752e-16,0.1918538284953683,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,12.0,272.06219029426575,0.0,1.4851282774093824e-16,0.1855773818679153,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,13.0,274.1842794418335,0.0,1.4327173197046343e-16,0.1807799628004431,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,14.0,276.83568596839905,0.0,1.3258510108676015e-16,0.1761388874147087,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,15.0,279.6848497390747,0.0,1.398328840837294e-16,0.1719754859805106,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,16.0,283.3548758029938,0.0,1.3875265237818415e-16,0.1678722372744232,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,17.0,287.1474618911743,0.0,1.4481502600036081e-16,0.1643836653092875,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,18.0,291.5126140117645,0.0,1.4887550342615092e-16,0.1609367233468219,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,19.0,295.99242424964905,0.0,1.4319089326355987e-16,0.1578296655789017,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,20.0,301.02630257606506,0.0,1.2468690266541804e-16,0.1539637375390156,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,21.0,306.0536320209503,0.0,1.1855345768501083e-16,0.1499892158899456,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,22.0,311.3179476261139,0.0,1.1263035480820854e-16,0.1455335086211562,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,23.0,316.4492998123169,0.0,9.763871867475468e-17,0.1415753427427261,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,24.0,321.7965245246887,0.0,8.491162512578518e-17,0.1377704163314774,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,25.0,327.17195415496826,0.0,7.98795082652658e-17,0.1346340249292552,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,26.0,332.68549704551697,0.0,7.21798861304956e-17,0.1311880686553194,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,27.0,338.0984230041504,0.0,7.884177379087106e-17,0.1275268113240599,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,28.0,343.6051743030548,0.0,6.866606259303973e-17,0.1243200233438983,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,29.0,349.1020276546478,0.0,7.523805888188785e-17,0.1212703205528668,8.0
