panel,label,metric,algorithm,sweep_value,mean,std,count,half_ci,lower,upper
quality,DU-Cognitive,weighted_sum_rate_bps_per_hz,du_pf_cognitive,0.0,295.9819881916046,40.1124224769918,64.0,9.827543506862991,286.15444468474163,305.8095316984676
quality,DU-Cognitive,weighted_sum_rate_bps_per_hz,du_pf_cognitive,5.0,300.0902192592621,42.28935560197175,64.0,10.360892122483078,289.72932713677903,310.45111138174514
quality,DU-Cognitive,weighted_sum_rate_bps_per_hz,du_pf_cognitive,10.0,301.882541179657,42.203567678082045,64.0,10.339874081130102,291.54266709852686,312.2224152607871
quality,DU-Cognitive,weighted_sum_rate_bps_per_hz,du_pf_cognitive,15.0,303.26741218566895,41.96183533901238,64.0,10.280649658058033,292.9867625276109,313.548061843727
quality,DU-Cognitive,weighted_sum_rate_bps_per_hz,du_pf_cognitive,20.0,303.3345572948456,42.258774760299005,64.0,10.353399816273257,292.9811574785723,313.68795711111886
quality,DU-Cognitive,weighted_sum_rate_bps_per_hz,du_pf_cognitive,25.0,303.57137632369995,42.37422203010064,64.0,10.381684397374656,293.1896919263253,313.9530607210746
quality,DU-Soft,weighted_sum_rate_bps_per_hz,du_pf_soft,0.0,241.47437357902527,19.21666649349971,64.0,4.708083290907428,236.76629028811783,246.1824568699327
quality,DU-Soft,weighted_sum_rate_bps_per_hz,du_pf_soft,5.0,242.31759452819824,19.479020913762877,64.0,4.772360123871905,237.54523440432635,247.08995465207013
quality,DU-Soft,weighted_sum_rate_bps_per_hz,du_pf_soft,10.0,241.68961000442505,20.49698158163828,64.0,5.021760487501378,236.66784951692367,246.71137049192643
quality,DU-Soft,weighted_sum_rate_bps_per_hz,du_pf_soft,15.0,243.49273657798767,20.20072430363171,64.0,4.949177454389769,238.5435591235979,248.44191403237744
quality,DU-Soft,weighted_sum_rate_bps_per_hz,du_pf_soft,20.0,243.82600140571594,19.912846405802757,64.0,4.878647369421675,238.94735403629426,248.70464877513763
quality,DU-Soft,weighted_sum_rate_bps_per_hz,du_pf_soft,25.0,243.91915225982666,19.18361272935666,64.0,4.699985118692382,239.21916714113428,248.61913737851904
quality,PF-Cognitive,weighted_sum_rate_bps_per_hz,pf_fs_cognitive,0.0,416.4743161201477,56.705447990972544,64.0,13.892834757788274,402.58148136235945,430.36715087793596
quality,PF-Cognitive,weighted_sum_rate_bps_per_hz,pf_fs_cognitive,5.0,454.1679549217224,61.18058000860403,64.0,14.989242102107987,439.1787128196144,469.1571970238304
quality,PF-Cognitive,weighted_sum_rate_bps_per_hz,pf_fs_cognitive,10.0,471.03126335144043,63.54504571044344,64.0,15.568536199058642,455.4627271523818,486.5997995504991
quality,PF-Cognitive,weighted_sum_rate_bps_per_hz,pf_fs_cognitive,15.0,475.67906427383423,67.85676973838125,64.0,16.624908585903405,459.0541556879308,492.30397285973766
