sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,tau_rms_ns,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,channel_modeling,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
572.792724609375,562.77099609375,4.545973777770996,0.0,4.705043315887451,0.6764323115348816,-14.674219131469727,-120.0,0.7777777910232544,0.745039701461792,57.35273742675781,0.0,5.69014593801694,1.819335047198445e-12,3.7277291171401716e-13,-87.40087127685547,-96.0198745727539,1.809335016880742e-12,0.0,0.0,-110.0,-110.0,-22.5991268157959,-13.980113983154297,0.02703900635242462,562.7709350585938,pf_fs_soft,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,120.60742990874522,2.7238322098585352,1.5126214259753576,0.9111970353229621,6.0,10.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,flat,,,,
571.6460571289062,560.9122314453125,4.5368733406066895,0.0,4.534057855606079,0.6852588057518005,-14.870859146118164,-120.0,0.8253968358039856,0.7460317611694336,49.10914611816406,0.0,2.6438843690266367,2.1442533078980253e-12,3.96300044646844e-13,-86.6872329711914,-95.98384857177734,2.1342532775803225e-12,0.0,0.0,-110.0,-110.0,-23.312759399414062,-14.016148567199707,0.02711164951324463,560.9122924804688,pf_fs_soft,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,120.4766533498537,2.714224857599728,1.624028798993021,0.9160174830393139,6.0,10.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,selective,,,,
574.703369140625,563.5551147460938,4.561137676239014,0.0,4.604212045669556,0.6674331426620483,-14.513447761535645,-120.0,0.761904776096344,0.7410714030265808,49.077613830566406,0.0,2.646978890959872,5.956614325050569e-13,1.2405218996133782e-13,-92.25,-100.44795989990234,5.856614563974627e-13,0.0,0.0,-110.0,-110.0,-17.7499942779541,-9.552038192749023,0.02661830186843872,563.5551147460938,pf_fs_cognitive,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,120.24513712171999,2.717742656171888,1.5963692059474588,0.9109970450186423,6.0,10.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,flat,4.0,4.0,4.0,0.5
571.76953125,564.912841796875,4.537853240966797,0.0,4.555061101913452,0.6780444979667664,-16.443185806274414,-120.0,0.8015872836112976,0.7232142686843872,44.80306625366211,0.0,2.6610639649734367,4.191063457652938e-13,1.1147542443171524e-13,-93.7767562866211,-100.42593383789062,4.0910634255264533e-13,0.0,0.0,-110.0,-110.0,-16.223241806030273,-9.574063301086426,0.028681164607405663,564.912841796875,pf_fs_cognitive,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,120.59764969104769,2.715610551215144,1.616524433737278,0.9163238024686144,6.0,10.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,selective,4.0,4.0,4.0,0.5
550.9900512695312,536.8422241210938,4.372936725616455,0.0,4.630963325500488,0.6804147362709045,-9.373955726623535,-120.0,0.7698412537574768,0.7519841194152832,58.67222595214844,0.0,1.5608760620525572,1.904854095638453e-12,3.8840314970332857e-13,-87.20138549804688,-95.68783569335938,1.89485406532075e-12,0.0,0.0,-110.0,-110.0,-22.79861831665039,-14.31216049194336,0.055774033069610596,536.84228515625,du_pf_soft,5.0,0.0,10.0,0.0,pf,budget_dual,1.0,116.56306017778279,2.6465419887327646,1.5033065408404218,0.9035651314498031,6.0,10.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,flat,,,,
551.7073364257812,534.867431640625,4.378629684448242,0.0,4.5456154346466064,0.700006365776062,-9.679414749145508,-120.0,0.8333333134651184,0.7539682388305664,51.00172805786133,0.0,1.3844138809654396,1.7224599567836063e-12,3.753276986082077e-13,-87.63850402832031,-95.79828643798828,1.7124599264659035e-12,0.0,0.0,-110.0,-110.0,-22.361492156982422,-14.201705932617188,0.05671580880880356,534.8673706054688,du_pf_soft,5.0,0.0,10.0,0.0,pf,budget_dual,1.0,116.68020577257161,2.6431919053222312,1.5217791528889957,0.9070208108416794,6.0,10.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,selective,,,,
545.5821533203125,531.2130126953125,4.33001708984375,0.0,4.567621469497681,0.6893711686134338,-9.080336570739746,-120.0,0.7857142686843872,0.761904776096344,72.33539581298828,0.0,1.3778620979865082,4.718163251586638e-13,1.509930147493982e-13,-93.26227569580078,-98.87039947509766,4.618163490510696e-13,0.0,0.0,-110.0,-110.0,-16.737730026245117,-11.129595756530762,0.06046758219599724,531.2130126953125,du_pf_cognitive,5.0,0.0,10.0,0.0,pf,budget_dual,1.0,116.24456376715548,2.636158382177057,1.5363664100899563,0.904813251060402,6.0,10.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,flat,4.0,4.0,4.0,0.5
549.6251220703125,539.4495849609375,4.3621039390563965,0.0,4.421490669250488,0.7034991383552551,-10.478852272033691,-120.0,0.8253968358039856,0.7519841194152832,69.85499572753906,0.0,1.3700042409764137,4.570525815456028e-13,1.494472406070313e-13,-93.40034484863281,-98.8782958984375,4.470525783329543e-13,0.0,0.0,-110.0,-110.0,-16.599660873413086,-11.121705055236816,0.06424764543771744,539.4495849609375,du_pf_cognitive,5.0,0.0,10.0,0.0,pf,budget_dual,1.0,116.75359548958441,2.6389754362799036,1.580823672087729,0.9099301290104688,6.0,10.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,selective,4.0,4.0,4.0,0.5
563.1263427734375,542.52392578125,4.46925687789917,0.0,4.834262847900391,0.672012448310852,-15.142610549926758,-120.0,0.7857142686843872,0.7361111044883728,43.622291564941406,0.0,2.6461354470520746,1.6991922192205466e-12,4.990242702569703e-13,-87.69757843017578,-94.6507797241211,1.6891921889028438e-12,0.0,0.0,-110.0,-110.0,-22.30242347717285,-15.349227905273438,0.026951711624860764,542.52392578125,pf_fs_soft,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,120.87753142952197,2.716828145036973,1.648728220668073,0.9233583326314052,6.0,10.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,flat,,,,
561.8765258789062,543.4176635742188,4.4593377113342285,0.0,4.774390459060669,0.6868249177932739,-17.623807907104492,-120.0,0.817460298538208,0.7271825671195984,45.118858337402344,0.0,2.650580091023585,1.845686581000705e-12,4.941646050693471e-13,-87.33841705322266,-94.8733901977539,1.8356865506830022e-12,0.0,0.0,-110.0,-110.0,-22.661579132080078,-15.126612663269043,0.025138039141893387,543.4176635742188,pf_fs_soft,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,121.03677664807549,2.713048688485835,1.6784799849947691,0.927486561763397,6.0,10.0,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,selective,,,,
