step,snr_db,loss,grad_norm,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
1.0,15.0,-940.0762329101562,12.547446250915527,516.2271728515625,940.0762329101562,4.097041130065918,0.0,2.682119846343994,0.45127472281455994,-19.243019104003906,-120.0,0.6507936716079712,0.6170634627342224,64.22097778320312,0.0,0.0,1.0015517061534585e-12,2.465946283974896e-13,-89.99327087402344,-98.66263580322266,9.915516758357557e-13,0.0,0.0,-110.0,-110.0,-20.006732940673828,-11.337357521057129,0.09796705842018127,940.0762329101562,2.0,2.0,2.0,0.5
2.0,0.0,-815.3377685546875,27.85079574584961,471.54791259765625,815.3377685546875,3.742443799972534,0.0,3.2300009727478027,0.4939095079898834,-17.19759178161621,-120.0,0.6507936716079712,0.6210317611694336,63.21028137207031,0.0,0.0,4.40302200081788e-13,1.4679392684041614e-13,-93.56249237060547,-100.27734375,4.303021968691395e-13,0.0,0.0,-110.0,-110.0,-16.43750762939453,-9.722648620605469,0.07032086700201035,815.3378295898438,2.0,2.0,2.0,0.5
3.0,-10.0,-600.2263793945312,21.289451599121094,419.56036376953125,600.2263793945312,3.3298442363739014,0.0,3.695479393005371,0.5800694227218628,-18.919818878173828,-120.0,0.6904761791229248,0.6726190447807312,79.43265533447266,0.0,0.0,4.3434787017071486e-12,6.585912371015468e-13,-83.62162780761719,-95.44210052490234,4.33347888822988e-12,0.0,0.0,-110.0,-110.0,-26.378376007080078,-14.557904243469238,0.059411805123090744,600.2263793945312,2.0,2.0,2.0,0.5
4.0,5.0,-783.1043090820312,16.286466598510742,464.8452453613281,783.1043090820312,3.6892480850219727,0.0,2.6491624116897583,0.48845455050468445,-21.7916259765625,-120.0,0.6190476417541504,0.6071428656578064,50.85984420776367,0.0,0.0,6.272006568622257e-13,1.7176105644115675e-13,-92.02593994140625,-99.49078369140625,6.172006807546315e-13,0.0,0.0,-110.0,-110.0,-17.974063873291016,-10.509209632873535,0.08164991438388824,783.104248046875,2.0,2.0,2.0,0.5
5.0,5.0,-869.8571166992188,36.76288604736328,491.0830078125,869.8571166992188,3.897484302520752,0.0,3.064774513244629,0.47533538937568665,-20.202320098876953,-120.0,0.6269841194152832,0.6170634627342224,79.43265533447266,0.0,0.0,5.028706400941885e-13,1.2569682978930824e-13,-92.98543548583984,-99.99295806884766,4.928706639865943e-13,0.0,0.0,-110.0,-110.0,-17.014562606811523,-10.007031440734863,0.09545136988162994,869.857177734375,2.0,2.0,2.0,0.5
6.0,5.0,-804.6506958007812,11.866934776306152,495.024658203125,804.6506958007812,3.928767204284668,0.0,3.2737032175064087,0.4915229380130768,-17.222320556640625,-120.0,0.6349206566810608,0.613095223903656,63.74595260620117,0.0,0.0,3.0669057246059117e-13,1.1876453596612602e-13,-95.13299560546875,-100.42373657226562,2.966905692479427e-13,0.0,0.0,-110.0,-110.0,-14.86700439453125,-9.576264381408691,0.08667550981044769,804.6507568359375,2.0,2.0,2.0,0.5
7.0,0.0,-789.7026977539062,12.585672378540039,489.103271484375,789.7026977539062,3.881772041320801,0.0,3.1636546850204468,0.5176590085029602,-15.789402961730957,-120.0,0.6904761791229248,0.6607142686843872,69.49120330810547,0.0,0.0,4.310670472917194e-13,2.1837017599984215e-13,-93.65455627441406,-97.65448760986328,4.210670440790709e-13,0.0,0.0,-110.0,-110.0,-16.345449447631836,-12.345504760742188,0.06211427226662636,789.70263671875,2.0,2.0,2.0,0.5
8.0,-10.0,-590.2792358398438,41.85063934326172,444.7392578125,590.2792358398438,3.529676675796509,0.0,3.4716038703918457,0.5946210622787476,-14.41004753112793,-120.0,0.7063491940498352,0.6845238208770752,76.85012817382812,0.0,0.0,3.287857399530969e-12,4.432095695224708e-13,-84.83086395263672,-96.5865707397461,3.2778573692132662e-12,0.0,0.0,-110.0,-110.0,-25.169130325317383,-13.413421630859375,0.05848298221826553,590.2791748046875,2.0,2.0,2.0,0.5
9.0,10.0,-941.6820068359375,19.34551429748535,474.1292724609375,941.6820068359375,3.7629306316375732,0.0,1.879151999950409,0.4083003103733063,-22.970449447631836,-120.0,0.5714285969734192,0.5376983880996704,71.10833740234375,0.0,0.0,5.199261160493407e-13,1.6436136306141602e-13,-92.84058380126953,-98.75448608398438,5.099261399417465e-13,0.0,0.0,-110.0,-110.0,-17.15941619873047,-11.245513916015625,0.12160955369472504,941.6820068359375,2.0,2.0,2.0,0.5
10.0,0.0,-731.3050537109375,19.940935134887695,466.6320495605469,731.3050537109375,3.7034289836883545,0.0,2.9189168214797974,0.5024642944335938,-17.3257999420166,-120.0,0.6428571343421936,0.6269841194152832,69.74749755859375,0.0,0.0,3.55091173478983e-13,1.1991293645974982e-13,-94.49659729003906,-100.43804931640625,3.450911702663345e-13,0.0,0.0,-110.0,-110.0,-15.503398895263672,-9.561939239501953,0.0801079124212265,731.3050537109375,2.0,2.0,2.0,0.5
11.0,15.0,-958.033447265625,14.638935089111328,502.1775817871094,958.033447265625,3.9855363368988037,0.0,2.634236693382263,0.43693873286247253,-20.87482261657715,-120.0,0.5714285969734192,0.5654761791229248,79.43267059326172,0.0,0.0,1.1052956510118617e-12,2.3743488186851736e-13,-89.56521606445312,-100.498779296875,1.0952956206941589e-12,0.0,0.0,-110.0,-110.0,-20.434785842895508,-9.501213073730469,0.18025997281074524,958.0335083007812,2.0,2.0,2.0,0.5
12.0,10.0,-901.5763549804688,11.562671661376953,539.723388671875,901.5763549804688,4.2835187911987305,0.0,3.240805983543396,0.48698464035987854,-14.706120491027832,-120.0,0.579365074634552,0.5873016119003296,79.43267059326172,0.0,0.0,7.965757502399751e-13,2.0983135205505238e-13,-90.98772430419922,-98.549560546875,7.865757741323809e-13,0.0,0.0,-110.0,-110.0,-19.012269973754883,-11.450444221496582,0.1027752235531807,901.5763549804688,2.0,2.0,2.0,0.5
13.0,-10.0,-644.508056640625,3.6878089904785156,435.116455078125,644.508056640625,3.453305244445801,0.0,3.569693684577942,0.5920894145965576,-17.222299575805664,-120.0,0.7063491940498352,0.704365074634552,74.67501831054688,0.0,0.0,9.749503721706576e-13,2.806742197599549e-13,-90.11017608642578,-97.5694808959961,9.649503418529548e-13,0.0,0.0,-110.0,-110.0,-19.88982582092285,-12.430529594421387,0.05830477178096771,644.508056640625,2.0,2.0,2.0,0.5
14.0,5.0,-815.544677734375,17.757314682006836,494.1002197265625,815.544677734375,3.9214303493499756,0.0,2.9952292442321777,0.48936137557029724,-18.875307083129883,-120.0,0.6269841194152832,0.6170634627342224,42.304443359375,0.0,0.0,5.620611940281017e-13,1.5609284427075404e-13,-92.50215911865234,-99.6126480102539,5.520612179205076e-13,0.0,0.0,-110.0,-110.0,-17.497835159301758,-10.387347221374512,0.0858442634344101,815.544677734375,2.0,2.0,2.0,0.5
15.0,15.0,-788.22119140625,240.581787109375,448.1381530761719,788.22119140625,3.556652069091797,0.0,2.667369246482849,0.4656814932823181,-21.283771514892578,-120.0,0.6111111044883728,0.6111111044883728,79.43267059326172,0.0,0.0,6.911460336336828e-13,2.562365467376204e-13,-91.60430145263672,-96.7519760131836,6.811460575260886e-13,0.0,0.0,-110.0,-110.0,-18.39569664001465,-13.248028755187988,0.8188446164131165,788.2211303710938,2.0,2.0,2.0,0.5
16.0,0.0,-746.9757690429688,17.34314727783203,470.65728759765625,746.9757690429688,3.73537540435791,0.0,3.1767271757125854,0.5143873691558838,-17.881750106811523,-120.0,0.6269841194152832,0.625,48.929832458496094,0.0,0.0,2.1373195910594917e-13,1.2109868771821575e-13,-96.70130157470703,-99.76876068115234,2.0373195589330068e-13,0.0,0.0,-110.0,-110.0,-13.298694610595703,-10.231244087219238,0.06799214333295822,746.9757690429688,2.0,2.0,2.0,0.5
17.0,15.0,-985.3330688476562,10.95043659210205,515.3230590820312,985.3330688476562,4.089865684509277,0.0,3.279074192047119,0.4348033666610718,-22.2471981048584,-120.0,0.5952380895614624,0.591269850730896,70.8869857788086,0.0,0.0,4.4175522072829876e-13,1.6603327057402445e-13,-93.54818725585938,-99.63996124267578,4.3175521751565027e-13,0.0,0.0,-110.0,-110.0,-16.45181655883789,-10.360032081604004,0.09838714450597763,985.3330688476562,2.0,2.0,2.0,0.5
18.0,10.0,-661.4013061523438,5650.67919921875,364.3647155761719,661.4013061523438,2.8917834758758545,0.0,1.2857022881507874,0.4172528386116028,-22.906482696533203,-120.0,0.523809552192688,0.494047611951828,79.43267059326172,0.0,0.0,1.4456942587504074e-12,2.7045772847851535e-13,-88.39923095703125,-97.97920989990234,1.4356942284327046e-12,0.0,0.0,-110.0,-110.0,-21.600765228271484,-12.020800590515137,0.9193985462188721,661.4012451171875,2.0,2.0,2.0,0.5
19.0,-5.0,-659.8057861328125,44.14653015136719,444.24609375,659.8057861328125,3.5257625579833984,0.0,3.791172504425049,0.567511796951294,-15.302613258361816,-120.0,0.658730149269104,0.658730149269104,75.97238159179688,0.0,0.0,4.70324137708672e-13,1.0465316357651314e-13,-93.2760238647461,-101.25518798828125,4.603241616010778e-13,0.0,0.0,-110.0,-110.0,-16.72397232055664,-8.7448148727417,0.06004560366272926,659.8057861328125,2.0,2.0,2.0,0.5
20.0,10.0,-978.47021484375,18.42090606689453,496.09783935546875,978.47021484375,3.937284469604492,0.0,2.2976232767105103,0.43333756923675537,-21.429889678955078,-120.0,0.5714285969734192,0.5634920597076416,72.83970642089844,0.0,0.0,5.909913400672928e-13,2.0538330422221335e-13,-92.28418731689453,-98.3727798461914,5.809913639596986e-13,0.0,0.0,-110.0,-110.0,-17.715810775756836,-11.627213478088379,0.11686582118272781,978.47021484375,2.0,2.0,2.0,0.5
21.0,-10.0,-633.9132690429688,114.05610656738281,431.34490966796875,633.9132690429688,3.423372268676758,0.0,3.615057587623596,0.57659512758255,-14.011284828186035,-120.0,0.682539701461792,0.6845238208770752,79.43267059326172,0.0,0.0,4.822877665809633e-13,2.3313490894738553e-13,-93.16693878173828,-96.82052612304688,4.722877904733691e-13,0.0,0.0,-110.0,-110.0,-16.83306312561035,-13.179471015930176,0.06391791999340057,633.9132690429688,2.0,2.0,2.0,0.5
