algorithm,num_bs_ant,num_ut_per_sector,sweep_value,iteration,batch_index,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
du_pf_cognitive,16,4,5.0,1.0,7.5,136.08626508712769,0.0,4.1204770173143557e-13,0.70669736713171,6.0
du_pf_cognitive,16,4,5.0,2.0,7.5,255.19134140014648,0.0,9.467804043203094e-13,1.092354767024517,6.0
du_pf_cognitive,16,4,5.0,3.0,7.5,280.5156955718994,0.0,9.826151292646485e-13,0.23418286629021168,6.0
du_pf_cognitive,16,4,5.0,4.0,7.5,293.71567153930664,0.0,9.827592044867788e-13,0.15675177611410618,6.0
du_pf_cognitive,16,4,5.0,5.0,7.5,302.2291488647461,0.0,9.873914836797115e-13,0.11816003452986479,6.0
du_pf_cognitive,16,4,5.0,6.0,7.5,308.423921585083,0.0,9.961152166109528e-13,0.0950803617015481,6.0
du_pf_cognitive,16,4,5.0,7.0,7.5,313.2534770965576,0.0,1.0071840466540282e-12,0.07954187272116542,6.0
du_pf_cognitive,16,4,5.0,8.0,7.5,317.2026023864746,0.0,1.0198760205229387e-12,0.06856811977922916,6.0
du_pf_cognitive,16,4,5.0,9.0,7.5,320.5928611755371,0.0,1.03303991541028e-12,0.06123145390301943,6.0
du_pf_cognitive,16,4,5.0,10.0,7.5,323.52695655822754,0.0,1.045879091746962e-12,0.05483291391283274,6.0
du_pf_cognitive,16,4,5.0,11.0,7.5,326.0836124420166,0.0,1.0582973096495175e-12,0.04930229298770428,6.0
du_pf_cognitive,16,4,5.0,12.0,7.5,328.34525871276855,0.0,1.0698129970061147e-12,0.04516183282248676,6.0
du_pf_cognitive,16,6,5.0,1.0,7.5,141.4138069152832,0.0,4.934344253993642e-13,0.706999909132719,6.0
du_pf_cognitive,16,6,5.0,2.0,7.5,273.80548667907715,0.0,9.929381213866781e-13,1.0401656106114388,6.0
du_pf_cognitive,16,6,5.0,3.0,7.5,307.06150817871094,0.0,1.058692011756345e-12,0.25211435090750456,6.0
du_pf_cognitive,16,6,5.0,4.0,7.5,324.9570064544678,0.0,1.0765013792218055e-12,0.1685244021937251,6.0
du_pf_cognitive,16,6,5.0,5.0,7.5,336.23144340515137,0.0,1.0811185321003662e-12,0.1256464454345405,6.0
du_pf_cognitive,16,6,5.0,6.0,7.5,344.08396911621094,0.0,1.0791063291011984e-12,0.0996716064400971,6.0
du_pf_cognitive,16,6,5.0,7.0,7.5,349.9724426269531,0.0,1.076010935286884e-12,0.08228563191369176,6.0
du_pf_cognitive,16,6,5.0,8.0,7.5,354.6362476348877,0.0,1.0730277479270925e-12,0.06986542791128159,6.0
du_pf_cognitive,16,6,5.0,9.0,7.5,358.52738189697266,0.0,1.071698760009114e-12,0.061711962800472975,6.0
du_pf_cognitive,16,6,5.0,10.0,7.5,361.84033393859863,0.0,1.0712481418693066e-12,0.055023985682055354,6.0
du_pf_cognitive,16,6,5.0,11.0,7.5,364.7066307067871,0.0,1.0717281706871086e-12,0.04950159345753491,6.0
du_pf_cognitive,16,6,5.0,12.0,7.5,367.2364311218262,0.0,1.0727614712616618e-12,0.045150757068768144,6.0
du_pf_cognitive,16,8,5.0,1.0,7.5,151.37774467468262,0.0,4.629684875010896e-13,0.7079000882804394,6.0
du_pf_cognitive,16,8,5.0,2.0,7.5,295.15425872802734,0.0,1.0864713974681212e-12,1.0064184963703156,6.0
du_pf_cognitive,16,8,5.0,3.0,7.5,334.1896324157715,0.0,1.1589753238876437e-12,0.2598850131034851,6.0
du_pf_cognitive,16,8,5.0,4.0,7.5,356.0384044647217,0.0,1.1888855615857074e-12,0.17672172375023365,6.0
du_pf_cognitive,16,8,5.0,5.0,7.5,369.99438858032227,0.0,1.2047266091349314e-12,0.13282784447073936,6.0
du_pf_cognitive,16,8,5.0,6.0,7.5,379.59488105773926,0.0,1.2130162325985072e-12,0.10503624333068728,6.0
du_pf_cognitive,16,8,5.0,7.0,7.5,386.6309928894043,0.0,1.217514084274579e-12,0.0857801754027605,6.0
du_pf_cognitive,16,8,5.0,8.0,7.5,392.0681953430176,0.0,1.2188825303753722e-12,0.07221819926053286,6.0
du_pf_cognitive,16,8,5.0,9.0,7.5,396.5254440307617,0.0,1.2198825086737804e-12,0.06345840147696435,6.0
du_pf_cognitive,16,8,5.0,10.0,7.5,400.24372482299805,0.0,1.2209318368057616e-12,0.05613112146966159,6.0
