step,snr_db,loss,grad_norm,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_violation_watt,protection_satisfaction,final_w_delta,final_history_weighted_sum_rate,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
1.0,10.0,-723.1978149414062,6.944575309753418,497.04766845703125,723.1978149414062,3.9448227882385254,0.0,3.5347208976745605,0.5588468909263611,-9.365912437438965,-120.0,0.7142857313156128,0.704365074634552,0.07943267375230789,0.0,0.0,2.4960898402864124e-15,5.909752049366806e-16,2.486089769311128e-15,0.0,0.10774305462837219,723.1978759765625,2.0,2.0,2.0,0.5
2.0,0.0,-723.2113647460938,3.906301498413086,473.6341857910156,723.2113647460938,3.7590014934539795,0.0,3.268666386604309,0.5379042029380798,-8.905105590820312,-120.0,0.6984127163887024,0.6845238208770752,0.07943267375230789,0.0,0.0,1.0507420417283546e-15,3.636526583079689e-16,1.0407420766321888e-15,0.0,0.10366369783878326,723.2113647460938,2.0,2.0,2.0,0.5
3.0,-5.0,-621.6028442382812,2.74308705329895,451.2110595703125,621.6028442382812,3.581040143966675,0.0,3.6569751501083374,0.5745639204978943,-14.916316032409668,-120.0,0.6746031641960144,0.6646825671195984,0.07943267375230789,0.0,0.0,5.688587723432208e-15,1.030807227193843e-15,5.678587652456924e-15,0.0,0.08620963990688324,621.602783203125,2.0,2.0,2.0,0.5
4.0,5.0,-682.9845581054688,4.430239200592041,469.31011962890625,682.9845581054688,3.7246835231781006,0.0,3.6697102785110474,0.554519772529602,-12.66310977935791,-120.0,0.6984127163887024,0.6805555820465088,0.0794326663017273,0.0,0.0,1.5303450137161851e-15,4.418832448878368e-16,1.5203450486200192e-15,0.0,0.09934423118829727,682.9844970703125,2.0,2.0,2.0,0.5
5.0,5.0,-740.218017578125,5.020302772521973,499.02471923828125,740.218017578125,3.9605135917663574,0.0,3.603465437889099,0.5291052460670471,-9.674271583557129,-120.0,0.658730149269104,0.6567460298538208,0.07943267375230789,0.0,0.0,9.109127840044307e-16,2.484333340615878e-16,9.009128189082648e-16,0.0,0.11507776379585266,740.218017578125,2.0,2.0,2.0,0.5
6.0,5.0,-694.6495361328125,4.896551132202148,489.35821533203125,694.6495361328125,3.8837952613830566,0.0,3.5498355627059937,0.5489996671676636,-9.89015007019043,-120.0,0.6904761791229248,0.6785714030265808,0.0794326588511467,0.0,0.0,9.041668018542606e-16,3.243239656548861e-16,8.941668367580947e-16,0.0,0.11081859469413757,694.6495361328125,2.0,2.0,2.0,0.5
7.0,0.0,-710.3539428710938,3.0303356647491455,492.1995544433594,710.3539428710938,3.9063456058502197,0.0,3.343744993209839,0.5747719407081604,-8.24581241607666,-120.0,0.7222222089767456,0.7083333134651184,0.07943267375230789,0.0,0.0,1.029733824691435e-15,6.079181402828123e-16,1.0197338595952692e-15,0.0,0.08596770465373993,710.3539428710938,2.0,2.0,2.0,0.5
8.0,-5.0,-629.1221313476562,2.3171396255493164,472.93719482421875,629.1221313476562,3.753469705581665,0.0,3.5566223859786987,0.5780814290046692,-10.368083000183105,-120.0,0.6904761791229248,0.6805555820465088,0.0794326663017273,0.0,0.0,5.594500150684148e-15,7.607219839949816e-16,5.584500079708864e-15,0.0,0.0929265171289444,629.1220703125,2.0,2.0,2.0,0.5
9.0,10.0,-767.5640258789062,7.414439678192139,469.86181640625,767.5640258789062,3.729062080383301,0.0,2.471776604652405,0.46574321389198303,-12.397014617919922,-120.0,0.6428571343421936,0.613095223903656,0.07943267375230789,0.0,0.0,9.283484278280684e-16,4.0785470208352015e-16,9.183484627319025e-16,0.0,0.13370047509670258,767.5640258789062,2.0,2.0,2.0,0.5
10.0,0.0,-664.626708984375,3.1487655639648438,467.32183837890625,664.626708984375,3.7089035511016846,0.0,3.485841751098633,0.5398388504981995,-9.868558883666992,-120.0,0.6746031641960144,0.6646825671195984,0.07943267375230789,0.0,0.0,1.2258310575849886e-15,3.308179025636888e-16,1.2158310924888227e-15,0.0,0.10746238380670547,664.6267700195312,2.0,2.0,2.0,0.5
11.0,10.0,-760.5125122070312,6.119527339935303,481.32452392578125,760.5125122070312,3.820035934448242,0.0,3.5176568031311035,0.5229880213737488,-9.881667137145996,-120.0,0.6904761791229248,0.6527777910232544,0.07943267375230789,0.0,0.0,2.0665651502061507e-15,3.913003960415005e-16,2.0565650792308664e-15,0.0,0.12342754006385803,760.512451171875,2.0,2.0,2.0,0.5
12.0,10.0,-765.9703369140625,6.772794723510742,536.16650390625,765.9703369140625,4.255289554595947,1.0748914647251695e-08,4.030365467071533,0.5509613156318665,-3.3920137882232666,-120.0,0.658730149269104,0.6686508059501648,0.0794326663017273,0.0,0.0,1.2223619282703902e-15,4.130406877728642e-16,1.2123619631742243e-15,0.0,0.1205478236079216,765.9703369140625,2.0,2.0,2.0,0.5
13.0,-5.0,-673.3564453125,2.258331298828125,461.69219970703125,673.3564453125,3.6642239093780518,0.0,3.722598433494568,0.593103289604187,-12.246463775634766,-120.0,0.7142857313156128,0.692460298538208,0.0794326663017273,0.0,0.0,2.349015274489912e-15,6.424576027730009e-16,2.3390152035146277e-15,0.0,0.07215456664562225,673.3565063476562,2.0,2.0,2.0,0.5
14.0,5.0,-715.7392578125,4.148707866668701,496.8253173828125,715.7392578125,3.9430580139160156,0.0,3.688694715499878,0.5636998414993286,-9.05769157409668,-120.0,0.682539701461792,0.6666666865348816,0.0794326663017273,0.0,0.0,2.5630789232276765e-15,5.302422014647184e-16,2.5530788522523922e-15,0.0,0.10867463052272797,715.7392578125,2.0,2.0,2.0,0.5
15.0,10.0,-708.5977172851562,6.642307281494141,489.16497802734375,708.5977172851562,3.8822617530822754,0.0,4.046449303627014,0.5715287327766418,-10.032227516174316,-120.0,0.6984127163887024,0.6884920597076416,0.07943267375230789,0.0,0.0,2.101619396970033e-15,6.197771838795238e-16,2.091619325994749e-15,0.0,0.09757852554321289,708.5977783203125,2.0,2.0,2.0,0.5
16.0,0.0,-672.6344604492188,2.7044613361358643,481.74542236328125,672.6344604492188,3.823376417160034,0.0,3.4915413856506348,0.558542788028717,-9.15296459197998,-120.0,0.6746031641960144,0.6726190447807312,0.07943267375230789,0.0,0.0,5.323705835029316e-16,3.0344690637589293e-16,5.223705654672066e-16,0.0,0.09735600650310516,672.6343994140625,2.0,2.0,2.0,0.5
