sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
363.02606201171875,368.10052490234375,2.8811593055725098,0.0,2.5184937715530396,0.5280980467796326,-35.307411193847656,-120.0,0.6190476417541504,0.5798611044883728,56.02626037597656,0.0,2.725499569904059,4.22633933058747e-12,9.420893969450117e-13,-83.74034881591797,-93.5526123046875,4.216339517110201e-12,0.0,0.0,-110.0,-110.0,-26.2596435546875,-16.4473819732666,0.027709366753697395,368.10052490234375,pf_fs_soft,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,81.203935510615,2.004703936126007,1.08665515774405,0.9019282842539729,6.0,,,,
362.4343566894531,364.67889404296875,2.8764631748199463,0.0,2.525288462638855,0.5283361673355103,-35.243011474609375,-120.0,0.6190476417541504,0.5858134627342224,51.688392639160156,0.0,2.691248673480004,1.185899143642255e-12,2.7691415241566653e-13,-89.259521484375,-98.16143035888672,1.1758991133245522e-12,0.0,0.0,-110.0,-110.0,-20.740476608276367,-11.838574409484863,0.02696983329951763,364.6789245605469,pf_fs_cognitive,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,81.25790827798072,2.00660478121116,1.094997585646703,0.9005248412363333,6.0,8.0,8.0,8.0,0.5
354.26861572265625,349.29498291015625,2.8116557598114014,0.0,2.514530658721924,0.5482019186019897,-28.00303840637207,-120.0,0.6428571343421936,0.6026785969734192,61.790157318115234,0.0,1.6513290768489242,6.719272707678137e-12,1.3074533860082949e-12,-81.72677612304688,-92.67308807373047,6.709272894200868e-12,0.0,0.0,-110.0,-110.0,-28.273221969604492,-17.3269100189209,0.049160514026880264,349.29498291015625,du_pf_soft,5.0,0.0,12.0,0.0,pf,budget_dual,1.0,78.44038533297821,1.964634078539625,1.0836485548510317,0.8974979337719918,6.0,,,,
353.45599365234375,347.85028076171875,2.805206298828125,0.0,2.4465056657791138,0.5449970960617065,-27.313133239746094,-120.0,0.6269841194152832,0.5967261791229248,56.66259002685547,0.0,1.6477105193771422,1.4637861235622385e-12,3.185008680406387e-13,-88.34522247314453,-97.5635986328125,1.4537860932445357e-12,0.0,0.0,-110.0,-110.0,-21.654775619506836,-12.436393737792969,0.04557522386312485,347.8502502441406,du_pf_cognitive,5.0,0.0,12.0,0.0,pf,budget_dual,1.0,78.56116649669897,1.9668392407279385,1.0965452641735078,0.8971972281632343,6.0,8.0,8.0,8.0,0.5
368.84429931640625,385.67913818359375,2.927335739135742,0.0,2.4695271253585815,0.5181697607040405,-36.024715423583984,-120.0,0.6111111044883728,0.576884925365448,60.58903884887695,0.0,2.696501163300127,1.798870774560868e-11,2.407266877155201e-12,-77.44999694824219,-89.79627227783203,1.7978707064769672e-11,0.0,0.0,-110.0,-110.0,-32.54999923706055,-20.203725814819336,0.02859394997358322,385.67913818359375,pf_fs_soft,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,83.28355695558443,2.0510352269587555,1.1684247289691072,0.8848790005416304,6.0,,,,
369.2437744140625,385.60784912109375,2.9305062294006348,0.0,2.211645483970642,0.5167516469955444,-36.29461669921875,-120.0,0.6190476417541504,0.576884925365448,60.78053665161133,0.0,2.706780220847577,2.8851615107433615e-12,6.008504783126811e-13,-85.3982925415039,-94.26538848876953,2.8751614804256587e-12,0.0,0.0,-110.0,-110.0,-24.601701736450195,-15.734607696533203,0.027978483587503433,385.60784912109375,pf_fs_cognitive,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,83.33336710162104,2.0530195338582136,1.1675976149403702,0.8842551836965888,6.0,8.0,8.0,8.0,0.5
359.06158447265625,367.7265625,2.8496952056884766,0.0,2.38762629032135,0.5257004499435425,-29.815715789794922,-120.0,0.60317462682724,0.586309552192688,63.35942459106445,0.0,1.6565379174426198,2.1018234028225002e-11,2.7829880327318035e-12,-76.77403259277344,-89.1962661743164,2.1008233347385996e-11,0.0,0.0,-110.0,-110.0,-33.22595977783203,-20.80373191833496,0.05046476423740387,367.7265625,du_pf_soft,5.0,1.0,12.0,0.0,pf,budget_dual,1.0,80.56012897467254,2.014319402682565,1.1166862515551597,0.87875569966732,6.0,,,,
360.244873046875,364.935791015625,2.859086275100708,0.0,2.4305882453918457,0.5342405438423157,-29.165843963623047,-120.0,0.6269841194152832,0.591269850730896,54.87123489379883,0.0,1.6525680357590318,4.461939498434653e-12,7.354644779473951e-13,-83.5047607421875,-94.11312103271484,4.4519396849573845e-12,0.0,0.0,-110.0,-110.0,-26.495237350463867,-15.886882781982422,0.049474600702524185,364.9358215332031,du_pf_cognitive,5.0,1.0,12.0,0.0,pf,budget_dual,1.0,80.68376599966282,2.0158659486034636,1.1406232475763733,0.8787997866100693,6.0,8.0,8.0,8.0,0.5
413.2960205078125,390.9925842285156,3.2801270484924316,0.0,3.0675785541534424,0.5508451461791992,-32.20090866088867,-120.0,0.6507936716079712,0.620039701461792,46.32115936279297,0.0,2.7129205339588225,3.308948167551895e-12,1.0700502983684856e-12,-84.8031005859375,-92.1219711303711,3.2989481372341922e-12,0.0,0.0,-110.0,-110.0,-25.1968994140625,-17.878034591674805,0.023857461288571358,390.9925842285156,pf_fs_soft,5.0,2.0,20.0,0.0,pf,budget_dual,0.0,81.99056365723285,2.0227219169313777,1.030212427873373,0.9073796991158897,6.0,,,,
410.92626953125,393.41265869140625,3.261319637298584,0.0,3.075227975845337,0.5411313772201538,-33.052120208740234,-120.0,0.6349206566810608,0.6111111044883728,47.35956954956055,0.0,2.703062074724585,6.075667855105771e-13,2.9830101604989834e-13,-92.1640625,-96.59210968017578,5.975668094029829e-13,0.0,0.0,-110.0,-110.0,-17.835939407348633,-13.407886505126953,0.02607109397649765,393.41265869140625,pf_fs_cognitive,5.0,2.0,20.0,0.0,pf,budget_dual,0.0,81.79705121978172,2.018554989376866,1.0215087601554393,0.9077941699560187,6.0,8.0,8.0,8.0,0.5
