algorithm,tau_rms_ns,batch_index,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,rate_gap_bps_per_hz,fairness_gap,coverage_gap,protection_gap
pf_fs_soft,20.0,0.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,5.404541015625,-0.0037693771185073333,-0.02380955219268799,0.0
pf_fs_cognitive,20.0,0.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,3.86822509765625,-0.003778421275864252,-0.0317460298538208,0.0
du_pf_soft,20.0,0.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,6.466796875,-0.006426635816145221,-0.0158730149269104,0.0
du_pf_cognitive,20.0,0.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,4.04345703125,-0.007582709416658506,-0.02380955219268799,0.0
pf_fs_soft,20.0,1.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-1.9783935546875,-0.004188013468726437,-0.03968256711959839,0.0
pf_fs_cognitive,20.0,1.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-2.89501953125,-0.005261138404886068,-0.055555522441864014,0.0
du_pf_soft,20.0,1.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-1.782318115234375,-0.005881299278816088,-0.07142853736877441,0.0
du_pf_cognitive,20.0,1.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,1.33868408203125,-0.005560306298549422,-0.0476190447807312,0.0
pf_fs_soft,20.0,2.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-5.685302734375,-0.0016369811592655825,-0.02380955219268799,0.0
pf_fs_cognitive,20.0,2.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,6.32635498046875,-0.0005221529149753712,-0.03968256711959839,0.0
du_pf_soft,20.0,2.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,2.583984375,-0.0030553820201221216,-0.02380955219268799,0.0
du_pf_cognitive,20.0,2.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-4.660980224609375,-0.0050089056034337,-0.0158730149269104,0.0
pf_fs_soft,20.0,3.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-4.163787841796875,-0.0037375307545782777,-0.0317460298538208,0.0
pf_fs_cognitive,20.0,3.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-5.08502197265625,-0.0043507481502422785,-0.0158730149269104,0.0
du_pf_soft,20.0,3.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,1.78289794921875,-0.002588766391521169,-0.03968256711959839,0.0
du_pf_cognitive,20.0,3.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-5.881317138671875,-0.005556717546541523,-0.0476190447807312,0.0
pf_fs_soft,50.0,0.0,3999999.9999999995,399999.99999999994,1023750.0,0.25593750000000004,2.559375,1.0,0.0,-0.13397216796875,-0.009708797512186562,-0.03968250751495361,0.0
