algorithm,tau_rms_ns,channel_modeling,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_violation_watt,protection_satisfaction,final_w_delta,final_history_weighted_sum_rate,sweep_value,batch_index,num_iterations_or_layers,converged,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
du_pf_cognitive,20.0,flat,499.7425537109375,480.26072692871094,3.9662107825279236,1.1638600676100452e-05,4.398941099643707,0.716341570019722,-4.451639741659164,-120.0,0.8035714328289032,0.7832341194152832,0.07861164771020412,0.0,1.1027519311464857,1.6656358953785001e-15,3.911617605708366e-16,1.6556359038125547e-15,0.0,0.07541677355766296,480.26072692871094,5.0,1.5,8.0,0.0,1.0,107.30238450818689,2.428456338762065,1.5725991505653925,0.9243789396990982,6.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,20.0,selective,498.28783416748047,481.55076599121094,3.9546653032302856,0.00018612472733137153,4.286800861358643,0.7337838262319565,-6.711334645748138,-120.0,0.8373015969991684,0.7705853134393692,0.07937358692288399,0.0,1.1035268330015242,1.9101374877873907e-15,4.046608584767794e-16,1.9001374697516656e-15,0.0,0.07550353929400444,481.55076599121094,5.0,1.5,8.0,0.0,1.0,107.68060131987917,2.4280893211572705,1.6089506560896227,0.9303060994153941,6.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,50.0,flat,525.9813232421875,513.8113174438477,4.1744548082351685,0.005114115684483167,4.491557002067566,0.7334384918212891,-0.573737382888794,-120.0,0.8253968209028244,0.8055555671453476,0.07943266071379185,0.0,1.1354355431976728,1.8973847185522075e-15,4.248382553064507e-16,1.8873847005164825e-15,0.0,0.07825039699673653,513.8113250732422,5.0,1.5,8.0,0.0,1.0,108.67991079433207,2.448610418807795,1.6759182084858735,0.9277905949636762,6.0,3999999.9999999995,399999.99999999994,1023750.0,0.25593750000000004,2.559375,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,50.0,selective,527.6486358642578,513.9156188964844,4.187687516212463,0.21299301224644296,4.383926868438721,0.7698307633399963,-4.775672078132629,-120.0,0.888888880610466,0.787946417927742,0.07785444520413876,0.0,1.1012175289797597,1.7559183049599186e-15,3.9788103471338857e-16,1.7459183133939732e-15,0.0,0.0761584434658289,513.9156036376953,5.0,1.5,8.0,0.0,1.0,109.38592805193645,2.4499596935364414,1.7207833805960688,0.9387144112373191,6.0,3999999.9999999995,399999.99999999994,1023750.0,0.25593750000000004,2.559375,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,100.0,flat,519.2549209594727,505.71253967285156,4.121070861816406,1.8582018750379348e-06,4.52886426448822,0.735221192240715,-1.302498523145914,-120.0,0.8194444477558136,0.8043154776096344,0.07854817807674408,0.0,1.0898290355398785,1.5354001328151784e-15,3.8135013457398173e-16,1.525400141249233e-15,0.0,0.07653283141553402,505.7125473022461,5.0,1.5,8.0,0.0,1.0,108.81464209941137,2.4468468621157933,1.640542671344811,0.9346587841421005,6.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,100.0,selective,519.042610168457,505.7596435546875,4.119385838508606,0.32994556133053266,4.2650551199913025,0.7861643582582474,-7.852611660957336,-120.0,0.908730149269104,0.76016865670681,0.07681290805339813,0.0,1.0876671262376476,1.7181145363096896e-15,3.9148673667245155e-16,1.708114544743744e-15,0.0,0.07634039781987667,505.75962829589844,5.0,1.5,8.0,0.0,1.0,109.72950967829857,2.449834823117341,1.709131846742456,0.9465748847506148,6.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,200.0,flat,512.7694244384766,499.0478515625,4.06959855556488,5.911901634902961e-08,4.655808806419373,0.7107327431440353,-3.7360562682151794,-120.0,0.7876984179019928,0.7708333283662796,0.07923595979809761,0.0,1.1565133997937664,1.79790601932289e-15,3.966409850960532e-16,1.787906001287165e-15,0.0,0.07804545015096664,499.0478286743164,5.0,1.5,8.0,0.0,1.0,107.96973806415247,2.4348848276693467,1.5923553171206066,0.9298886114605355,6.0,999999.9999999999,99999.99999999999,1023750.0,1.0237500000000002,10.2375,0.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,200.0,selective,509.4610824584961,499.56595611572266,4.0433419942855835,0.300584786105901,4.164442956447601,0.7722052484750748,-10.322977304458618,-120.0,0.894841268658638,0.7437996119260788,0.07890349440276623,0.0,1.0809352362994105,1.5051093346488581e-15,3.696111645149885e-16,1.4951093430829127e-15,0.0,0.0774295013397932,499.56597900390625,5.0,1.5,8.0,0.0,1.0,109.05691989093752,2.4364733064981894,1.721456832128526,0.9450394167781815,6.0,999999.9999999999,99999.99999999999,1023750.0,1.0237500000000002,10.2375,0.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,400.0,flat,506.3081588745117,497.5201721191406,4.018318772315979,2.70064198559794e-07,4.400532126426697,0.715859517455101,-5.145220577716827,-120.0,0.8015872985124588,0.7859622985124588,0.078909020870924,0.0,1.0776204183639493,1.5967879456949273e-15,3.9736883786065084e-16,1.5867879541289819e-15,0.0,0.07737717777490616,497.5201721191406,5.0,1.5,8.0,0.0,1.0,108.44775118497932,2.4415535651674407,1.6330046211637328,0.932720058819247,6.0,499999.99999999994,49999.99999999999,1023750.0,2.0475000000000003,20.475,0.0,0.0,4.0,4.0,4.0,0.5
du_pf_cognitive,400.0,selective,505.1617202758789,495.6214599609375,4.009219944477081,0.37854836601763964,4.18769708275795,0.7710034549236298,-11.085009336471558,-120.0,0.8849206119775772,0.7338789701461792,0.07778400368988514,0.0,1.0767130072053988,1.7136275380902875e-15,3.8910039339712997e-16,1.7036275200545624e-15,0.0,0.07966568320989609,495.62144470214844,5.0,1.5,8.0,0.0,1.0,109.37079933719035,2.4413857049499494,1.7221492385292503,0.9475721897129961,6.0,499999.99999999994,49999.99999999999,1023750.0,2.0475000000000003,20.475,0.0,0.0,4.0,4.0,4.0,0.5
