sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_violation_watt,protection_satisfaction,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,tau_rms_ns,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,channel_modeling,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
541.53857421875,540.5892333984375,4.297924995422363,0.0,5.039256572723389,0.6897668242454529,-12.635274887084961,-120.0,0.7857142686843872,0.7559523582458496,0.07943267375230789,0.0,6.206418207031675,8.240127093302966e-15,1.3106448901100353e-15,8.230127022327682e-15,0.0,0.030167674645781517,540.5892333984375,pf_fs_soft,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,114.70911787820232,2.5606121612943245,1.6330992540145517,0.9378361507700045,6.0,20.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,flat,,,,
535.4459228515625,535.1846923828125,4.249570846557617,0.0,4.778783798217773,0.7005234956741333,-14.947762489318848,-120.0,0.8095238208770752,0.7341269850730896,0.0794326588511467,0.0,2.661636982113123,8.293198789646131e-15,1.2793902213892989e-15,8.283198718670847e-15,0.0,0.03171265125274658,535.1846313476562,pf_fs_soft,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,114.80602395038473,2.5577492435008615,1.7419277269147635,0.9416055278885118,6.0,20.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,selective,,,,
538.1373901367188,540.52587890625,4.270931720733643,0.0,4.8519127368927,0.6785247325897217,-12.417160987854004,-120.0,0.7698412537574768,0.7579365372657776,0.0794326588511467,0.0,2.6478765280917287,1.837308059735249e-15,4.4202477879936707e-16,1.8273079887599648e-15,0.0,0.0314641073346138,540.5258178710938,pf_fs_cognitive,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,114.64963847758283,2.5614947985712995,1.696428627935171,0.9353337314346287,6.0,20.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,flat,4.0,4.0,4.0,0.5
537.5228271484375,536.6576538085938,4.266054153442383,0.0,4.635937690734863,0.6952253580093384,-15.390620231628418,-120.0,0.8015872836112976,0.7361111044883728,0.0794326663017273,0.0,2.652152917929925,1.3754091351362175e-15,3.862429211321227e-16,1.3654091700400516e-15,0.0,0.031174378469586372,536.6576538085938,pf_fs_cognitive,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,114.7677848209462,2.559050629028833,1.65777949124696,0.939112152710493,6.0,20.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,selective,4.0,4.0,4.0,0.5
500.7568054199219,489.1455993652344,3.9742603302001953,0.0,4.429550886154175,0.7144496440887451,-6.5799384117126465,-120.0,0.8095238208770752,0.7857142686843872,0.0794326663017273,0.0,1.312059459858574,7.81225009406335e-15,1.2874236936192955e-15,7.802250023088066e-15,0.0,0.07774055004119873,489.1455993652344,du_pf_soft,5.0,0.0,8.0,0.0,pf,budget_dual,1.0,107.60237484206714,2.436099602517552,1.528498461144447,0.9227898345555429,6.0,20.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,flat,,,,
496.12506103515625,482.6788024902344,3.937500476837158,2.41850464988147e-07,4.463166952133179,0.7309472560882568,-7.407368183135986,-120.0,0.8253968358039856,0.7609127163887024,0.0794326588511467,0.0,1.1009184010326862,6.132431293727567e-15,1.0839526154034196e-15,6.122431222752283e-15,0.0,0.07666574418544769,482.6788024902344,du_pf_soft,5.0,0.0,8.0,0.0,pf,budget_dual,1.0,107.66647299844257,2.4307688915665095,1.590426191408254,0.9292164703716881,6.0,20.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,selective,,,,
504.2515869140625,489.41534423828125,4.0019965171813965,0.0,4.538134813308716,0.7112312316894531,-6.036596298217773,-120.0,0.8015872836112976,0.783730149269104,0.0794326663017273,0.0,1.1012059428030625,2.139844299813725e-15,4.371570657399538e-16,2.129844228838441e-15,0.0,0.079765185713768,489.41534423828125,du_pf_cognitive,5.0,0.0,8.0,0.0,pf,budget_dual,1.0,107.68973968317742,2.43989946224494,1.5055680208973217,0.922031077271422,6.0,20.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,flat,4.0,4.0,4.0,0.5
497.7999267578125,485.37188720703125,3.9507930278778076,2.149782929450339e-08,4.3884971141815186,0.7335958480834961,-8.153827667236328,-120.0,0.8253968358039856,0.7708333134651184,0.0794326663017273,0.0,1.0998044810257852,2.4379687687864273e-15,4.388492787498903e-16,2.427968697811143e-15,0.0,0.07522034645080566,485.37188720703125,du_pf_cognitive,5.0,0.0,8.0,0.0,pf,budget_dual,1.0,107.75372451354735,2.4318863478971,1.615194736868077,0.9296137866880805,6.0,20.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,selective,4.0,4.0,4.0,0.5
554.287841796875,536.3795166015625,4.399109840393066,0.0,5.105550527572632,0.7403528690338135,-7.411657810211182,-120.0,0.8333333134651184,0.7916666865348816,0.07943267375230789,0.0,2.628259772900492,5.7903019808373465e-15,1.1443580288830312e-15,5.780301909862062e-15,0.0,0.028674785047769547,536.3794555664062,pf_fs_soft,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,115.49236506654337,2.579893375241614,1.7527719810014066,0.9344293634624423,6.0,20.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,flat,,,,
553.1651000976562,538.35791015625,4.390199184417725,0.0,4.723524808883667,0.757902204990387,-8.364195823669434,-120.0,0.8730158805847168,0.79067462682724,0.07943267375230789,0.0,2.630993625964038,6.728240198056873e-15,1.1530764331300013e-15,6.718240127081589e-15,0.0,0.029418308287858963,538.35791015625,pf_fs_soft,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,115.88048971830037,2.581133569734371,1.7997134526451228,0.9386173769311688,6.0,20.0,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,selective,,,,
