algorithm,sweep_value,iteration,batch_index,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
du_pf_cognitive,15.0,1.0,31.5,251.16731572151184,0.0,1.667741433996917e-16,0.6348056327551603,8.0
du_pf_cognitive,15.0,2.0,31.5,288.79530143737793,0.0,2.926688356385556e-16,0.5632544392719865,8.0
du_pf_cognitive,15.0,3.0,31.5,263.433438539505,0.0,5.290667976666152e-16,0.4576215259730816,8.0
du_pf_cognitive,15.0,4.0,31.5,260.71583247184753,0.0,5.752844886890561e-16,0.2987727466970682,8.0
du_pf_cognitive,15.0,5.0,31.5,262.1664116382599,0.0,4.41405544775365e-16,0.25985653745010495,8.0
du_pf_cognitive,15.0,6.0,31.5,262.54535007476807,0.0,3.0401684043538686e-16,0.23584976862184703,8.0
du_pf_cognitive,15.0,7.0,31.5,262.2492640018463,0.0,2.4935952488474097e-16,0.21737429057247937,8.0
du_pf_cognitive,15.0,8.0,31.5,263.4691195487976,0.0,2.4635515196038917e-16,0.20613760268315673,8.0
du_pf_cognitive,15.0,9.0,31.5,265.1055645942688,0.0,2.5287367929444185e-16,0.1962009621784091,8.0
du_pf_cognitive,15.0,10.0,31.5,266.8856782913208,0.0,2.573480117243045e-16,0.18745328555814922,8.0
du_pf_cognitive,15.0,11.0,31.5,268.69769501686096,0.0,2.546967456598393e-16,0.18079523113556206,8.0
du_pf_cognitive,15.0,12.0,31.5,271.01458191871643,0.0,2.508839724315619e-16,0.17714243452064693,8.0
du_pf_cognitive,15.0,13.0,31.5,273.56386280059814,0.0,2.2541296378868604e-16,0.17273521097376943,8.0
du_pf_cognitive,15.0,14.0,31.5,276.23929619789124,0.0,2.1627212832905245e-16,0.16981814615428448,8.0
du_pf_cognitive,15.0,15.0,31.5,279.4858636856079,0.0,2.302014660326412e-16,0.16809547774028033,8.0
du_pf_cognitive,15.0,16.0,31.5,283.1157536506653,0.0,2.319188915076483e-16,0.16425245651043952,8.0
du_pf_cognitive,15.0,17.0,31.5,286.9821741580963,0.0,2.1987594911715408e-16,0.15949800587259233,8.0
du_pf_cognitive,15.0,18.0,31.5,291.0377585887909,0.0,2.12418287237723e-16,0.15889577905181795,8.0
du_pf_cognitive,15.0,19.0,31.5,295.4587903022766,0.0,1.942829941996532e-16,0.1572631993331015,8.0
du_pf_cognitive,15.0,20.0,31.5,303.75441813468933,0.0,1.3746401086294494e-16,0.11453763151075691,8.0
du_pf_cognitive,15.0,21.0,31.5,307.6286482810974,0.0,1.1661647862309748e-16,0.10818696476053447,8.0
du_pf_cognitive,15.0,22.0,31.5,311.6853461265564,0.0,1.0005466839856076e-16,0.10475595493335277,8.0
du_pf_cognitive,15.0,23.0,31.5,315.7653169631958,0.0,9.370125954966346e-17,0.10200814122799784,8.0
du_pf_cognitive,15.0,24.0,31.5,319.93430757522583,0.0,8.931680525643839e-17,0.09960911108646542,8.0
du_pf_cognitive,15.0,25.0,31.5,324.22668170928955,0.0,9.558240061150706e-17,0.097435645875521,8.0
du_pf_cognitive,15.0,26.0,31.5,328.5555591583252,0.0,9.504000835768868e-17,0.09535178611986339,8.0
du_pf_cognitive,15.0,27.0,31.5,332.89720726013184,0.0,9.566660098042005e-17,0.09344587731175125,8.0
du_pf_cognitive,15.0,28.0,31.5,337.2708315849304,0.0,9.857707236163483e-17,0.09174731158418581,8.0
du_pf_cognitive,15.0,29.0,31.5,341.6754288673401,0.0,9.332994148141086e-17,0.08993628824828193,8.0
du_pf_cognitive,15.0,30.0,31.5,346.1044442653656,0.0,8.809730280551881e-17,0.08804456290090457,8.0
du_pf_cognitive,15.0,31.0,31.5,350.607572555542,0.0,7.202473351736026e-17,0.08587201661430299,8.0
du_pf_cognitive,15.0,32.0,31.5,355.17322993278503,0.0,6.442486274701905e-17,0.08371525112306699,8.0
du_pf_cognitive,15.0,33.0,31.5,359.72862219810486,0.0,5.52424300287414e-17,0.08165311568882316,8.0
du_pf_cognitive,15.0,34.0,31.5,364.21491050720215,0.0,5.3864029490872836e-17,0.07984394929371774,8.0
du_pf_cognitive,15.0,35.0,31.5,368.59853196144104,0.0,5.898448924081289e-17,0.07796422962564975,8.0
du_pf_cognitive,15.0,36.0,31.5,372.8924593925476,0.0,6.003162048696622e-17,0.07604759326204658,8.0
du_pf_cognitive,15.0,37.0,31.5,377.14925599098206,0.0,5.798540064463664e-17,0.07429597212467343,8.0
du_pf_cognitive,15.0,38.0,31.5,381.4224121570587,0.0,5.472277531560089e-17,0.07270092965336516,8.0
du_pf_cognitive,15.0,39.0,31.5,385.73163175582886,0.0,5.446697136553009e-17,0.07117679575458169,8.0
