sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots
458.1990966796875,464.11376953125,3.636500835418701,0.0,4.080846786499023,0.7449079751968384,-9.958191871643066,-120.0,12.019974708557129,15.712615013122559,0.8095238208770752,0.8095238208770752,9.459044456481934,0.0,88.43979909294285,1.0035836941482083e-14,8.158612030591001e-15,-109.98446655273438,-111.18307495117188,3.583711696538219e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.01553604006767273,1.1830759048461914,0.03493725135922432,464.11376953125,du_pf_cognitive,15.0,0.0,56.0,0.0,pf,budget_dual,1.0,8.0,8.0,8.0,0.5,110.47810939752276,2.446953575423399,1.7834087582527802,0.9661562323789329,8.0
484.89324951171875,488.7406921386719,3.8483591079711914,0.0,4.410050392150879,0.7299730777740479,-12.467823028564453,-120.0,13.066297054290771,16.669527053833008,0.7936508059501648,0.7936508059501648,5.016879558563232,0.0,87.89458957593888,1.0082173878861629e-14,7.526727993038135e-15,-109.96446228027344,-111.63604736328125,8.217405434492869e-17,0.9166666865348816,0.9166666865348816,-110.0,-110.0,-0.03554202988743782,1.6360372304916382,0.032691169530153275,488.7406921386719,pf_fs_cognitive,15.0,0.0,56.0,0.0,pf,budget_dual,0.0,8.0,8.0,8.0,0.5,115.25022404082543,2.5420199780948756,1.7785914627726993,0.9655356917527891,8.0
391.7996520996094,445.9975891113281,3.1095211505889893,0.0,3.6150771379470825,0.7176266312599182,-12.243406295776367,-120.0,10.512845516204834,14.047850847244263,0.7698412537574768,0.7698412537574768,5.3083271980285645,0.0,10.973126170923933,1.001372175826222e-14,8.400883782296465e-15,-109.9940414428711,-110.9326171875,1.3721933745519665e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.005955264903604984,0.9326114058494568,0.07448940724134445,445.99761962890625,edge_fs_soft,15.0,0.0,56.0,0.0,edge_boost,budget_dual,0.0,,,,,,,,,
516.7357788085938,514.9794921875,4.101077556610107,0.0,4.610836505889893,0.7121152281761169,-9.217754364013672,-120.0,13.698467254638672,18.005674362182617,0.7936508059501648,0.7936508059501648,7.737849235534668,0.0,88.23503354890272,1.0062644687229734e-14,8.294433763683228e-15,-109.9728775024414,-111.04375457763672,6.264486271303354e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.027121366932988167,1.0437506437301636,0.03394186869263649,514.9794921875,du_pf_cognitive,15.0,1.0,56.0,0.0,pf,budget_dual,1.0,8.0,8.0,8.0,0.5,119.72171459010794,2.643301386037773,1.908748287530653,0.9577832454966122,8.0
556.4576416015625,559.68359375,4.416330337524414,0.0,4.928009748458862,0.7046275734901428,-10.160747528076172,-120.0,14.68972635269165,18.888233184814453,0.7936508059501648,0.7936508059501648,7.388844966888428,0.0,88.0111881645862,1.0000203959456989e-14,8.155964205597884e-15,-109.99990844726562,-111.1369857788086,2.0413494028828638e-19,1.0,0.9166666865348816,-110.0,-110.0,-8.853090548655018e-05,1.136989951133728,0.02747165597975254,559.68359375,pf_fs_cognitive,15.0,1.0,56.0,0.0,pf,budget_dual,0.0,8.0,8.0,8.0,0.5,125.13461212216151,2.7568665260108784,1.9330593580504714,0.9596096248480395,8.0
429.08758544921875,529.9608154296875,3.405457019805908,0.0,3.9411410093307495,0.6893273591995239,-14.64611530303955,-120.0,11.5716552734375,14.05033016204834,0.7698412537574768,0.7698412537574768,7.2048020362854,0.0,10.972704956075177,9.999437394639724e-15,8.2697164952494e-15,-110.000244140625,-110.977783203125,0.0,1.0,1.0,-110.0,-110.0,0.00024435666273348033,0.9777901768684387,0.03725290670990944,529.9608154296875,edge_fs_soft,15.0,1.0,56.0,0.0,edge_boost,budget_dual,0.0,,,,,,,,,
427.0685729980469,429.5567626953125,3.3894331455230713,0.0,3.5643703937530518,0.7771335244178772,-6.909801959991455,-120.0,10.346199035644531,13.641420364379883,0.8571428656578064,0.8571428656578064,12.887906074523926,0.0,88.3111761258915,1.0003703052562096e-14,8.767705799665043e-15,-109.9983901977539,-110.6314697265625,3.703228045395801e-18,0.9166666865348816,0.9166666865348816,-110.0,-110.0,-0.0016080751083791256,0.6314680576324463,0.05290163308382034,429.5567626953125,du_pf_cognitive,15.0,2.0,56.0,0.0,pf,budget_dual,1.0,8.0,8.0,8.0,0.5,110.21965876831698,2.433775627235101,1.8011480151749995,0.9732877600878134,8.0
449.218505859375,452.54180908203125,3.5652263164520264,0.0,3.900079369544983,0.752012312412262,-4.972278118133545,-120.0,11.439302921295166,14.88772201538086,0.8253968358039856,0.8253968358039856,9.439391136169434,0.0,87.99519113707356,9.987467972062073e-15,8.074706640901885e-15,-110.00544738769531,-111.080078125,0.0,1.0,1.0,-110.0,-110.0,0.0054460978135466576,1.0800862312316895,0.06579802185297012,452.54180908203125,pf_fs_cognitive,15.0,2.0,56.0,0.0,pf,budget_dual,0.0,8.0,8.0,8.0,0.5,117.95004713711972,2.595519978186959,1.8245698829731969,0.9673242757159273,8.0
405.31768798828125,497.240234375,3.2168071269989014,0.0,3.948201060295105,0.6453349590301514,-22.00896453857422,-120.0,11.594341278076172,15.179887771606445,0.6984127163887024,0.6984127163887024,14.637861251831055,0.0,10.990774918114766,1.0010312450649522e-14,8.11188461102277e-15,-109.99552917480469,-111.17183685302734,1.0312626132821107e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.004476436413824558,1.171834111213684,0.04225171357393265,497.240234375,edge_fs_soft,15.0,2.0,56.0,0.0,edge_boost,budget_dual,0.0,,,,,,,,,
440.85223388671875,443.5816955566406,3.4988272190093994,0.0,3.6351122856140137,0.8015534281730652,-2.2501392364501953,-120.0,10.578344821929932,14.075181007385254,0.8650793433189392,0.8650793433189392,20.778263092041016,0.0,87.86803236580454,1.006526201903675e-14,8.457193685596984e-15,-109.97174835205078,-110.9807357788086,6.526219452004933e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.028250962495803833,0.9807278513908386,0.05103026703000069,443.5816955566406,du_pf_cognitive,15.0,3.0,56.0,0.0,pf,budget_dual,1.0,8.0,8.0,8.0,0.5,111.90920231200326,2.4636074270886024,1.7832518829471604,0.9749683519831633,8.0
