algorithm,tau_rms_ns,channel_modeling,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,sweep_value,num_iterations_or_layers,converged,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
du_pf_cognitive,10.0,flat,307.16802501678467,305.71871280670166,2.4378414638340473,0.016490059916982044,2.59251319617033,0.8102480284869671,-5.302403185516596,-116.38927549123764,6.97868125140667,9.040575489401817,0.868303569033742,0.868303569033742,50.33051264286041,0.0,18.18166372354608,1.0210618193211288e-14,8.927165522397618e-15,-109.9174473285675,-110.60877585411072,2.1067310819880352e-16,0.7421874990686774,0.7213541688397527,-110.0,-110.0,-0.08255139209327919,0.6087769115110859,0.1157802215311676,305.7187099456787,5.0,20.0,0.0,1.0,71.8384678436845,1.7921778747063264,1.3425984286000054,0.9794558105443987,8.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,8.0,8.0,8.0,0.5
du_pf_cognitive,10.0,selective,300.7553791999817,298.76207542419434,2.3869474455714226,0.04594880339333045,2.5999496914446354,0.8484421819448471,-6.472587529569864,-120.0,6.778192162513733,8.84073905646801,0.8762400690466166,0.8597160167992115,47.28457447886467,0.0,18.16733089198533,1.0126651870089528e-14,9.041378836200457e-15,-109.94806408882141,-110.5469582080841,1.266625805451091e-16,0.7291666669771075,0.6874999986030161,-110.0,-110.0,-0.05193493985225834,0.5469610133441165,0.1197239740286022,298.76207065582275,5.0,20.0,0.0,1.0,69.46208748690141,1.7556920584881288,1.3359352180049486,0.9827506963599604,8.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,8.0,8.0,8.0,0.5
du_pf_cognitive,20.0,flat,307.16802501678467,305.71871280670166,2.4378414638340473,0.016490059916982044,2.59251319617033,0.8102480284869671,-5.302403185516596,-116.38927549123764,6.97868125140667,9.040575489401817,0.868303569033742,0.868303569033742,50.33051264286041,0.0,17.970841681708407,1.0210618193211288e-14,8.927165522397618e-15,-109.9174473285675,-110.60877585411072,2.1067310819880352e-16,0.7421874990686774,0.7213541688397527,-110.0,-110.0,-0.08255139209327919,0.6087769115110859,0.1157802215311676,305.7187099456787,5.0,20.0,0.0,1.0,71.8384678436845,1.7921778747063264,1.3425984286000054,0.9794558105443987,8.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,8.0,8.0,8.0,0.5
du_pf_cognitive,20.0,selective,294.07282304763794,292.26478815078735,2.3339112922549248,0.19379490923924989,2.5364524088799953,0.8585911691188812,-7.722349435091019,-120.0,6.605350203812122,8.687882240861654,0.8826884869486094,0.8513919897377491,49.68580815196037,0.0,18.000388747197576,1.0203324921898073e-14,9.028426828934212e-15,-109.91864252090454,-110.5467631816864,2.0332517679071127e-16,0.7395833311602473,0.6848958320915699,-110.0,-110.0,-0.08135659666059065,0.5467655882239342,0.1247050755191594,292.2647852897644,5.0,20.0,0.0,1.0,67.6462701704603,1.7295497047629709,1.3402233007835362,0.9838394043684848,8.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,8.0,8.0,8.0,0.5
du_pf_cognitive,50.0,flat,307.16802501678467,305.71871280670166,2.4378414638340473,0.016490059916982044,2.59251319617033,0.8102480284869671,-5.302403185516596,-116.38927549123764,6.97868125140667,9.040575489401817,0.868303569033742,0.868303569033742,50.33051264286041,0.0,17.98158628953388,1.0210618193211288e-14,8.927165522397618e-15,-109.9174473285675,-110.60877585411072,2.1067310819880352e-16,0.7421874990686774,0.7213541688397527,-110.0,-110.0,-0.08255139209327919,0.6087769115110859,0.1157802215311676,305.7187099456787,5.0,20.0,0.0,1.0,71.8384678436845,1.7921778747063264,1.3425984286000054,0.9794558105443987,8.0,4000000.0,400000.0,511875.0,0.12796875,1.2796875,1.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,50.0,selective,284.55291080474854,282.4576144218445,2.258356422185898,0.45577816277531724,2.4282577130943537,0.8730611056089401,-10.161157324910164,-120.0,6.398550279438496,8.523963764309883,0.8938491977751255,0.8343408983200788,50.66848611831665,0.0,18.01799270138872,1.013309863785108e-14,9.020000465765588e-15,-109.94421863555908,-110.55821919441223,1.330989192134985e-16,0.731770833954215,0.682291666045785,-110.0,-110.0,-0.055781221132067814,0.5582201413344592,0.13516905088908965,282.45761585235596,5.0,20.0,0.0,1.0,64.22743783986256,1.6818565820924687,1.3121745860798042,0.9850582845630466,8.0,4000000.0,400000.0,511875.0,0.12796875,1.2796875,1.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,100.0,flat,307.16802501678467,305.71871280670166,2.4378414638340473,0.016490059916982044,2.59251319617033,0.8102480284869671,-5.302403185516596,-116.38927549123764,6.97868125140667,9.040575489401817,0.868303569033742,0.868303569033742,50.33051264286041,0.0,18.0571867401668,1.0210618193211288e-14,8.927165522397618e-15,-109.9174473285675,-110.60877585411072,2.1067310819880352e-16,0.7421874990686774,0.7213541688397527,-110.0,-110.0,-0.08255139209327919,0.6087769115110859,0.1157802215311676,305.7187099456787,5.0,20.0,0.0,1.0,71.8384678436845,1.7921778747063264,1.3425984286000054,0.9794558105443987,8.0,2000000.0,200000.0,511875.0,0.2559375,2.559375,1.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,100.0,selective,275.9683675765991,273.8959970474243,2.1902251318097115,0.5707226167432964,2.3370558992028236,0.8804300762712955,-11.681966319680214,-120.0,6.1687449514865875,8.286377988755703,0.8958333227783442,0.8241722472012043,52.80341249704361,0.0,18.06754522092524,1.0348691948682247e-14,9.043758072339956e-15,-109.86537742614746,-110.55404925346375,3.4869212416554704e-16,0.6666666655801237,0.6145833318587393,-110.0,-110.0,-0.1346210074537799,0.5540488015685696,0.1428430378437042,273.8959994316101,5.0,20.0,0.0,1.0,61.61881725103975,1.646513031439455,1.2970031290387563,0.9857724702960351,8.0,2000000.0,200000.0,511875.0,0.2559375,2.559375,1.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,200.0,flat,307.16802501678467,305.71871280670166,2.4378414638340473,0.016490059916982044,2.59251319617033,0.8102480284869671,-5.302403185516596,-116.38927549123764,6.97868125140667,9.040575489401817,0.868303569033742,0.868303569033742,50.33051264286041,0.0,18.039726220536977,1.0210618193211288e-14,8.927165522397618e-15,-109.9174473285675,-110.60877585411072,2.1067310819880352e-16,0.7421874990686774,0.7213541688397527,-110.0,-110.0,-0.08255139209327919,0.6087769115110859,0.1157802215311676,305.7187099456787,5.0,20.0,0.0,1.0,71.8384678436845,1.7921778747063264,1.3425984286000054,0.9794558105443987,8.0,1000000.0,100000.0,511875.0,0.5118750000000001,5.11875,1.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,200.0,selective,269.09047269821167,267.060914516449,2.135638676583767,0.6311375574441627,2.282718578353524,0.8856179416179657,-12.791712790727615,-120.0,5.9999754056334496,8.11416381970048,0.8945932444185019,0.8156467005610466,54.62176996469498,0.0,18.04126767591515,1.0201000954658383e-14,9.070761879745117e-15,-109.91731095314026,-110.53005766868591,2.0130669727740427e-16,0.65625,0.6302083330228925,-110.0,-110.0,-0.08268865836544133,0.5300587489909958,0.1500321968924254,267.06091594696045,5.0,20.0,0.0,1.0,59.47287789550509,1.6180397688685246,1.2833229376758941,0.986335812324541,8.0,1000000.0,100000.0,511875.0,0.5118750000000001,5.11875,1.0,0.0,8.0,8.0,8.0,0.5
