algorithm,sweep_value,batch_index,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot,num_bs_ant,num_ut_per_sector
pf_fs_soft,5.0,0.0,1.0,119.22943115234375,0.0,3.72567441849804e-17,0.8981142640113831,8.0,16,4
pf_fs_soft,5.0,0.0,2.0,127.88530731201172,0.0,3.605666790531051e-16,0.8349207043647766,8.0,16,4
pf_fs_soft,5.0,0.0,3.0,133.95510864257812,0.0,9.328204441522159e-17,0.4274381995201111,8.0,16,4
pf_fs_soft,5.0,0.0,4.0,139.33006286621094,0.0,8.86055755134306e-17,0.31027814745903015,8.0,16,4
pf_fs_soft,5.0,0.0,5.0,145.26708984375,0.0,9.471353009608136e-17,0.256528377532959,8.0,16,4
pf_fs_soft,5.0,0.0,6.0,151.24581909179688,0.0,5.436088048888649e-17,0.22546397149562836,8.0,16,4
pf_fs_soft,5.0,0.0,7.0,157.4010009765625,0.0,8.552661075016121e-17,0.20176255702972412,8.0,16,4
pf_fs_soft,5.0,0.0,8.0,163.39532470703125,0.0,4.99215808123267e-17,0.18178460001945496,8.0,16,4
pf_fs_soft,5.0,0.0,9.0,169.44277954101562,0.0,7.470830594782929e-18,0.16776420176029205,8.0,16,4
pf_fs_soft,5.0,0.0,10.0,175.31178283691406,0.0,3.940736083805907e-17,0.1550707370042801,8.0,16,4
pf_fs_soft,5.0,0.0,11.0,180.6547088623047,0.0,9.756464299653933e-17,0.14355780184268951,8.0,16,4
pf_fs_soft,5.0,0.0,12.0,185.96469116210938,0.0,6.635063185727111e-17,0.13263121247291565,8.0,16,4
pf_fs_soft,5.0,0.0,13.0,191.50498962402344,0.0,4.428627061424384e-17,0.1234884187579155,8.0,16,4
pf_fs_soft,5.0,0.0,14.0,196.2989044189453,0.0,2.6147060048792997e-17,0.11560462415218353,8.0,16,4
pf_fs_soft,5.0,0.0,15.0,200.17108154296875,0.0,1.751833541511344e-17,0.10859156399965286,8.0,16,4
pf_fs_soft,5.0,0.0,16.0,203.46746826171875,0.0,1.091994875600244e-17,0.10231095552444458,8.0,16,4
pf_fs_soft,5.0,0.0,17.0,206.25732421875,0.0,3.7379563962332274e-18,0.09721969813108444,8.0,16,4
pf_fs_soft,5.0,0.0,18.0,208.82925415039062,0.0,0.0,0.09354274719953537,8.0,16,4
pf_fs_soft,5.0,0.0,19.0,211.15460205078125,0.0,0.0,0.09000491350889206,8.0,16,4
pf_fs_soft,5.0,0.0,20.0,213.35317993164062,0.0,0.0,0.08632497489452362,8.0,16,4
pf_fs_soft,5.0,0.0,21.0,215.52902221679688,0.0,1.9693516023662483e-18,0.08278725296258926,8.0,16,4
pf_fs_soft,5.0,0.0,22.0,217.54949951171875,0.0,4.675621868843738e-18,0.07898375391960144,8.0,16,4
pf_fs_soft,5.0,0.0,23.0,219.2794647216797,0.0,2.2344729148568443e-18,0.07529068738222122,8.0,16,4
pf_fs_soft,5.0,0.0,24.0,220.72592163085938,0.0,0.0,0.07179857790470123,8.0,16,4
pf_fs_soft,5.0,0.0,25.0,221.89283752441406,0.0,0.0,0.06908957660198212,8.0,16,4
pf_fs_soft,5.0,0.0,26.0,222.7554168701172,0.0,0.0,0.06734170019626617,8.0,16,4
pf_fs_soft,5.0,0.0,27.0,223.4405517578125,0.0,4.461491939777851e-17,0.06619442999362946,8.0,16,4
pf_fs_soft,5.0,0.0,28.0,223.99609375,0.0,2.646300333811885e-17,0.06534381210803986,8.0,16,4
