algorithm,num_bs_ant,num_ut_per_sector,sweep_value,iteration,batch_index,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
du_pf_cognitive,16,4,5.0,1.0,9.5,133.8523971557617,0.0,4.3675792793333983e-16,0.890811225771904,8.0
du_pf_cognitive,16,4,5.0,2.0,9.5,163.22793197631836,0.0,4.0870512845651937e-16,0.5722184032201767,8.0
du_pf_cognitive,16,4,5.0,3.0,9.5,168.94895858764647,0.0,4.129920045542208e-16,0.3299470737576485,8.0
du_pf_cognitive,16,4,5.0,4.0,9.5,174.84765014648437,0.0,2.5806806913880945e-16,0.2661895327270031,8.0
du_pf_cognitive,16,4,5.0,5.0,9.5,182.4647979736328,0.0,1.259352492351696e-16,0.22993613705039023,8.0
du_pf_cognitive,16,4,5.0,6.0,9.5,190.60814971923827,0.0,2.863047594684788e-17,0.20456029176712037,8.0
du_pf_cognitive,16,4,5.0,7.0,9.5,198.95254364013672,0.0,2.320573813945244e-17,0.18423754274845122,8.0
du_pf_cognitive,16,4,5.0,8.0,9.5,206.75956497192382,0.0,2.1023696564030637e-17,0.1663913756608963,8.0
du_pf_cognitive,16,4,5.0,9.0,9.5,213.9058074951172,0.0,1.1588427157975534e-17,0.14932899549603462,8.0
du_pf_cognitive,16,4,5.0,10.0,9.5,220.19895782470704,0.0,1.370359548221161e-17,0.13695519976317883,8.0
du_pf_cognitive,16,4,5.0,11.0,9.5,226.11303253173827,0.0,1.228456118567648e-17,0.12543403618037702,8.0
du_pf_cognitive,16,4,5.0,12.0,9.5,231.44581146240233,0.0,1.13798029430668e-17,0.11479709558188915,8.0
du_pf_cognitive,16,4,5.0,13.0,9.5,236.15909576416016,0.0,1.1992123060636933e-17,0.10503005571663379,8.0
du_pf_cognitive,16,4,5.0,14.0,9.5,240.28945770263672,0.0,1.326699234954938e-17,0.09711322411894799,8.0
du_pf_cognitive,16,4,5.0,15.0,9.5,243.98858413696288,0.0,1.9029992764430828e-17,0.09041405860334635,8.0
du_pf_cognitive,16,4,5.0,16.0,9.5,248.58530807495117,0.0,2.5654552741611984e-17,0.05393234249204397,8.0
du_pf_cognitive,16,6,5.0,1.0,9.5,141.72573623657226,0.0,3.7578870814821213e-17,0.8905966699123382,8.0
du_pf_cognitive,16,6,5.0,2.0,9.5,178.87668151855468,0.0,2.6237989035680745e-17,0.5451507359743119,8.0
du_pf_cognitive,16,6,5.0,3.0,9.5,188.04181594848632,0.0,2.4200747742592066e-17,0.304540878534317,8.0
du_pf_cognitive,16,6,5.0,4.0,9.5,196.1861145019531,0.0,2.0828497821335883e-17,0.23808616325259208,8.0
du_pf_cognitive,16,6,5.0,5.0,9.5,205.68877716064452,0.0,1.6200648610717286e-17,0.20398766100406646,8.0
du_pf_cognitive,16,6,5.0,6.0,9.5,215.36059494018554,0.0,1.2066746663290037e-17,0.18100729137659072,8.0
du_pf_cognitive,16,6,5.0,7.0,9.5,225.0980422973633,0.0,1.3203041362031681e-17,0.1629556603729725,8.0
du_pf_cognitive,16,6,5.0,8.0,9.5,234.69008255004883,0.0,1.2184145429779483e-17,0.14815037585794927,8.0
du_pf_cognitive,16,6,5.0,9.0,9.5,244.0200439453125,0.0,1.051235650178367e-17,0.13390254750847816,8.0
du_pf_cognitive,16,6,5.0,10.0,9.5,252.4073585510254,0.0,1.0264853474595964e-17,0.12344760783016681,8.0
du_pf_cognitive,16,6,5.0,11.0,9.5,260.21290283203126,0.0,1.2252924505096533e-17,0.11335476525127888,8.0
du_pf_cognitive,16,6,5.0,12.0,9.5,267.1804374694824,0.0,6.752716062100733e-18,0.10445072501897812,8.0
du_pf_cognitive,16,6,5.0,13.0,9.5,273.4410270690918,0.0,9.521031491964601e-18,0.09628934897482395,8.0
du_pf_cognitive,16,6,5.0,14.0,9.5,279.0485610961914,0.0,1.0251555057324071e-17,0.08952419739216566,8.0
du_pf_cognitive,16,6,5.0,15.0,9.5,284.1674530029297,0.0,1.2917887720338521e-17,0.08352679144591094,8.0
du_pf_cognitive,16,6,5.0,16.0,9.5,289.8526382446289,0.0,1.3841365391082522e-17,0.0498561424203217,8.0
du_pf_cognitive,16,8,5.0,1.0,9.5,153.532275390625,0.0,8.309223805975235e-17,0.8911649584770203,8.0
du_pf_cognitive,16,8,5.0,2.0,9.5,197.576513671875,0.0,7.030246407268605e-17,0.5090155273675918,8.0
du_pf_cognitive,16,8,5.0,3.0,9.5,210.627433013916,0.0,7.023245679959548e-17,0.2869549795985222,8.0
du_pf_cognitive,16,8,5.0,4.0,9.5,221.32504653930664,0.0,5.458449718696162e-17,0.2222956821322441,8.0
du_pf_cognitive,16,8,5.0,5.0,9.5,233.0887878417969,0.0,1.8166696784589244e-17,0.18964155912399291,8.0
du_pf_cognitive,16,8,5.0,6.0,9.5,245.0549674987793,0.0,2.0174291924524023e-17,0.16812032088637352,8.0
du_pf_cognitive,16,8,5.0,7.0,9.5,256.93210372924807,0.0,1.2737130889394454e-17,0.15130829885601998,8.0
du_pf_cognitive,16,8,5.0,8.0,9.5,268.30313339233396,0.0,1.2771266317168801e-17,0.13750610500574112,8.0
du_pf_cognitive,16,8,5.0,9.0,9.5,279.1557029724121,0.0,6.875705246042057e-18,0.1242018487304449,8.0
du_pf_cognitive,16,8,5.0,10.0,9.5,288.7659767150879,0.0,3.343408449402174e-18,0.11423221938312053,8.0
