algorithm,sweep_value,batch_index,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
pf_fs_soft,5.0,0.0,1.0,123.81140899658203,0.0,9.983469129518086e-17,0.8974648714065552,8.0
pf_fs_soft,5.0,0.0,2.0,131.00450134277344,0.0,5.402486251871071e-16,0.8451155424118042,8.0
pf_fs_soft,5.0,0.0,3.0,138.20712280273438,0.0,2.9237967976618665e-16,0.43901246786117554,8.0
pf_fs_soft,5.0,0.0,4.0,143.72271728515625,0.0,1.0616372147706499e-16,0.3174761235713959,8.0
pf_fs_soft,5.0,0.0,5.0,149.12472534179688,0.0,1.5894573255226946e-16,0.2639787495136261,8.0
pf_fs_soft,5.0,0.0,6.0,153.75851440429688,0.0,9.341079342320424e-17,0.2312142252922058,8.0
pf_fs_soft,5.0,0.0,7.0,157.89453125,0.0,7.401712706286978e-17,0.2075796276330948,8.0
pf_fs_soft,5.0,0.0,8.0,162.230712890625,0.0,8.896641154896093e-17,0.19427531957626343,8.0
pf_fs_soft,5.0,0.0,9.0,166.6876983642578,0.0,9.36394923189629e-17,0.1802082359790802,8.0
pf_fs_soft,5.0,0.0,10.0,170.9040985107422,0.0,0.0,0.1670466661453247,8.0
pf_fs_soft,5.0,0.0,11.0,174.82440185546875,0.0,0.0,0.158558651804924,8.0
pf_fs_soft,5.0,0.0,12.0,178.84165954589844,0.0,0.0,0.15237492322921753,8.0
pf_fs_soft,5.0,0.0,13.0,183.03814697265625,0.0,0.0,0.14531707763671875,8.0
pf_fs_soft,5.0,0.0,14.0,187.03573608398438,0.0,0.0,0.1374952495098114,8.0
pf_fs_soft,5.0,0.0,15.0,190.61767578125,0.0,0.0,0.13063839077949524,8.0
pf_fs_soft,5.0,0.0,16.0,194.22544860839844,0.0,0.0,0.1246756911277771,8.0
pf_fs_soft,5.0,0.0,17.0,198.2056427001953,0.0,0.0,0.11874077469110489,8.0
pf_fs_soft,5.0,0.0,18.0,202.00735473632812,0.0,0.0,0.1132795661687851,8.0
pf_fs_soft,5.0,0.0,19.0,205.2235107421875,0.0,0.0,0.10814900696277618,8.0
pf_fs_soft,5.0,0.0,20.0,208.03933715820312,0.0,0.0,0.10416385531425476,8.0
pf_fs_soft,5.0,0.0,21.0,210.60494995117188,0.0,0.0,0.09997257590293884,8.0
pf_fs_soft,5.0,0.0,22.0,213.15475463867188,0.0,0.0,0.09516851603984833,8.0
pf_fs_soft,5.0,0.0,23.0,215.5070037841797,0.0,0.0,0.09136835485696793,8.0
pf_fs_soft,5.0,0.0,24.0,217.68496704101562,0.0,0.0,0.08785160630941391,8.0
pf_fs_soft,5.0,0.0,25.0,219.9061737060547,0.0,0.0,0.08363644778728485,8.0
pf_fs_soft,5.0,0.0,26.0,221.96066284179688,0.0,0.0,0.07970073074102402,8.0
pf_fs_soft,5.0,0.0,27.0,223.79945373535156,0.0,0.0,0.07625783234834671,8.0
pf_fs_soft,5.0,0.0,28.0,225.30545043945312,0.0,0.0,0.07325007021427155,8.0
pf_fs_soft,5.0,0.0,29.0,226.46768188476562,0.0,0.0,0.07064385712146759,8.0
pf_fs_soft,5.0,0.0,30.0,227.33563232421875,0.0,0.0,0.06821902096271515,8.0
pf_fs_soft,5.0,0.0,31.0,227.99075317382812,0.0,0.0,0.06661777198314667,8.0
pf_fs_soft,5.0,0.0,32.0,228.50807189941406,0.0,0.0,0.06576570868492126,8.0
pf_fs_soft,5.0,0.0,33.0,228.97654724121094,0.0,0.0,0.06469767540693283,8.0
pf_fs_soft,5.0,0.0,34.0,229.48684692382812,0.0,0.0,0.06357192248106003,8.0
pf_fs_soft,5.0,0.0,35.0,230.06741333007812,0.0,0.0,0.06320434808731079,8.0
pf_fs_soft,5.0,0.0,36.0,230.6942138671875,0.0,0.0,0.062245141714811325,8.0
pf_fs_soft,5.0,0.0,37.0,231.30712890625,0.0,0.0,0.0605727918446064,8.0
pf_fs_soft,5.0,0.0,38.0,231.89340209960938,0.0,0.0,0.05873197689652443,8.0
pf_fs_soft,5.0,0.0,39.0,232.42506408691406,0.0,0.0,0.05712107941508293,8.0
pf_fs_soft,5.0,0.0,40.0,232.89678955078125,0.0,0.0,0.05588175356388092,8.0
pf_fs_cognitive,5.0,0.0,1.0,130.6932830810547,0.0,0.0,0.886924147605896,8.0
pf_fs_cognitive,5.0,0.0,2.0,145.75704956054688,0.0,5.695280130748465e-17,0.8343281149864197,8.0
pf_fs_cognitive,5.0,0.0,3.0,156.514404296875,0.0,0.0,0.4042479395866394,8.0
pf_fs_cognitive,5.0,0.0,4.0,165.06700134277344,0.0,0.0,0.2939036786556244,8.0
pf_fs_cognitive,5.0,0.0,5.0,173.4464569091797,0.0,0.0,0.2404748499393463,8.0
pf_fs_cognitive,5.0,0.0,6.0,181.18203735351562,0.0,0.0,0.20748431980609894,8.0
pf_fs_cognitive,5.0,0.0,7.0,188.34906005859375,0.0,0.0,0.18617583811283112,8.0
pf_fs_cognitive,5.0,0.0,8.0,195.4973907470703,0.0,0.0,0.16828808188438416,8.0
pf_fs_cognitive,5.0,0.0,9.0,201.89573669433594,0.0,0.0,0.15198853611946106,8.0
pf_fs_cognitive,5.0,0.0,10.0,208.0158233642578,0.0,0.0,0.13925056159496307,8.0
pf_fs_cognitive,5.0,0.0,11.0,214.8480224609375,0.0,0.0,0.12818190455436707,8.0
pf_fs_cognitive,5.0,0.0,12.0,221.585693359375,0.0,0.0,0.11817961186170578,8.0
pf_fs_cognitive,5.0,0.0,13.0,227.49578857421875,0.0,0.0,0.10906101018190384,8.0
pf_fs_cognitive,5.0,0.0,14.0,232.20111083984375,0.0,0.0,0.10059753060340881,8.0
pf_fs_cognitive,5.0,0.0,15.0,236.04006958007812,0.0,0.0,0.09322084486484528,8.0
pf_fs_cognitive,5.0,0.0,16.0,239.41082763671875,0.0,0.0,0.08724243938922882,8.0
pf_fs_cognitive,5.0,0.0,17.0,242.23719787597656,0.0,0.0,0.08232779800891876,8.0
pf_fs_cognitive,5.0,0.0,18.0,244.46630859375,0.0,0.0,0.07842329889535904,8.0
pf_fs_cognitive,5.0,0.0,19.0,246.33657836914062,0.0,0.0,0.07515622675418854,8.0
pf_fs_cognitive,5.0,0.0,20.0,248.10804748535156,0.0,0.0,0.07210025936365128,8.0
pf_fs_cognitive,5.0,0.0,21.0,249.8634796142578,0.0,0.0,0.0691886693239212,8.0
pf_fs_cognitive,5.0,0.0,22.0,251.59890747070312,0.0,0.0,0.06643789261579514,8.0
pf_fs_cognitive,5.0,0.0,23.0,253.25570678710938,0.0,0.0,0.064155213534832,8.0
pf_fs_cognitive,5.0,0.0,24.0,254.77638244628906,0.0,0.0,0.062031131237745285,8.0
pf_fs_cognitive,5.0,0.0,25.0,256.16943359375,0.0,0.0,0.06022428721189499,8.0
pf_fs_cognitive,5.0,0.0,26.0,257.5218505859375,0.0,0.0,0.05875132232904434,8.0
pf_fs_cognitive,5.0,0.0,27.0,258.8956604003906,0.0,0.0,0.05726964399218559,8.0
pf_fs_cognitive,5.0,0.0,28.0,260.2373046875,0.0,0.0,0.0553092360496521,8.0
pf_fs_cognitive,5.0,0.0,29.0,261.4280700683594,0.0,0.0,0.05279698595404625,8.0
pf_fs_cognitive,5.0,0.0,30.0,262.5281677246094,0.0,0.0,0.049616340547800064,8.0
pf_fs_cognitive,5.0,0.0,31.0,263.61322021484375,0.0,0.0,0.04681679606437683,8.0
pf_fs_cognitive,5.0,0.0,32.0,264.7209777832031,0.0,0.0,0.04460177943110466,8.0
pf_fs_cognitive,5.0,0.0,33.0,265.865234375,0.0,0.0,0.04276415705680847,8.0
pf_fs_cognitive,5.0,0.0,34.0,267.04541015625,0.0,0.0,0.04107379913330078,8.0
pf_fs_cognitive,5.0,0.0,35.0,268.2289123535156,0.0,0.0,0.03944047540426254,8.0
pf_fs_cognitive,5.0,0.0,36.0,269.3897705078125,0.0,0.0,0.0379074364900589,8.0
pf_fs_cognitive,5.0,0.0,37.0,270.502197265625,0.0,0.0,0.03654932230710983,8.0
pf_fs_cognitive,5.0,0.0,38.0,271.5394592285156,0.0,0.0,0.03535350784659386,8.0
pf_fs_cognitive,5.0,0.0,39.0,272.4855041503906,0.0,0.0,0.0342615582048893,8.0
pf_fs_cognitive,5.0,0.0,40.0,273.3365173339844,0.0,0.0,0.03338367119431496,8.0
du_pf_soft,5.0,0.0,1.0,121.04386901855469,0.0,1.452864792448466e-16,0.8866930603981018,8.0
du_pf_soft,5.0,0.0,2.0,136.7880859375,0.0,2.9370274522979786e-16,0.6990482807159424,8.0
du_pf_soft,5.0,0.0,3.0,142.61756896972656,0.0,1.6593714249890645e-16,0.374885618686676,8.0
du_pf_soft,5.0,0.0,4.0,146.395263671875,0.0,8.719187752446317e-17,0.28676140308380127,8.0
du_pf_soft,5.0,0.0,5.0,150.32000732421875,0.0,8.570618173497913e-17,0.2443750947713852,8.0
du_pf_soft,5.0,0.0,6.0,154.6185760498047,0.0,9.934510625166787e-17,0.2119843065738678,8.0
du_pf_soft,5.0,0.0,7.0,158.67202758789062,0.0,5.851473006222158e-17,0.194021075963974,8.0
du_pf_soft,5.0,0.0,8.0,162.85775756835938,0.0,7.531139340627435e-17,0.17898784577846527,8.0
du_pf_soft,5.0,0.0,9.0,166.96356201171875,0.0,4.941590214281588e-18,0.16670507192611694,8.0
du_pf_soft,5.0,0.0,10.0,171.01425170898438,0.0,0.0,0.1602276712656021,8.0
du_pf_soft,5.0,0.0,11.0,175.44140625,0.0,0.0,0.1498648226261139,8.0
du_pf_soft,5.0,0.0,12.0,179.93724060058594,0.0,0.0,0.1384710967540741,8.0
du_pf_soft,5.0,0.0,13.0,183.81712341308594,0.0,0.0,0.12934179604053497,8.0
du_pf_soft,5.0,0.0,14.0,186.95184326171875,0.0,0.0,0.12943914532661438,8.0
