algorithm,sweep_value,batch_index,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
pf_fs_soft,5.0,0.0,1.0,248.8629913330078,0.0,1.4037347673134803e-12,0.8713544607162476,6.0
pf_fs_soft,5.0,0.0,2.0,468.8433532714844,0.0,4.724852020049353e-12,1.4439584016799927,6.0
pf_fs_soft,5.0,0.0,3.0,503.415283203125,0.0,5.269257252749071e-12,0.21038725972175598,6.0
pf_fs_soft,5.0,0.0,4.0,522.1202392578125,0.0,5.338745071026274e-12,0.1531193107366562,6.0
pf_fs_soft,5.0,0.0,5.0,534.3984985351562,0.0,5.395900306431889e-12,0.11877287179231644,6.0
pf_fs_soft,5.0,0.0,6.0,543.6508178710938,0.0,5.467456782454194e-12,0.09584277868270874,6.0
pf_fs_soft,5.0,0.0,7.0,551.1484375,0.0,5.563967255678426e-12,0.08111954480409622,6.0
pf_fs_soft,5.0,0.0,8.0,557.4178466796875,0.0,5.68602413417163e-12,0.07088109850883484,6.0
pf_fs_soft,5.0,0.0,9.0,562.7703247070312,0.0,5.8159124217971314e-12,0.06240047514438629,6.0
pf_fs_soft,5.0,0.0,10.0,567.41455078125,0.0,5.935775308774094e-12,0.055795636028051376,6.0
pf_fs_soft,5.0,0.0,11.0,571.45751953125,0.0,6.041069987999803e-12,0.05124922841787338,6.0
pf_fs_soft,5.0,0.0,12.0,575.0181884765625,0.0,6.136456794092471e-12,0.047529179602861404,6.0
pf_fs_soft,5.0,0.0,13.0,578.1976318359375,0.0,6.224506153562626e-12,0.04385274648666382,6.0
pf_fs_soft,5.0,0.0,14.0,581.095458984375,0.0,6.309210098809359e-12,0.04038192331790924,6.0
pf_fs_soft,5.0,0.0,15.0,583.8175048828125,0.0,6.3912356310091845e-12,0.03765878453850746,6.0
pf_fs_soft,5.0,0.0,16.0,586.4118041992188,0.0,6.4706569095907e-12,0.035765260457992554,6.0
pf_fs_soft,5.0,0.0,17.0,588.8218994140625,0.0,6.542371245449319e-12,0.0340728685259819,6.0
pf_fs_soft,5.0,0.0,18.0,591.0618896484375,0.0,6.605088437999784e-12,0.0326518788933754,6.0
pf_fs_soft,5.0,0.0,19.0,593.1507568359375,0.0,6.662713783467389e-12,0.03124110959470272,6.0
pf_fs_soft,5.0,0.0,20.0,595.0572509765625,0.0,6.718844664660439e-12,0.029305601492524147,6.0
pf_fs_cognitive,5.0,0.0,1.0,252.02711486816406,0.0,2.84707804207307e-13,0.871345043182373,6.0
pf_fs_cognitive,5.0,0.0,2.0,470.4051513671875,0.0,1.1071777175630793e-12,1.4158767461776733,6.0
pf_fs_cognitive,5.0,0.0,3.0,504.12310791015625,0.0,1.3190811290475501e-12,0.20972710847854614,6.0
pf_fs_cognitive,5.0,0.0,4.0,522.3885498046875,0.0,1.4330710012763759e-12,0.15052734315395355,6.0
pf_fs_cognitive,5.0,0.0,5.0,534.8056640625,0.0,1.5021661215267046e-12,0.11995512992143631,6.0
pf_fs_cognitive,5.0,0.0,6.0,544.0913696289062,0.0,1.5447143347432912e-12,0.09916756302118301,6.0
pf_fs_cognitive,5.0,0.0,7.0,551.3839111328125,0.0,1.584463029530303e-12,0.08362602442502975,6.0
pf_fs_cognitive,5.0,0.0,8.0,557.4151611328125,0.0,1.6329055078576071e-12,0.07201217859983444,6.0
pf_fs_cognitive,5.0,0.0,9.0,562.5663452148438,0.0,1.671455508722719e-12,0.06313520669937134,6.0
pf_fs_cognitive,5.0,0.0,10.0,566.99169921875,0.0,1.691311804150053e-12,0.05613994225859642,6.0
pf_fs_cognitive,5.0,0.0,11.0,570.807861328125,0.0,1.7034478211677695e-12,0.04987934231758118,6.0
pf_fs_cognitive,5.0,0.0,12.0,574.1856079101562,0.0,1.7125725750716247e-12,0.04550453647971153,6.0
pf_fs_cognitive,5.0,0.0,13.0,577.265380859375,0.0,1.7208119694814283e-12,0.04237484186887741,6.0
pf_fs_cognitive,5.0,0.0,14.0,580.1279296875,0.0,1.7295989944085544e-12,0.040119901299476624,6.0
pf_fs_cognitive,5.0,0.0,15.0,582.775390625,0.0,1.7395507777295816e-12,0.03793714940547943,6.0
