step,snr_db,loss,grad_norm,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_violation_watt,protection_satisfaction,final_w_delta,final_history_weighted_sum_rate
1.0,10.0,-694.423583984375,7.439785003662109,494.1805114746094,694.423583984375,3.922067642211914,0.0,3.3887460231781006,0.5531427264213562,-7.937343597412109,-120.0,0.7222222089767456,0.6964285969734192,0.0794326663017273,0.0,0.0,7.55546273874079e-15,1.5597866084133237e-15,7.545462667765505e-15,0.0,0.12043533474206924,694.423583984375
2.0,10.0,-742.9779052734375,5.788139343261719,497.17279052734375,742.9779052734375,3.9458158016204834,1.0748914647251695e-08,3.20379376411438,0.5330128073692322,-4.249026298522949,-120.0,0.761904776096344,0.716269850730896,0.07943267375230789,0.0,0.0,4.210896818816192e-15,1.0276559469927019e-15,4.200896747840908e-15,0.0,0.11593768000602722,742.9779052734375
3.0,-5.0,-589.631103515625,3.066357374191284,441.8861083984375,589.631103515625,3.507032632827759,0.0,3.459543228149414,0.5822552442550659,-13.032819747924805,-120.0,0.7063491940498352,0.6884920597076416,0.0794326588511467,0.0,0.0,1.59053847837657e-14,2.61321670919979e-15,1.5895384712790415e-14,0.0,0.07897435128688812,589.631103515625
4.0,0.0,-706.8787231445312,3.1585986614227295,450.17730712890625,706.8787231445312,3.572835683822632,0.0,3.3620026111602783,0.5208237171173096,-10.835653305053711,-120.0,0.6507936716079712,0.6349206566810608,0.07943267375230789,0.0,0.0,4.110392547976207e-15,1.093862371490703e-15,4.100392477000923e-15,0.0,0.09631124138832092,706.8787231445312
5.0,5.0,-721.298583984375,3.936800241470337,504.6480712890625,721.298583984375,4.005143642425537,0.0,3.9889533519744873,0.5756739974021912,-7.8065505027771,-120.0,0.7063491940498352,0.7083333134651184,0.07943267375230789,0.0,0.0,2.3198326601163964e-15,7.143031491173475e-16,2.309832589141112e-15,0.0,0.10842286050319672,721.2986450195312
6.0,0.0,-710.743896484375,2.5129406452178955,485.05963134765625,710.743896484375,3.849679708480835,0.0,3.483774781227112,0.5486449599266052,-9.76276969909668,-120.0,0.6904761791229248,0.6607142686843872,0.07943267375230789,0.0,0.0,2.586459573670737e-15,1.001958449680664e-15,2.5764595026954527e-15,0.0,0.09810035675764084,710.743896484375
7.0,10.0,-807.5833740234375,6.808761119842529,515.5679321289062,807.5833740234375,4.091808795928955,0.0,3.766220808029175,0.5307797193527222,-7.839050769805908,-120.0,0.7063491940498352,0.6904761791229248,0.0794326663017273,0.0,0.0,5.393048610772763e-15,2.0242967238305034e-15,5.383048539797479e-15,0.0,0.11460325121879578,807.583251953125
8.0,10.0,-780.5337524414062,5.300337314605713,518.6742553710938,780.5337524414062,4.116462230682373,0.0,3.4736188650131226,0.51333087682724,-13.447043418884277,-120.0,0.6746031641960144,0.6428571343421936,0.0794326663017273,0.0,0.0,1.5267082777571488e-14,2.07150822272809e-15,1.5257082706596203e-14,0.0,0.10541313886642456,780.53369140625
9.0,5.0,-787.6708984375,16.325693130493164,460.6669921875,787.6708984375,3.6560871601104736,0.0,2.827006220817566,0.4848654866218567,-13.765900611877441,-120.0,0.6428571343421936,0.6289682388305664,0.07943267375230789,0.0,0.0,2.6424437928030363e-15,8.979864259546196e-16,2.632443721827752e-15,0.0,0.2707173824310303,787.6708984375
10.0,0.0,-664.9481201171875,3.122234582901001,447.27606201171875,664.9481201171875,3.5498099327087402,0.0,2.974759340286255,0.5315918326377869,-8.302559852600098,-120.0,0.658730149269104,0.6289682388305664,0.07943267375230789,0.0,0.0,4.191373132898454e-15,1.0343864707915845e-15,4.18137306192317e-15,0.0,0.108186274766922,664.9481201171875
11.0,-5.0,-635.1250610351562,2.7787370681762695,450.003173828125,635.1250610351562,3.571453809738159,0.0,3.370537042617798,0.5777713656425476,-13.251864433288574,-120.0,0.6984127163887024,0.6865079402923584,0.07943267375230789,0.0,0.0,1.0104510984713672e-14,1.3670464847270942e-15,1.0094510913738388e-14,0.0,0.08174105733633041,635.1251220703125
12.0,5.0,-740.75390625,4.292160511016846,543.48583984375,740.75390625,4.313379764556885,1.3973589574334255e-07,3.9462205171585083,0.5905142426490784,-2.1142969131469727,-120.0,0.738095223903656,0.716269850730896,0.0794326663017273,0.0,0.0,7.445273916698372e-15,1.2555928307361893e-15,7.435273845723088e-15,0.0,0.10602698475122452,740.75390625
13.0,10.0,-703.3746337890625,6.2304558753967285,495.24029541015625,703.3746337890625,3.930478572845459,0.0,3.6408488750457764,0.5670057535171509,-9.613368034362793,-120.0,0.7063491940498352,0.6944444179534912,0.0794326663017273,0.0,0.0,6.942733504257132e-15,2.3422995737676063e-15,6.932733433281848e-15,0.0,0.11225367337465286,703.3746337890625
14.0,0.0,-698.665771484375,2.8696436882019043,493.5623474121094,698.665771484375,3.917161464691162,0.0,3.851793050765991,0.5740886926651001,-8.536735534667969,-120.0,0.7063491940498352,0.7063491940498352,0.0794326663017273,0.0,0.0,7.181754343511034e-15,1.591271352458358e-15,7.17175427253575e-15,0.0,0.09081556648015976,698.6658325195312
15.0,10.0,-742.9716186523438,5.932682514190674,507.25531005859375,742.9716186523438,4.025835990905762,0.0,3.4673410654067993,0.5480847954750061,-6.401754856109619,-120.0,0.7142857313156128,0.6944444179534912,0.0794326663017273,0.0,0.0,6.69148870902493e-15,1.6447530127479946e-15,6.6814886380496454e-15,0.0,0.1163678914308548,742.9716186523438
16.0,5.0,-728.076416015625,4.489284992218018,486.8458557128906,728.076416015625,3.863856077194214,1.0748914647251695e-08,2.8088806867599487,0.5077994465827942,-7.446576118469238,-120.0,0.682539701461792,0.6547619104385376,0.0794326663017273,0.0,0.0,1.3030161937497078e-15,6.648021201633326e-16,1.293016228653542e-15,0.0,0.11047631502151489,728.076416015625
17.0,0.0,-713.5369873046875,3.120032787322998,471.9427490234375,713.5369873046875,3.745577335357666,0.0,2.9516681432724,0.5133079886436462,-10.705681800842285,-120.0,0.6746031641960144,0.6785714030265808,0.07943268120288849,0.0,0.0,5.634990019628798e-15,1.2824782917567512e-15,5.624989948653514e-15,0.0,0.10977496206760406,713.5369873046875
