step,snr_db,loss,grad_norm,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction,learning_rate
1.0,0.0,-346.465087890625,991.59619140625,281.03839111328125,346.465087890625,2.2304635047912598,0.0,2.4554038047790527,0.747692883014679,-9.59797477722168,-120.0,6.517294645309448,9.239127159118652,0.7857142686843872,0.7857142686843872,70.6563720703125,0.0,0.0,1.0079259238490127e-14,8.66746453255518e-15,-109.96571350097656,-110.807373046875,7.925941397342665e-17,0.6666666865348816,0.6666666865348816,-110.0,-110.0,-0.034286338835954666,0.8073710799217224,0.16740268468856812,346.465087890625,4.0,4.0,4.0,0.5,0.0007999999797903001
2.0,15.0,-388.7044372558594,429.0445251464844,284.220703125,388.7044372558594,2.2557199001312256,0.0,2.6102781295776367,0.6760369539260864,-15.630136489868164,-120.0,7.080934524536133,9.709426879882812,0.7301587462425232,0.7301587462425232,55.638240814208984,0.0,0.0,9.998031319947281e-15,8.353975097677522e-15,-110.00084686279297,-110.8131332397461,0.0,1.0,1.0,-110.0,-110.0,0.0008551882347092032,0.8131430745124817,0.16321156919002533,388.7044372558594,4.0,4.0,4.0,0.5,0.0007999999797903001
3.0,15.0,-420.4378662109375,988.2279663085938,311.3478698730469,420.4378662109375,2.4710147380828857,0.0,2.5909950733184814,0.6740464568138123,-15.639261245727539,-120.0,7.011395454406738,10.321371078491211,0.7460317611694336,0.7460317611694336,66.14029693603516,0.0,0.0,1.0000000671549648e-14,7.758034903241392e-15,-110.0,-111.19512939453125,8.470329472543003e-22,1.0,0.9166666865348816,-110.0,-110.0,-2.588596714758751e-07,1.1951292753219604,0.148262158036232,420.4378662109375,4.0,4.0,4.0,0.5,0.0007999999797903001
4.0,0.0,-319.67547607421875,36929.1328125,246.6734619140625,319.67547607421875,1.9577258825302124,0.0,2.3362619876861572,0.7118923664093018,-16.763500213623047,-120.0,6.074348449707031,7.827580451965332,0.761904776096344,0.761904776096344,75.36526489257812,0.0,0.0,1.0092247641703325e-14,8.661682685657222e-15,-109.96012115478516,-110.7750473022461,9.224781718662409e-17,0.75,0.6666666865348816,-110.0,-110.0,-0.03987918421626091,0.775050163269043,0.1633998602628708,319.67547607421875,4.0,4.0,4.0,0.5,0.0007999999797903001
5.0,15.0,-302.29937744140625,335.8326416015625,240.2113800048828,302.29937744140625,1.9064395427703857,0.0,2.1419464349746704,0.6823340654373169,-17.413372039794922,-120.0,5.332075119018555,7.661342620849609,0.738095223903656,0.738095223903656,75.55619812011719,0.0,0.0,1.0103652093305156e-14,9.151821688717712e-15,-109.95521545410156,-110.4740219116211,1.0365226878845599e-16,0.6666666865348816,0.6666666865348816,-110.0,-110.0,-0.04478400573134422,0.47401532530784607,0.22392769157886505,302.29937744140625,4.0,4.0,4.0,0.5,0.0007999999797903001
6.0,-5.0,-388.404541015625,84.75588989257812,310.9888000488281,388.404541015625,2.468165159225464,0.0,2.666213274002075,0.7776345014572144,-9.799349784851074,-120.0,7.281585454940796,9.456889152526855,0.8333333134651184,0.8333333134651184,75.39561462402344,0.0,0.0,1.0027182805859985e-14,9.094154838635692e-15,-109.98821258544922,-110.42525482177734,2.7182981343285006e-17,0.75,0.75,-110.0,-110.0,-0.011789443902671337,0.42524948716163635,0.1495920717716217,388.404541015625,4.0,4.0,4.0,0.5,0.0007999999797903001
7.0,10.0,-375.46002197265625,374.1694641113281,294.0914306640625,375.46002197265625,2.334059000015259,0.0,2.614328622817993,0.6870842576026917,-14.544766426086426,-120.0,7.095505714416504,9.434532165527344,0.7460317611694336,0.7460317611694336,42.022098541259766,0.0,0.0,1.0030621759625838e-14,8.671023764999543e-15,-109.9867172241211,-110.74925994873047,3.0621935109137466e-17,0.75,0.75,-110.0,-110.0,-0.013278554193675518,0.7492603659629822,0.17372432351112366,375.46002197265625,4.0,4.0,4.0,0.5,0.0007999999797903001
8.0,10.0,-318.67828369140625,2834.050537109375,240.0437774658203,318.67828369140625,1.9051092863082886,0.0,2.142435908317566,0.6892087459564209,-16.59933853149414,-120.0,5.333985090255737,7.696659564971924,0.7301587462425232,0.7301587462425232,75.75235748291016,0.0,0.0,1.0087752437852246e-14,7.421626450876927e-15,-109.96205139160156,-111.57003021240234,8.775261333554552e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.03794429451227188,1.570029616355896,0.21073198318481445,318.67828369140625,4.0,4.0,4.0,0.5,0.0007999999797903001
9.0,15.0,-349.4292297363281,3773.263427734375,266.79547119140625,349.4292297363281,2.117424488067627,0.0,2.44636070728302,0.7039815783500671,-13.788448333740234,-120.0,6.483955383300781,8.690581321716309,0.7539682388305664,0.7539682388305664,47.41372299194336,0.0,0.0,1.0119650851612896e-14,8.473866682130737e-15,-109.9483413696289,-111.02459716796875,1.196510270961952e-16,0.75,0.5833333134651184,-110.0,-110.0,-0.05165546387434006,1.024595856666565,0.18110737204551697,349.4292297363281,4.0,4.0,4.0,0.5,0.0007999999797903001
10.0,25.0,-413.9544372558594,4234.35546875,322.1774597167969,413.9544372558594,2.5569639205932617,0.0,2.7096269130706787,0.7596820592880249,-8.292240142822266,-120.0,7.436288595199585,10.082496643066406,0.8095238208770752,0.8095238208770752,37.021236419677734,0.0,0.0,9.934408134180169e-15,8.148599254121508e-15,-110.02857208251953,-110.961181640625,0.0,1.0,1.0,-110.0,-110.0,0.028580157086253166,0.9611759781837463,0.16447393596172333,413.95440673828125,4.0,4.0,4.0,0.5,0.0007999999797903001
11.0,25.0,-326.0238952636719,2093.911376953125,244.28305053710938,326.0238952636719,1.9387543201446533,0.0,2.270249605178833,0.6725470423698425,-20.639970779418945,-120.0,5.825122833251953,8.52070426940918,0.7301587462425232,0.7301587462425232,72.50398254394531,0.0,0.0,9.999996436384911e-15,7.681306423714361e-15,-110.0,-111.46031951904297,0.0,1.0,1.0,-110.0,-110.0,1.5531578583249939e-06,1.460321307182312,0.20676207542419434,326.0238952636719,4.0,4.0,4.0,0.5,0.0007999999797903001
12.0,0.0,-306.3962707519531,5577.69384765625,250.1842498779297,306.3962707519531,1.9855892658233643,0.0,2.312303066253662,0.7260828614234924,-16.478687286376953,-120.0,5.984196901321411,7.830376148223877,0.7698412537574768,0.7698412537574768,72.53385162353516,0.0,0.0,1.0022541065309032e-14,8.164886850664261e-15,-109.99022674560547,-111.41173553466797,2.254124079233144e-17,0.75,0.6666666865348816,-110.0,-110.0,-0.009778552688658237,1.4117358922958374,0.18311646580696106,306.39630126953125,4.0,4.0,4.0,0.5,0.0007999999797903001
13.0,20.0,-488.05120849609375,843.4775390625,352.6142578125,488.05120849609375,2.798525810241699,0.0,3.3038357496261597,0.6627522706985474,-19.368541717529297,-120.0,9.481866836547852,12.26853084564209,0.7301587462425232,0.7301587462425232,27.68263053894043,0.0,0.0,9.943012294858378e-15,9.093158727889721e-15,-110.02481842041016,-110.43325805664062,0.0,1.0,1.0,-110.0,-110.0,0.024820368736982346,0.43325087428092957,0.13478268682956696,488.05120849609375,4.0,4.0,4.0,0.5,0.0007999999797903001
14.0,-5.0,-333.12451171875,1372.1640625,247.2642822265625,333.12451171875,1.9624149799346924,0.0,2.140253186225891,0.7078651785850525,-12.145796775817871,-120.0,5.325446367263794,7.4312591552734375,0.761904776096344,0.761904776096344,71.96035766601562,0.0,0.0,1.0014967743727631e-14,8.903198036940788e-15,-109.9935073852539,-110.53621673583984,1.496791921093074e-17,0.8333333134651184,0.75,-110.0,-110.0,-0.006495502777397633,0.5362115502357483,0.21962161362171173,333.1244812011719,4.0,4.0,4.0,0.5,0.0007999999797903001
15.0,20.0,-389.98712158203125,724.3314819335938,304.54156494140625,389.98712158203125,2.416996479034424,0.0,2.6382644176483154,0.7284148931503296,-13.616138458251953,-120.0,7.181544065475464,10.012133598327637,0.7777777910232544,0.7777777910232544,29.670324325561523,0.0,0.0,1.0037788505392557e-14,9.057944180140571e-15,-109.9836196899414,-110.4509048461914,3.77886808758561e-17,0.9166666865348816,0.9166666865348816,-110.0,-110.0,-0.01638043113052845,0.45090946555137634,0.1613827645778656,389.98712158203125,4.0,4.0,4.0,0.5,0.0007999999797903001
16.0,0.0,-390.9052734375,284.40771484375,296.2149658203125,390.9052734375,2.35091233253479,0.0,2.6010836362838745,0.6920607089996338,-13.561382293701172,-120.0,7.047871112823486,9.640783309936523,0.7539682388305664,0.7539682388305664,75.7809829711914,0.0,0.0,9.999998977483753e-15,8.503825390442175e-15,-110.0,-110.76611328125,0.0,1.0,1.0,-110.0,-110.0,5.177192861083313e-07,0.766122579574585,0.15715391933918,390.9052429199219,4.0,4.0,4.0,0.5,0.0007999999797903001
17.0,10.0,-387.9907531738281,361.5663146972656,303.23931884765625,387.9907531738281,2.40666127204895,0.0,2.6317179203033447,0.6989324688911438,-13.643834114074707,-120.0,7.1580119132995605,9.897842407226562,0.761904776096344,0.761904776096344,29.591928482055664,0.0,0.0,9.989611812451574e-15,8.387849639304116e-15,-110.00450897216797,-110.8445053100586,0.0,1.0,1.0,-110.0,-110.0,0.004513719584792852,0.8445083498954773,0.15267284214496613,387.9907531738281,4.0,4.0,4.0,0.5,0.0007999999797903001
18.0,15.0,-293.77008056640625,1681.0750732421875,238.49864196777344,293.77008056640625,1.8928463459014893,0.0,2.0851023197174072,0.754632294178009,-14.149066925048828,-120.0,5.109533071517944,7.56799840927124,0.8015872836112976,0.8015872836112976,43.10536193847656,0.0,0.0,1.0019667082518998e-14,9.504787094102157e-15,-109.99146270751953,-110.23983764648438,1.96672580022976e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.00853288546204567,0.23983770608901978,0.18201588094234467,293.77008056640625,4.0,4.0,4.0,0.5,0.0007999999797903001
19.0,10.0,-287.4366455078125,5590.81884765625,230.81121826171875,287.4366455078125,1.8318350315093994,0.0,2.101449966430664,0.7184264659881592,-16.519346237182617,-120.0,5.173690319061279,7.151662349700928,0.7539682388305664,0.7539682388305664,72.30754852294922,0.0,0.0,1.0094357600774935e-14,8.790508773638076e-15,-109.95921325683594,-110.7636947631836,9.435777625823455e-17,0.5,0.5,-110.0,-110.0,-0.040786854922771454,0.7636980414390564,0.21511709690093994,287.4366455078125,4.0,4.0,4.0,0.5,0.0007999999797903001
20.0,10.0,-338.7042236328125,282.3821105957031,259.56060791015625,338.7042236328125,2.060004711151123,0.0,2.314510226249695,0.6925195455551147,-16.238834381103516,-120.0,5.9926674365997314,8.527124404907227,0.7460317611694336,0.7460317611694336,74.47667694091797,0.0,0.0,1.0059995168170723e-14,8.379773180152046e-15,-109.9740219116211,-110.82333374023438,5.999534365402209e-17,0.9166666865348816,0.9166666865348816,-110.0,-110.0,-0.025977743789553642,0.8233383297920227,0.16221889853477478,338.7041931152344,4.0,4.0,4.0,0.5,0.0007999999797903001
21.0,10.0,-408.2383728027344,162.25173950195312,299.22674560546875,408.2383728027344,2.3748154640197754,0.0,2.453882336616516,0.6587458848953247,-16.513032913208008,-120.0,6.511682748794556,10.321757316589355,0.7301587462425232,0.7301587462425232,32.38517761230469,0.0,0.0,1.0033785427683833e-14,8.284150783703561e-15,-109.9853515625,-110.95247650146484,3.378560316713228e-17,0.9166666865348816,0.8333333134651184,-110.0,-110.0,-0.014648176729679108,0.9524795413017273,0.15497484803199768,408.2383728027344,4.0,4.0,4.0,0.5,0.0007999999797903001
22.0,10.0,-381.48077392578125,313.8747863769531,299.20062255859375,381.48077392578125,2.374608039855957,0.0,2.82658851146698,0.6898192167282104,-15.975733757019043,-120.0,7.848979473114014,9.978524208068848,0.7539682388305664,0.7539682388305664,71.07225799560547,0.0,0.0,1.0014843229884385e-14,8.160814316253862e-15,-109.9935531616211,-111.007080078125,1.484340536768436e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.006441579665988684,1.0070775747299194,0.1609899401664734,381.48077392578125,4.0,4.0,4.0,0.5,0.0007999999797903001
23.0,0.0,-356.4638977050781,304.2289123535156,263.259033203125,356.4638977050781,2.089357376098633,0.0,2.3320810794830322,0.6882015466690063,-19.433975219726562,-120.0,6.058762788772583,8.915111541748047,0.7460317611694336,0.7460317611694336,73.07762908935547,0.0,0.0,1.008497162868641e-14,8.345613188422227e-15,-109.9632568359375,-110.90805053710938,8.497180416970965e-17,0.75,0.75,-110.0,-110.0,-0.03674691170454025,0.9080515503883362,0.158606618642807,356.46392822265625,4.0,4.0,4.0,0.5,0.0007999999797903001
24.0,25.0,-345.3074035644531,6633.86181640625,265.6282043457031,345.3074035644531,2.1081602573394775,0.0,2.344644546508789,0.7161120176315308,-13.086286544799805,-120.0,6.105910062789917,8.560309410095215,0.7777777910232544,0.7777777910232544,56.73400115966797,0.0,0.0,1.007363155158857e-14,8.453067788110908e-15,-109.9681396484375,-110.85198974609375,7.363172707186907e-17,0.9166666865348816,0.9166666865348816,-110.0,-110.0,-0.03186080604791641,0.8519937992095947,0.16341081261634827,345.30743408203125,4.0,4.0,4.0,0.5,0.0007999999797903001
25.0,5.0,-251.36302185058594,280.690673828125,210.8204803466797,251.36302185058594,1.6731784343719482,0.0,1.8856406807899475,0.7484421133995056,-14.17241096496582,-120.0,4.305840492248535,6.260241985321045,0.7857142686843872,0.7857142686843872,69.79100036621094,0.0,0.0,1.0067866645349557e-14,8.851369784964192e-15,-109.97061920166016,-110.66082763671875,6.78668208328563e-17,0.6666666865348816,0.5833333134651184,-110.0,-110.0,-0.02937459386885166,0.6608254909515381,0.23110507428646088,251.363037109375,4.0,4.0,4.0,0.5,0.0007999999797903001
