step,snr_db,loss,grad_norm,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate
1.0,10.0,-837.6396484375,20.458175659179688,512.23583984375,837.6396484375,4.065363883972168,0.0,3.3050754070281982,0.47995612025260925,-17.06349754333496,-120.0,0.6428571343421936,0.6309523582458496,69.47691345214844,0.0,0.0,2.1936354642482225e-12,5.895232761156388e-13,-86.5883560180664,-93.88048553466797,2.1836354339305197e-12,0.0,0.0,-110.0,-110.0,-23.411643981933594,-16.11952018737793,0.09473713487386703,837.6396484375
2.0,15.0,-942.552734375,32.84830093383789,508.4718017578125,942.552734375,4.0354905128479,0.0,2.431937575340271,0.43499845266342163,-13.187188148498535,-120.0,0.6428571343421936,0.625,73.69864654541016,0.0,0.0,2.9820050508749807e-12,5.96502285499928e-13,-85.25491333007812,-94.70989990234375,2.972005020557278e-12,0.0,0.0,-110.0,-110.0,-24.74508285522461,-15.290091514587402,0.12763357162475586,942.5526733398438
3.0,-5.0,-660.9957885742188,6.8989763259887695,438.12646484375,660.9957885742188,3.47719407081604,0.0,3.3390618562698364,0.5286257863044739,-20.671085357666016,-120.0,0.6428571343421936,0.6388888955116272,79.43266296386719,0.0,0.0,5.315620339729765e-12,1.037863371633474e-12,-82.74445343017578,-92.77352142333984,5.305620526252497e-12,0.0,0.0,-110.0,-110.0,-27.255538940429688,-17.226484298706055,0.06652818620204926,660.9957275390625
4.0,0.0,-790.0414428710938,15.275047302246094,449.027587890625,790.0414428710938,3.563710927963257,0.0,2.6703332662582397,0.4920579791069031,-21.135339736938477,-120.0,0.60317462682724,0.60317462682724,79.36345672607422,0.0,0.0,1.8196991222879655e-12,4.372666508392631e-13,-87.40000915527344,-95.70571899414062,1.8096990919702627e-12,0.0,0.0,-110.0,-110.0,-22.59999656677246,-14.294278144836426,0.061872031539678574,790.04150390625
5.0,5.0,-827.6197509765625,2.807216167449951,491.74493408203125,827.6197509765625,3.902737617492676,0.0,3.4012681245803833,0.5214361548423767,-16.274084091186523,-120.0,0.6666666865348816,0.6527777910232544,74.78070068359375,0.0,0.0,1.2433532935868241e-12,3.23979693983914e-13,-89.0540542602539,-96.28580474853516,1.2333532632691213e-12,0.0,0.0,-110.0,-110.0,-20.945945739746094,-13.714195251464844,0.08386334031820297,827.6197509765625
6.0,-5.0,-724.6976928710938,17.72200584411621,467.0274658203125,724.6976928710938,3.7065672874450684,0.0,3.445411443710327,0.5390734672546387,-17.667776107788086,-120.0,0.6507936716079712,0.6448412537574768,79.43266296386719,0.0,0.0,1.0148064029727455e-12,3.7432809131023037e-13,-89.93617248535156,-95.21138763427734,1.0048063726550427e-12,0.0,0.0,-110.0,-110.0,-20.063833236694336,-14.788615226745605,0.05253458023071289,724.69775390625
7.0,15.0,-1027.5762939453125,22.28865623474121,535.7495727539062,1027.5762939453125,4.251980781555176,0.0,2.785794734954834,0.44367489218711853,-17.072296142578125,-120.0,0.6269841194152832,0.6190476417541504,65.92599487304688,0.0,0.0,3.7448984885335435e-12,9.183485135538794e-13,-84.2656021118164,-92.1921615600586,3.734898675056275e-12,0.0,0.0,-110.0,-110.0,-25.734399795532227,-17.80783462524414,0.10821472108364105,1027.576171875
8.0,10.0,-919.7093505859375,6.006669521331787,521.5809326171875,919.7093505859375,4.139531135559082,0.0,2.7705881595611572,0.45742952823638916,-22.39011001586914,-120.0,0.60317462682724,0.5773809552192688,58.349727630615234,0.0,0.0,1.2214351925721179e-11,1.3409994685867344e-12,-79.13129425048828,-93.79803466796875,1.220435211224391e-11,0.0,0.0,-110.0,-110.0,-30.868703842163086,-16.201961517333984,0.09205538779497147,919.7093505859375
9.0,5.0,-900.7020263671875,55.82088088989258,462.82611083984375,900.7020263671875,3.6732230186462402,0.0,2.7193700075149536,0.44817158579826355,-23.634227752685547,-120.0,0.579365074634552,0.5734127163887024,79.43266296386719,0.0,0.0,1.3069802401802222e-12,4.4047065799433793e-13,-88.83731842041016,-94.77030181884766,1.2969802098625194e-12,0.0,0.0,-110.0,-110.0,-21.162691116333008,-15.229694366455078,0.12061681598424911,900.7020263671875
10.0,-5.0,-658.2027587890625,29.251157760620117,428.64605712890625,658.2027587890625,3.4019527435302734,0.0,2.6419636011123657,0.5152313113212585,-17.061899185180664,-120.0,0.6428571343421936,0.6349206566810608,62.07746505737305,0.0,0.0,2.1996137550273076e-12,5.005264865770576e-13,-86.57653045654297,-95.17774200439453,2.189613724709605e-12,0.0,0.0,-110.0,-110.0,-23.423463821411133,-14.822251319885254,0.06296201795339584,658.2027587890625
