algorithm,sweep_value,batch_index,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
pf_fs_soft,5.0,0.0,1.0,388.94000244140625,0.0,3.78870298713618e-15,1.2189491987228394,6.0
pf_fs_soft,5.0,0.0,2.0,464.65972900390625,0.0,3.639257152603841e-15,0.31122907996177673,6.0
pf_fs_soft,5.0,0.0,3.0,506.04571533203125,0.0,3.344900286180526e-15,0.20697276294231415,6.0
pf_fs_soft,5.0,0.0,4.0,532.54638671875,0.0,3.118451321688009e-15,0.15614105761051178,6.0
pf_fs_soft,5.0,0.0,5.0,550.6535034179688,0.0,2.930460617616153e-15,0.12141922116279602,6.0
pf_fs_soft,5.0,0.0,6.0,563.83203125,0.0,2.791794547887046e-15,0.09846370667219162,6.0
pf_fs_soft,5.0,0.0,7.0,574.1438598632812,0.0,2.6997525597066046e-15,0.08359500020742416,6.0
pf_fs_soft,5.0,0.0,8.0,582.6279296875,0.0,2.627071203601555e-15,0.0728338286280632,6.0
pf_fs_soft,5.0,0.0,9.0,589.889404296875,0.0,2.562750274444142e-15,0.06454066932201385,6.0
pf_fs_soft,5.0,0.0,10.0,596.2503051757812,0.0,2.5019419909189924e-15,0.05785459280014038,6.0
pf_fs_soft,5.0,0.0,11.0,601.953857421875,0.0,2.4406809682835356e-15,0.052685193717479706,6.0
pf_fs_soft,5.0,0.0,12.0,607.1626586914062,0.0,2.3781682427102737e-15,0.04957602545619011,6.0
pf_fs_soft,5.0,0.0,13.0,611.9580688476562,0.0,2.317182929299148e-15,0.04805371165275574,6.0
pf_fs_soft,5.0,0.0,14.0,616.332275390625,0.0,2.261468913677023e-15,0.04679657891392708,6.0
pf_fs_soft,5.0,0.0,15.0,620.2564697265625,0.0,2.2125974419610547e-15,0.04362134262919426,6.0
pf_fs_soft,5.0,0.0,16.0,623.7880859375,0.0,2.1694633479133136e-15,0.040382448583841324,6.0
pf_fs_soft,5.0,0.0,17.0,626.9989013671875,0.0,2.1318527557146177e-15,0.03864240646362305,6.0
pf_fs_soft,5.0,0.0,18.0,629.9373779296875,0.0,2.0996165875662503e-15,0.03744824230670929,6.0
pf_fs_soft,5.0,0.0,19.0,632.6350708007812,0.0,2.0720952165605372e-15,0.035458240658044815,6.0
pf_fs_soft,5.0,0.0,20.0,635.1142578125,0.0,2.046901280335642e-15,0.033627115190029144,6.0
pf_fs_cognitive,5.0,0.0,1.0,385.8855285644531,0.0,1.0183212203974858e-15,1.2174615859985352,6.0
pf_fs_cognitive,5.0,0.0,2.0,461.7813415527344,0.0,9.373402119587648e-16,0.31029608845710754,6.0
pf_fs_cognitive,5.0,0.0,3.0,502.8463439941406,0.0,8.617357451527405e-16,0.20274244248867035,6.0
pf_fs_cognitive,5.0,0.0,4.0,528.6032104492188,0.0,7.979876220259082e-16,0.15586771070957184,6.0
pf_fs_cognitive,5.0,0.0,5.0,546.1605224609375,0.0,7.540185123108519e-16,0.12247904390096664,6.0
pf_fs_cognitive,5.0,0.0,6.0,559.55419921875,0.0,7.203026305431905e-16,0.10073821991682053,6.0
pf_fs_cognitive,5.0,0.0,7.0,570.462890625,0.0,6.983650595444554e-16,0.08668382465839386,6.0
pf_fs_cognitive,5.0,0.0,8.0,579.579833984375,0.0,6.866482645433234e-16,0.07871577143669128,6.0
pf_fs_cognitive,5.0,0.0,9.0,587.445556640625,0.0,6.803318339765297e-16,0.07165456563234329,6.0
pf_fs_cognitive,5.0,0.0,10.0,594.200927734375,0.0,6.753910907951954e-16,0.06549814343452454,6.0
pf_fs_cognitive,5.0,0.0,11.0,600.0009765625,0.0,6.695952678536078e-16,0.0576004683971405,6.0
pf_fs_cognitive,5.0,0.0,12.0,605.1401977539062,0.0,6.62235875030948e-16,0.05259721726179123,6.0
pf_fs_cognitive,5.0,0.0,13.0,609.7423706054688,0.0,6.541596805766743e-16,0.04855354502797127,6.0
pf_fs_cognitive,5.0,0.0,14.0,613.919189453125,0.0,6.459487549442279e-16,0.04510841891169548,6.0
pf_fs_cognitive,5.0,0.0,15.0,617.7418823242188,0.0,6.380882362541488e-16,0.04237617552280426,6.0
