algorithm,num_bs_ant,num_ut_per_sector,sweep_value,iteration,batch_index,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
du_pf_cognitive,16,4,5.0,1.0,7.5,133.1681842803955,0.0,4.309265313020335e-13,0.7055961824953556,6.0
du_pf_cognitive,16,4,5.0,2.0,7.5,251.91373348236084,0.0,9.57491954172167e-13,1.085812747478485,6.0
du_pf_cognitive,16,4,5.0,3.0,7.5,276.8174133300781,0.0,1.0026997000712676e-12,0.22954232525080442,6.0
du_pf_cognitive,16,4,5.0,4.0,7.5,289.711633682251,0.0,1.0118876206101314e-12,0.15411183331161737,6.0
du_pf_cognitive,16,4,5.0,5.0,7.5,297.9928855895996,0.0,1.0153912588940339e-12,0.11694798432290554,6.0
du_pf_cognitive,16,4,5.0,6.0,7.5,303.99346351623535,0.0,1.0197038034781688e-12,0.09370181011036038,6.0
du_pf_cognitive,16,4,5.0,7.0,7.5,308.6479835510254,0.0,1.0253665710962699e-12,0.0780921196565032,6.0
du_pf_cognitive,16,4,5.0,8.0,7.5,312.43869972229004,0.0,1.0327147191330384e-12,0.06698714545927942,6.0
du_pf_cognitive,16,4,5.0,9.0,7.5,315.6955280303955,0.0,1.0393394349642818e-12,0.05990341817960143,6.0
du_pf_cognitive,16,4,5.0,10.0,7.5,318.5273723602295,0.0,1.0450459569163063e-12,0.053842662600800395,6.0
du_pf_cognitive,16,4,5.0,11.0,7.5,321.0096492767334,0.0,1.0500530719053216e-12,0.04873882606625557,6.0
du_pf_cognitive,16,4,5.0,12.0,7.5,323.2244567871094,0.0,1.0548230651029507e-12,0.04484299756586552,6.0
du_pf_cognitive,16,6,5.0,1.0,7.5,144.4000425338745,0.0,6.665141952488492e-13,0.7069675363600254,6.0
du_pf_cognitive,16,6,5.0,2.0,7.5,277.283727645874,0.0,1.4625138631348036e-12,1.025654636323452,6.0
du_pf_cognitive,16,6,5.0,3.0,7.5,310.39071464538574,0.0,1.5553931298310786e-12,0.2495778165757656,6.0
du_pf_cognitive,16,6,5.0,4.0,7.5,328.5598678588867,0.0,1.5819172686191985e-12,0.1681288219988346,6.0
du_pf_cognitive,16,6,5.0,5.0,7.5,340.1370849609375,0.0,1.5969409598675082e-12,0.1263906010426581,6.0
du_pf_cognitive,16,6,5.0,6.0,7.5,348.16063499450684,0.0,1.6067313529188974e-12,0.10010278038680553,6.0
